seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: ALIE, defense: MyDefense, attack_params: None, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/ALIE_MyDefense/200_20_4_0.05_2025-03-06_10-27-21.txt

Started on Thu Mar  6 10:27:21 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1102	Train loss: 0.0180	Test Acc: 0.1177	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1645	Train loss: 0.0175	Test Acc: 0.1411	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2234	Train loss: 0.0169	Test Acc: 0.1946	Test loss: 0.0179
Epoch 3  	Train Acc: 0.3008	Train loss: 0.0160	Test Acc: 0.2749	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2934	Train loss: 0.0154	Test Acc: 0.3015	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3445	Train loss: 0.0144	Test Acc: 0.3193	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3500	Train loss: 0.0141	Test Acc: 0.2962	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3539	Train loss: 0.0139	Test Acc: 0.3117	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3953	Train loss: 0.0134	Test Acc: 0.2953	Test loss: 0.0159
Epoch 9  	Train Acc: 0.3820	Train loss: 0.0134	Test Acc: 0.2556	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3895	Train loss: 0.0131	Test Acc: 0.2524	Test loss: 0.0159
Epoch 11 	Train Acc: 0.4145	Train loss: 0.0125	Test Acc: 0.2519	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3766	Train loss: 0.0135	Test Acc: 0.2042	Test loss: 0.0171
