seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: Bulyan, attack_params: {'stop_threshold': 1e-05}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_Bulyan/200_20_4_0.05_2025-03-09_00-00-00.txt

Started on Sun Mar  9 00:00:00 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1011	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1340	Train loss: 0.0176	Test Acc: 0.1658	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2152	Train loss: 0.0171	Test Acc: 0.1746	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2750	Train loss: 0.0163	Test Acc: 0.2298	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3031	Train loss: 0.0162	Test Acc: 0.2608	Test loss: 0.0175
Epoch 5  	Train Acc: 0.2789	Train loss: 0.0153	Test Acc: 0.2734	Test loss: 0.0172
Epoch 6  	Train Acc: 0.2801	Train loss: 0.0152	Test Acc: 0.2800	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3457	Train loss: 0.0142	Test Acc: 0.3013	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3566	Train loss: 0.0143	Test Acc: 0.3072	Test loss: 0.0161
Epoch 9  	Train Acc: 0.3004	Train loss: 0.0151	Test Acc: 0.2131	Test loss: 0.0167
Epoch 10 	Train Acc: 0.2496	Train loss: 0.0190	Test Acc: 0.2556	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3051	Train loss: 0.0176	Test Acc: 0.2210	Test loss: 0.0162
Epoch 12 	Train Acc: 0.2941	Train loss: 0.0152	Test Acc: 0.2704	Test loss: 0.0163
Epoch 13 	Train Acc: 0.2918	Train loss: 0.0149	Test Acc: 0.2742	Test loss: 0.0162
Epoch 14 	Train Acc: 0.2926	Train loss: 0.0150	Test Acc: 0.2802	Test loss: 0.0161
Epoch 15 	Train Acc: 0.2887	Train loss: 0.0150	Test Acc: 0.2932	Test loss: 0.0157
Epoch 16 	Train Acc: 0.3043	Train loss: 0.0146	Test Acc: 0.2723	Test loss: 0.0152
Epoch 17 	Train Acc: 0.3250	Train loss: 0.0139	Test Acc: 0.2771	Test loss: 0.0147
Epoch 18 	Train Acc: 0.3348	Train loss: 0.0135	Test Acc: 0.3594	Test loss: 0.0138
Epoch 19 	Train Acc: 0.3890	Train loss: 0.0239	Test Acc: 0.3390	Test loss: 0.0142
Epoch 20 	Train Acc: 0.3766	Train loss: 0.0133	Test Acc: 0.3529	Test loss: 0.0142
