seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 2, attack: FangAttack, defense: CenteredClipping, attack_params: {'stop_threshold': 1e-05}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_CenteredClipping/200_20_2_0.05_2025-03-13_17-49-53.txt

Started on Thu Mar 13 17:49:53 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1004	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1395	Train loss: 0.0176	Test Acc: 0.1516	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2277	Train loss: 0.0171	Test Acc: 0.1932	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2844	Train loss: 0.0163	Test Acc: 0.2443	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3184	Train loss: 0.0156	Test Acc: 0.2984	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3387	Train loss: 0.0148	Test Acc: 0.3088	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3484	Train loss: 0.0142	Test Acc: 0.3241	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3758	Train loss: 0.0138	Test Acc: 0.3277	Test loss: 0.0166
Epoch 8  	Train Acc: 0.4023	Train loss: 0.0135	Test Acc: 0.2824	Test loss: 0.0163
Epoch 9  	Train Acc: 0.4062	Train loss: 0.0129	Test Acc: 0.2523	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3816	Train loss: 0.0133	Test Acc: 0.2326	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3953	Train loss: 0.0127	Test Acc: 0.2104	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3937	Train loss: 0.0129	Test Acc: 0.2242	Test loss: 0.0168
Epoch 13 	Train Acc: 0.4184	Train loss: 0.0122	Test Acc: 0.1951	Test loss: 0.0168
Epoch 14 	Train Acc: 0.4504	Train loss: 0.0119	Test Acc: 0.1989	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4504	Train loss: 0.0119	Test Acc: 0.1822	Test loss: 0.0174
Epoch 16 	Train Acc: 0.4258	Train loss: 0.0120	Test Acc: 0.1682	Test loss: 0.0179
Epoch 17 	Train Acc: 0.4297	Train loss: 0.0122	Test Acc: 0.2302	Test loss: 0.0157
Epoch 18 	Train Acc: 0.4746	Train loss: 0.0115	Test Acc: 0.2433	Test loss: 0.0155
Epoch 19 	Train Acc: 0.4522	Train loss: 0.0218	Test Acc: 0.2702	Test loss: 0.0158
Epoch 20 	Train Acc: 0.4559	Train loss: 0.0119	Test Acc: 0.2630	Test loss: 0.0145
Epoch 21 	Train Acc: 0.4512	Train loss: 0.0116	Test Acc: 0.3155	Test loss: 0.0139
Epoch 22 	Train Acc: 0.4516	Train loss: 0.0112	Test Acc: 0.3098	Test loss: 0.0144
Epoch 23 	Train Acc: 0.4730	Train loss: 0.0110	Test Acc: 0.4041	Test loss: 0.0128
Epoch 24 	Train Acc: 0.4785	Train loss: 0.0108	Test Acc: 0.4556	Test loss: 0.0123
Epoch 25 	Train Acc: 0.4934	Train loss: 0.0107	Test Acc: 0.4105	Test loss: 0.0125
Epoch 26 	Train Acc: 0.4891	Train loss: 0.0108	Test Acc: 0.4360	Test loss: 0.0123
Epoch 27 	Train Acc: 0.5008	Train loss: 0.0106	Test Acc: 0.4209	Test loss: 0.0125
Epoch 28 	Train Acc: 0.5086	Train loss: 0.0104	Test Acc: 0.4432	Test loss: 0.0121
Epoch 29 	Train Acc: 0.5172	Train loss: 0.0103	Test Acc: 0.4662	Test loss: 0.0116
Epoch 30 	Train Acc: 0.5121	Train loss: 0.0103	Test Acc: 0.4596	Test loss: 0.0115
Epoch 31 	Train Acc: 0.5414	Train loss: 0.0098	Test Acc: 0.4587	Test loss: 0.0115
Epoch 32 	Train Acc: 0.5273	Train loss: 0.0101	Test Acc: 0.5159	Test loss: 0.0105
Epoch 33 	Train Acc: 0.5465	Train loss: 0.0098	Test Acc: 0.5338	Test loss: 0.0104
Epoch 34 	Train Acc: 0.5301	Train loss: 0.0101	Test Acc: 0.5292	Test loss: 0.0103
Epoch 35 	Train Acc: 0.5559	Train loss: 0.0096	Test Acc: 0.5335	Test loss: 0.0102
Epoch 36 	Train Acc: 0.5523	Train loss: 0.0095	Test Acc: 0.5454	Test loss: 0.0102
Epoch 37 	Train Acc: 0.5777	Train loss: 0.0093	Test Acc: 0.4752	Test loss: 0.0118
Epoch 38 	Train Acc: 0.5441	Train loss: 0.0099	Test Acc: 0.5351	Test loss: 0.0104
Epoch 39 	Train Acc: 0.5559	Train loss: 0.0176	Test Acc: 0.4866	Test loss: 0.0111
Epoch 40 	Train Acc: 0.5723	Train loss: 0.0094	Test Acc: 0.5306	Test loss: 0.0103
Epoch 41 	Train Acc: 0.5883	Train loss: 0.0091	Test Acc: 0.5554	Test loss: 0.0098
Epoch 42 	Train Acc: 0.5699	Train loss: 0.0093	Test Acc: 0.5846	Test loss: 0.0093
Epoch 43 	Train Acc: 0.5891	Train loss: 0.0090	Test Acc: 0.5344	Test loss: 0.0101
Epoch 44 	Train Acc: 0.5980	Train loss: 0.0087	Test Acc: 0.5795	Test loss: 0.0093
Epoch 45 	Train Acc: 0.5992	Train loss: 0.0088	Test Acc: 0.5741	Test loss: 0.0095
Epoch 46 	Train Acc: 0.6039	Train loss: 0.0085	Test Acc: 0.5437	Test loss: 0.0102
Epoch 47 	Train Acc: 0.5961	Train loss: 0.0088	Test Acc: 0.5935	Test loss: 0.0092
Epoch 48 	Train Acc: 0.6285	Train loss: 0.0082	Test Acc: 0.5650	Test loss: 0.0096
Epoch 49 	Train Acc: 0.5898	Train loss: 0.0088	Test Acc: 0.5762	Test loss: 0.0094
