seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: CenteredClipping, attack_params: {'stop_threshold': 1e-05}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_CenteredClipping/200_20_4_0.05_2025-03-11_12-06-44.txt

Started on Tue Mar 11 12:06:44 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1020	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1344	Train loss: 0.0177	Test Acc: 0.1472	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2125	Train loss: 0.0172	Test Acc: 0.1710	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2652	Train loss: 0.0165	Test Acc: 0.2286	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3305	Train loss: 0.0157	Test Acc: 0.2871	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3312	Train loss: 0.0150	Test Acc: 0.2973	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3402	Train loss: 0.0144	Test Acc: 0.3216	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3727	Train loss: 0.0140	Test Acc: 0.3300	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3977	Train loss: 0.0136	Test Acc: 0.3137	Test loss: 0.0166
Epoch 9  	Train Acc: 0.4062	Train loss: 0.0131	Test Acc: 0.2780	Test loss: 0.0164
Epoch 10 	Train Acc: 0.3801	Train loss: 0.0134	Test Acc: 0.2405	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3852	Train loss: 0.0130	Test Acc: 0.2266	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3520	Train loss: 0.0138	Test Acc: 0.2167	Test loss: 0.0166
Epoch 13 	Train Acc: 0.3961	Train loss: 0.0130	Test Acc: 0.2119	Test loss: 0.0166
Epoch 14 	Train Acc: 0.4062	Train loss: 0.0128	Test Acc: 0.2204	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4145	Train loss: 0.0125	Test Acc: 0.1788	Test loss: 0.0172
Epoch 16 	Train Acc: 0.3926	Train loss: 0.0128	Test Acc: 0.1629	Test loss: 0.0174
Epoch 17 	Train Acc: 0.4141	Train loss: 0.0121	Test Acc: 0.1847	Test loss: 0.0170
Epoch 18 	Train Acc: 0.4484	Train loss: 0.0119	Test Acc: 0.2304	Test loss: 0.0160
Epoch 19 	Train Acc: 0.4566	Train loss: 0.0216	Test Acc: 0.2129	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4625	Train loss: 0.0115	Test Acc: 0.2192	Test loss: 0.0163
Epoch 21 	Train Acc: 0.4605	Train loss: 0.0115	Test Acc: 0.2456	Test loss: 0.0156
Epoch 22 	Train Acc: 0.5035	Train loss: 0.0109	Test Acc: 0.2734	Test loss: 0.0150
Epoch 23 	Train Acc: 0.4730	Train loss: 0.0111	Test Acc: 0.3169	Test loss: 0.0140
Epoch 24 	Train Acc: 0.4855	Train loss: 0.0110	Test Acc: 0.3618	Test loss: 0.0133
Epoch 25 	Train Acc: 0.4859	Train loss: 0.0109	Test Acc: 0.3356	Test loss: 0.0144
Epoch 26 	Train Acc: 0.4633	Train loss: 0.0113	Test Acc: 0.3633	Test loss: 0.0141
Epoch 27 	Train Acc: 0.4801	Train loss: 0.0110	Test Acc: 0.4136	Test loss: 0.0129
Epoch 28 	Train Acc: 0.4984	Train loss: 0.0107	Test Acc: 0.4216	Test loss: 0.0125
Epoch 29 	Train Acc: 0.5066	Train loss: 0.0106	Test Acc: 0.3780	Test loss: 0.0130
Epoch 30 	Train Acc: 0.5297	Train loss: 0.0103	Test Acc: 0.3882	Test loss: 0.0131
Epoch 31 	Train Acc: 0.5227	Train loss: 0.0103	Test Acc: 0.4469	Test loss: 0.0122
