seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: Mean, attack_params: {'stop_threshold': 1e-05}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_Mean/200_20_4_0.05_2025-03-09_00-00-01.txt

Started on Sun Mar  9 00:00:01 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1020	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1344	Train loss: 0.0177	Test Acc: 0.1472	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2125	Train loss: 0.0172	Test Acc: 0.1709	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2652	Train loss: 0.0165	Test Acc: 0.2286	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3305	Train loss: 0.0157	Test Acc: 0.2871	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3312	Train loss: 0.0150	Test Acc: 0.2973	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3402	Train loss: 0.0144	Test Acc: 0.3215	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3727	Train loss: 0.0140	Test Acc: 0.3300	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3977	Train loss: 0.0136	Test Acc: 0.3138	Test loss: 0.0166
Epoch 9  	Train Acc: 0.4062	Train loss: 0.0131	Test Acc: 0.2784	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3805	Train loss: 0.0134	Test Acc: 0.2401	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3852	Train loss: 0.0130	Test Acc: 0.2267	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3527	Train loss: 0.0138	Test Acc: 0.2168	Test loss: 0.0166
Epoch 13 	Train Acc: 0.3957	Train loss: 0.0130	Test Acc: 0.2114	Test loss: 0.0166
Epoch 14 	Train Acc: 0.4055	Train loss: 0.0128	Test Acc: 0.2196	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4160	Train loss: 0.0125	Test Acc: 0.1806	Test loss: 0.0171
Epoch 16 	Train Acc: 0.3914	Train loss: 0.0128	Test Acc: 0.1612	Test loss: 0.0174
Epoch 17 	Train Acc: 0.4152	Train loss: 0.0121	Test Acc: 0.1835	Test loss: 0.0170
Epoch 18 	Train Acc: 0.4488	Train loss: 0.0120	Test Acc: 0.2310	Test loss: 0.0160
Epoch 19 	Train Acc: 0.4574	Train loss: 0.0216	Test Acc: 0.2114	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4621	Train loss: 0.0116	Test Acc: 0.2175	Test loss: 0.0163
Epoch 21 	Train Acc: 0.4594	Train loss: 0.0115	Test Acc: 0.2447	Test loss: 0.0156
Epoch 22 	Train Acc: 0.4988	Train loss: 0.0109	Test Acc: 0.2715	Test loss: 0.0150
Epoch 23 	Train Acc: 0.4734	Train loss: 0.0111	Test Acc: 0.3200	Test loss: 0.0140
Epoch 24 	Train Acc: 0.4855	Train loss: 0.0110	Test Acc: 0.3636	Test loss: 0.0133
Epoch 25 	Train Acc: 0.4844	Train loss: 0.0109	Test Acc: 0.3351	Test loss: 0.0144
Epoch 26 	Train Acc: 0.4652	Train loss: 0.0113	Test Acc: 0.3671	Test loss: 0.0140
Epoch 27 	Train Acc: 0.4777	Train loss: 0.0110	Test Acc: 0.4150	Test loss: 0.0129
Epoch 28 	Train Acc: 0.4988	Train loss: 0.0107	Test Acc: 0.4217	Test loss: 0.0125
Epoch 29 	Train Acc: 0.5039	Train loss: 0.0106	Test Acc: 0.3821	Test loss: 0.0130
Epoch 30 	Train Acc: 0.5289	Train loss: 0.0103	Test Acc: 0.3912	Test loss: 0.0131
Epoch 31 	Train Acc: 0.5262	Train loss: 0.0103	Test Acc: 0.4460	Test loss: 0.0122
Epoch 32 	Train Acc: 0.5258	Train loss: 0.0103	Test Acc: 0.4781	Test loss: 0.0115
Epoch 33 	Train Acc: 0.5414	Train loss: 0.0101	Test Acc: 0.4671	Test loss: 0.0115
Epoch 34 	Train Acc: 0.5258	Train loss: 0.0103	Test Acc: 0.4984	Test loss: 0.0110
Epoch 35 	Train Acc: 0.5523	Train loss: 0.0098	Test Acc: 0.5046	Test loss: 0.0110
Epoch 36 	Train Acc: 0.5484	Train loss: 0.0097	Test Acc: 0.5119	Test loss: 0.0111
Epoch 37 	Train Acc: 0.5543	Train loss: 0.0096	Test Acc: 0.4799	Test loss: 0.0118
Epoch 38 	Train Acc: 0.5445	Train loss: 0.0099	Test Acc: 0.5255	Test loss: 0.0107
Epoch 39 	Train Acc: 0.5699	Train loss: 0.0174	Test Acc: 0.4852	Test loss: 0.0111
Epoch 40 	Train Acc: 0.5633	Train loss: 0.0096	Test Acc: 0.5114	Test loss: 0.0108
Epoch 41 	Train Acc: 0.5852	Train loss: 0.0092	Test Acc: 0.5114	Test loss: 0.0109
Epoch 42 	Train Acc: 0.5680	Train loss: 0.0093	Test Acc: 0.5075	Test loss: 0.0110
Epoch 43 	Train Acc: 0.5750	Train loss: 0.0093	Test Acc: 0.5483	Test loss: 0.0102
Epoch 44 	Train Acc: 0.5945	Train loss: 0.0089	Test Acc: 0.5122	Test loss: 0.0110
Epoch 45 	Train Acc: 0.5879	Train loss: 0.0091	Test Acc: 0.4817	Test loss: 0.0117
Epoch 46 	Train Acc: 0.5715	Train loss: 0.0092	Test Acc: 0.5570	Test loss: 0.0097
Epoch 47 	Train Acc: 0.5809	Train loss: 0.0091	Test Acc: 0.5543	Test loss: 0.0098
Epoch 48 	Train Acc: 0.6000	Train loss: 0.0087	Test Acc: 0.5844	Test loss: 0.0091
Epoch 49 	Train Acc: 0.5945	Train loss: 0.0088	Test Acc: 0.5588	Test loss: 0.0097
Epoch 50 	Train Acc: 0.5762	Train loss: 0.0092	Test Acc: 0.5731	Test loss: 0.0095
Epoch 51 	Train Acc: 0.6086	Train loss: 0.0087	Test Acc: 0.5767	Test loss: 0.0095
Epoch 52 	Train Acc: 0.6004	Train loss: 0.0087	Test Acc: 0.5798	Test loss: 0.0094
Epoch 53 	Train Acc: 0.5949	Train loss: 0.0088	Test Acc: 0.5165	Test loss: 0.0106
Epoch 54 	Train Acc: 0.5730	Train loss: 0.0093	Test Acc: 0.5594	Test loss: 0.0100
Epoch 55 	Train Acc: 0.6230	Train loss: 0.0083	Test Acc: 0.5726	Test loss: 0.0098
Epoch 56 	Train Acc: 0.6191	Train loss: 0.0084	Test Acc: 0.5885	Test loss: 0.0090
Epoch 57 	Train Acc: 0.6195	Train loss: 0.0085	Test Acc: 0.5915	Test loss: 0.0092
Epoch 58 	Train Acc: 0.6145	Train loss: 0.0086	Test Acc: 0.6058	Test loss: 0.0088
Epoch 59 	Train Acc: 0.5934	Train loss: 0.0163	Test Acc: 0.5738	Test loss: 0.0094
Epoch 60 	Train Acc: 0.6211	Train loss: 0.0083	Test Acc: 0.5865	Test loss: 0.0093
Epoch 61 	Train Acc: 0.6402	Train loss: 0.0083	Test Acc: 0.5384	Test loss: 0.0107
Epoch 62 	Train Acc: 0.6047	Train loss: 0.0085	Test Acc: 0.5684	Test loss: 0.0098
Epoch 63 	Train Acc: 0.6246	Train loss: 0.0084	Test Acc: 0.5929	Test loss: 0.0092
Epoch 64 	Train Acc: 0.6332	Train loss: 0.0081	Test Acc: 0.5958	Test loss: 0.0091
Epoch 65 	Train Acc: 0.6266	Train loss: 0.0082	Test Acc: 0.6196	Test loss: 0.0084
Epoch 66 	Train Acc: 0.6305	Train loss: 0.0080	Test Acc: 0.6011	Test loss: 0.0088
Epoch 67 	Train Acc: 0.6434	Train loss: 0.0079	Test Acc: 0.6304	Test loss: 0.0084
Epoch 68 	Train Acc: 0.6641	Train loss: 0.0073	Test Acc: 0.6066	Test loss: 0.0088
Epoch 69 	Train Acc: 0.6492	Train loss: 0.0078	Test Acc: 0.6122	Test loss: 0.0088
Epoch 70 	Train Acc: 0.6648	Train loss: 0.0074	Test Acc: 0.6097	Test loss: 0.0088
Epoch 71 	Train Acc: 0.6418	Train loss: 0.0079	Test Acc: 0.6246	Test loss: 0.0083
Epoch 72 	Train Acc: 0.6613	Train loss: 0.0074	Test Acc: 0.6197	Test loss: 0.0085
Epoch 73 	Train Acc: 0.6449	Train loss: 0.0077	Test Acc: 0.6376	Test loss: 0.0082
Epoch 74 	Train Acc: 0.6652	Train loss: 0.0075	Test Acc: 0.6245	Test loss: 0.0084
Epoch 75 	Train Acc: 0.6598	Train loss: 0.0074	Test Acc: 0.6049	Test loss: 0.0087
Epoch 76 	Train Acc: 0.6496	Train loss: 0.0077	Test Acc: 0.6503	Test loss: 0.0078
