seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: MultiKrum, attack_params: {'stop_threshold': 1e-05}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_MultiKrum/200_20_4_0.05_2025-03-09_00-00-00.txt

Started on Sun Mar  9 00:00:00 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1018	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1480	Train loss: 0.0176	Test Acc: 0.1282	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2117	Train loss: 0.0170	Test Acc: 0.1857	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2480	Train loss: 0.0166	Test Acc: 0.2162	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3109	Train loss: 0.0158	Test Acc: 0.2458	Test loss: 0.0175
Epoch 5  	Train Acc: 0.2910	Train loss: 0.0155	Test Acc: 0.2896	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3309	Train loss: 0.0144	Test Acc: 0.2824	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3434	Train loss: 0.0142	Test Acc: 0.3070	Test loss: 0.0165
Epoch 8  	Train Acc: 0.3594	Train loss: 0.0141	Test Acc: 0.2749	Test loss: 0.0162
Epoch 9  	Train Acc: 0.3492	Train loss: 0.0138	Test Acc: 0.2374	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3305	Train loss: 0.0141	Test Acc: 0.2362	Test loss: 0.0158
Epoch 11 	Train Acc: 0.3438	Train loss: 0.0137	Test Acc: 0.2409	Test loss: 0.0154
Epoch 12 	Train Acc: 0.3664	Train loss: 0.0134	Test Acc: 0.2328	Test loss: 0.0157
Epoch 13 	Train Acc: 0.3672	Train loss: 0.0133	Test Acc: 0.2556	Test loss: 0.0159
Epoch 14 	Train Acc: 0.4078	Train loss: 0.0127	Test Acc: 0.2239	Test loss: 0.0161
Epoch 15 	Train Acc: 0.3918	Train loss: 0.0128	Test Acc: 0.2457	Test loss: 0.0156
Epoch 16 	Train Acc: 0.4156	Train loss: 0.0127	Test Acc: 0.2307	Test loss: 0.0153
Epoch 17 	Train Acc: 0.3984	Train loss: 0.0126	Test Acc: 0.2711	Test loss: 0.0148
Epoch 18 	Train Acc: 0.4547	Train loss: 0.0121	Test Acc: 0.3502	Test loss: 0.0140
Epoch 19 	Train Acc: 0.4515	Train loss: 0.0224	Test Acc: 0.3770	Test loss: 0.0134
Epoch 20 	Train Acc: 0.4305	Train loss: 0.0121	Test Acc: 0.3723	Test loss: 0.0134
Epoch 21 	Train Acc: 0.4496	Train loss: 0.0118	Test Acc: 0.3888	Test loss: 0.0131
Epoch 22 	Train Acc: 0.4535	Train loss: 0.0114	Test Acc: 0.3929	Test loss: 0.0137
Epoch 23 	Train Acc: 0.4430	Train loss: 0.0120	Test Acc: 0.4358	Test loss: 0.0119
Epoch 24 	Train Acc: 0.4660	Train loss: 0.0113	Test Acc: 0.4091	Test loss: 0.0124
Epoch 25 	Train Acc: 0.4566	Train loss: 0.0115	Test Acc: 0.3635	Test loss: 0.0135
Epoch 26 	Train Acc: 0.4289	Train loss: 0.0121	Test Acc: 0.4085	Test loss: 0.0122
Epoch 27 	Train Acc: 0.4516	Train loss: 0.0116	Test Acc: 0.4179	Test loss: 0.0126
Epoch 28 	Train Acc: 0.4348	Train loss: 0.0119	Test Acc: 0.4144	Test loss: 0.0125
Epoch 29 	Train Acc: 0.4539	Train loss: 0.0115	Test Acc: 0.4477	Test loss: 0.0120
Epoch 30 	Train Acc: 0.4742	Train loss: 0.0112	Test Acc: 0.4221	Test loss: 0.0125
Epoch 31 	Train Acc: 0.4668	Train loss: 0.0113	Test Acc: 0.4518	Test loss: 0.0119
Epoch 32 	Train Acc: 0.4801	Train loss: 0.0112	Test Acc: 0.4402	Test loss: 0.0119
Epoch 33 	Train Acc: 0.4754	Train loss: 0.0112	Test Acc: 0.4499	Test loss: 0.0116
Epoch 34 	Train Acc: 0.4449	Train loss: 0.0117	Test Acc: 0.4541	Test loss: 0.0117
Epoch 35 	Train Acc: 0.5016	Train loss: 0.0109	Test Acc: 0.4030	Test loss: 0.0136
Epoch 36 	Train Acc: 0.4789	Train loss: 0.0108	Test Acc: 0.4201	Test loss: 0.0128
Epoch 37 	Train Acc: 0.5066	Train loss: 0.0108	Test Acc: 0.4595	Test loss: 0.0115
Epoch 38 	Train Acc: 0.4707	Train loss: 0.0111	Test Acc: 0.4666	Test loss: 0.0114
Epoch 39 	Train Acc: 0.4993	Train loss: 0.0200	Test Acc: 0.4831	Test loss: 0.0112
Epoch 40 	Train Acc: 0.5082	Train loss: 0.0105	Test Acc: 0.4534	Test loss: 0.0121
