seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [0], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: False, npy_file_name: cifar10-test, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: MyDefense, attack_params: {'stop_threshold': 1e-05}, defense_params: {'show_3d': True, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': True}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:0, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_MyDefense/200_20_4_0.05_2025-03-05_14-36-27.txt

Started on Wed Mar  5 14:36:27 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1102	Train loss: 0.0180	Test Acc: 0.1177	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1645	Train loss: 0.0175	Test Acc: 0.1410	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2234	Train loss: 0.0169	Test Acc: 0.1947	Test loss: 0.0179
Epoch 3  	Train Acc: 0.3008	Train loss: 0.0160	Test Acc: 0.2749	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2938	Train loss: 0.0154	Test Acc: 0.3014	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3445	Train loss: 0.0144	Test Acc: 0.3192	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3508	Train loss: 0.0141	Test Acc: 0.3101	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3648	Train loss: 0.0138	Test Acc: 0.3163	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3934	Train loss: 0.0133	Test Acc: 0.2966	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3746	Train loss: 0.0134	Test Acc: 0.2443	Test loss: 0.0161
Epoch 10 	Train Acc: 0.4020	Train loss: 0.0130	Test Acc: 0.2244	Test loss: 0.0159
Epoch 11 	Train Acc: 0.4281	Train loss: 0.0124	Test Acc: 0.2440	Test loss: 0.0162
Epoch 12 	Train Acc: 0.3883	Train loss: 0.0129	Test Acc: 0.2181	Test loss: 0.0165
