seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: NormClipping, attack_params: {'stop_threshold': 1e-05}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_NormClipping/200_20_4_0.05_2025-03-09_00-00-01.txt

Started on Sun Mar  9 00:00:01 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1017	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1383	Train loss: 0.0177	Test Acc: 0.1503	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2133	Train loss: 0.0172	Test Acc: 0.1721	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2605	Train loss: 0.0165	Test Acc: 0.2294	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3309	Train loss: 0.0157	Test Acc: 0.2900	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3305	Train loss: 0.0150	Test Acc: 0.2971	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3387	Train loss: 0.0144	Test Acc: 0.3226	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3695	Train loss: 0.0140	Test Acc: 0.3362	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3934	Train loss: 0.0137	Test Acc: 0.3151	Test loss: 0.0165
Epoch 9  	Train Acc: 0.4047	Train loss: 0.0131	Test Acc: 0.2781	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3715	Train loss: 0.0135	Test Acc: 0.2473	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3828	Train loss: 0.0130	Test Acc: 0.2363	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3430	Train loss: 0.0140	Test Acc: 0.2185	Test loss: 0.0166
