seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 6, attack: FangAttack, defense: NormClipping, attack_params: {'stop_threshold': 1e-05}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_NormClipping/200_20_6_0.05_2025-03-13_16-51-32.txt

Started on Thu Mar 13 16:51:32 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1008	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1309	Train loss: 0.0177	Test Acc: 0.1503	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2027	Train loss: 0.0173	Test Acc: 0.1656	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2422	Train loss: 0.0167	Test Acc: 0.1924	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2785	Train loss: 0.0163	Test Acc: 0.2414	Test loss: 0.0179
Epoch 5  	Train Acc: 0.3102	Train loss: 0.0158	Test Acc: 0.2406	Test loss: 0.0178
Epoch 6  	Train Acc: 0.3090	Train loss: 0.0157	Test Acc: 0.2204	Test loss: 0.0178
Epoch 7  	Train Acc: 0.2629	Train loss: 0.0159	Test Acc: 0.2375	Test loss: 0.0177
Epoch 8  	Train Acc: 0.2809	Train loss: 0.0155	Test Acc: 0.2718	Test loss: 0.0174
Epoch 9  	Train Acc: 0.2883	Train loss: 0.0150	Test Acc: 0.2910	Test loss: 0.0172
Epoch 10 	Train Acc: 0.3043	Train loss: 0.0149	Test Acc: 0.2734	Test loss: 0.0169
Epoch 11 	Train Acc: 0.3262	Train loss: 0.0145	Test Acc: 0.2361	Test loss: 0.0166
Epoch 12 	Train Acc: 0.3027	Train loss: 0.0142	Test Acc: 0.2434	Test loss: 0.0163
Epoch 13 	Train Acc: 0.3598	Train loss: 0.0135	Test Acc: 0.2642	Test loss: 0.0160
Epoch 14 	Train Acc: 0.3840	Train loss: 0.0132	Test Acc: 0.2762	Test loss: 0.0159
Epoch 15 	Train Acc: 0.3695	Train loss: 0.0133	Test Acc: 0.2826	Test loss: 0.0156
Epoch 16 	Train Acc: 0.3668	Train loss: 0.0136	Test Acc: 0.2328	Test loss: 0.0163
Epoch 17 	Train Acc: 0.3691	Train loss: 0.0135	Test Acc: 0.2076	Test loss: 0.0165
Epoch 18 	Train Acc: 0.3891	Train loss: 0.0135	Test Acc: 0.2148	Test loss: 0.0161
Epoch 19 	Train Acc: 0.4044	Train loss: 0.0235	Test Acc: 0.2559	Test loss: 0.0155
Epoch 20 	Train Acc: 0.3914	Train loss: 0.0128	Test Acc: 0.2617	Test loss: 0.0154
Epoch 21 	Train Acc: 0.4027	Train loss: 0.0126	Test Acc: 0.2558	Test loss: 0.0157
Epoch 22 	Train Acc: 0.4266	Train loss: 0.0121	Test Acc: 0.2125	Test loss: 0.0162
Epoch 23 	Train Acc: 0.3547	Train loss: 0.0135	Test Acc: 0.2786	Test loss: 0.0150
Epoch 24 	Train Acc: 0.4152	Train loss: 0.0122	Test Acc: 0.2581	Test loss: 0.0154
