seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: TESSERACT, attack_params: {'stop_threshold': 1e-05}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_TESSERACT/200_20_4_0.05_2025-03-09_00-00-01.txt

Started on Sun Mar  9 00:00:01 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1011	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1371	Train loss: 0.0177	Test Acc: 0.1396	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2156	Train loss: 0.0171	Test Acc: 0.1831	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2637	Train loss: 0.0164	Test Acc: 0.2412	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3371	Train loss: 0.0156	Test Acc: 0.2905	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3301	Train loss: 0.0149	Test Acc: 0.2965	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3379	Train loss: 0.0144	Test Acc: 0.3336	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3691	Train loss: 0.0140	Test Acc: 0.3115	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3785	Train loss: 0.0137	Test Acc: 0.2832	Test loss: 0.0165
Epoch 9  	Train Acc: 0.4094	Train loss: 0.0130	Test Acc: 0.2522	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3680	Train loss: 0.0135	Test Acc: 0.2544	Test loss: 0.0161
Epoch 11 	Train Acc: 0.4043	Train loss: 0.0128	Test Acc: 0.2705	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3543	Train loss: 0.0138	Test Acc: 0.2258	Test loss: 0.0167
Epoch 13 	Train Acc: 0.3707	Train loss: 0.0136	Test Acc: 0.1996	Test loss: 0.0167
Epoch 14 	Train Acc: 0.3945	Train loss: 0.0132	Test Acc: 0.1963	Test loss: 0.0166
Epoch 15 	Train Acc: 0.4164	Train loss: 0.0124	Test Acc: 0.2060	Test loss: 0.0167
Epoch 16 	Train Acc: 0.3594	Train loss: 0.0139	Test Acc: 0.1814	Test loss: 0.0173
Epoch 17 	Train Acc: 0.4191	Train loss: 0.0125	Test Acc: 0.1907	Test loss: 0.0171
Epoch 18 	Train Acc: 0.4223	Train loss: 0.0122	Test Acc: 0.2142	Test loss: 0.0163
Epoch 19 	Train Acc: 0.4574	Train loss: 0.0218	Test Acc: 0.2315	Test loss: 0.0158
Epoch 20 	Train Acc: 0.4555	Train loss: 0.0119	Test Acc: 0.2480	Test loss: 0.0158
Epoch 21 	Train Acc: 0.4762	Train loss: 0.0116	Test Acc: 0.2460	Test loss: 0.0159
Epoch 22 	Train Acc: 0.4586	Train loss: 0.0115	Test Acc: 0.2497	Test loss: 0.0157
Epoch 23 	Train Acc: 0.4828	Train loss: 0.0115	Test Acc: 0.2574	Test loss: 0.0153
Epoch 24 	Train Acc: 0.4805	Train loss: 0.0113	Test Acc: 0.3056	Test loss: 0.0145
Epoch 25 	Train Acc: 0.4887	Train loss: 0.0111	Test Acc: 0.3338	Test loss: 0.0139
Epoch 26 	Train Acc: 0.4453	Train loss: 0.0118	Test Acc: 0.3434	Test loss: 0.0137
Epoch 27 	Train Acc: 0.4598	Train loss: 0.0119	Test Acc: 0.3515	Test loss: 0.0138
Epoch 28 	Train Acc: 0.4801	Train loss: 0.0112	Test Acc: 0.3479	Test loss: 0.0137
Epoch 29 	Train Acc: 0.4746	Train loss: 0.0112	Test Acc: 0.3184	Test loss: 0.0141
Epoch 30 	Train Acc: 0.4559	Train loss: 0.0115	Test Acc: 0.3128	Test loss: 0.0142
Epoch 31 	Train Acc: 0.4441	Train loss: 0.0115	Test Acc: 0.3624	Test loss: 0.0135
Epoch 32 	Train Acc: 0.4711	Train loss: 0.0112	Test Acc: 0.3841	Test loss: 0.0130
Epoch 33 	Train Acc: 0.4848	Train loss: 0.0110	Test Acc: 0.3752	Test loss: 0.0131
Epoch 34 	Train Acc: 0.4430	Train loss: 0.0118	Test Acc: 0.4190	Test loss: 0.0126
Epoch 35 	Train Acc: 0.4676	Train loss: 0.0113	Test Acc: 0.3727	Test loss: 0.0131
Epoch 36 	Train Acc: 0.4844	Train loss: 0.0111	Test Acc: 0.3496	Test loss: 0.0136
Epoch 37 	Train Acc: 0.4656	Train loss: 0.0115	Test Acc: 0.3667	Test loss: 0.0133
Epoch 38 	Train Acc: 0.4707	Train loss: 0.0116	Test Acc: 0.3815	Test loss: 0.0130
Epoch 39 	Train Acc: 0.4868	Train loss: 0.0211	Test Acc: 0.4494	Test loss: 0.0121
Epoch 40 	Train Acc: 0.4855	Train loss: 0.0112	Test Acc: 0.4528	Test loss: 0.0119
Epoch 41 	Train Acc: 0.4844	Train loss: 0.0112	Test Acc: 0.4312	Test loss: 0.0120
Epoch 42 	Train Acc: 0.4527	Train loss: 0.0116	Test Acc: 0.4256	Test loss: 0.0120
Epoch 43 	Train Acc: 0.4449	Train loss: 0.0119	Test Acc: 0.4369	Test loss: 0.0119
Epoch 44 	Train Acc: 0.4773	Train loss: 0.0111	Test Acc: 0.4441	Test loss: 0.0118
Epoch 45 	Train Acc: 0.4590	Train loss: 0.0115	Test Acc: 0.4395	Test loss: 0.0122
Epoch 46 	Train Acc: 0.4945	Train loss: 0.0110	Test Acc: 0.4240	Test loss: 0.0128
Epoch 47 	Train Acc: 0.4883	Train loss: 0.0110	Test Acc: 0.4039	Test loss: 0.0133
Epoch 48 	Train Acc: 0.4910	Train loss: 0.0109	Test Acc: 0.3757	Test loss: 0.0135
Epoch 49 	Train Acc: 0.4684	Train loss: 0.0111	Test Acc: 0.3619	Test loss: 0.0136
Epoch 50 	Train Acc: 0.4668	Train loss: 0.0108	Test Acc: 0.3750	Test loss: 0.0137
Epoch 51 	Train Acc: 0.5113	Train loss: 0.0107	Test Acc: 0.3775	Test loss: 0.0137
Epoch 52 	Train Acc: 0.4836	Train loss: 0.0109	Test Acc: 0.3702	Test loss: 0.0141
Epoch 53 	Train Acc: 0.4594	Train loss: 0.0113	Test Acc: 0.3785	Test loss: 0.0137
Epoch 54 	Train Acc: 0.4617	Train loss: 0.0111	Test Acc: 0.3957	Test loss: 0.0131
Epoch 55 	Train Acc: 0.4848	Train loss: 0.0108	Test Acc: 0.4214	Test loss: 0.0125
Epoch 56 	Train Acc: 0.5035	Train loss: 0.0107	Test Acc: 0.4096	Test loss: 0.0126
Epoch 57 	Train Acc: 0.4711	Train loss: 0.0112	Test Acc: 0.4073	Test loss: 0.0126
Epoch 58 	Train Acc: 0.4473	Train loss: 0.0117	Test Acc: 0.4130	Test loss: 0.0127
Epoch 59 	Train Acc: 0.4816	Train loss: 0.0209	Test Acc: 0.3831	Test loss: 0.0131
Epoch 60 	Train Acc: 0.4383	Train loss: 0.0118	Test Acc: 0.3814	Test loss: 0.0132
Epoch 61 	Train Acc: 0.4543	Train loss: 0.0113	Test Acc: 0.4137	Test loss: 0.0129
