seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: FangAttack, defense: TrimmedMean, attack_params: {'stop_threshold': 1e-05}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/FangAttack_TrimmedMean/200_20_4_0.05_2025-03-09_00-00-01.txt

Started on Sun Mar  9 00:00:01 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1019	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1340	Train loss: 0.0177	Test Acc: 0.1467	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2066	Train loss: 0.0172	Test Acc: 0.1695	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2543	Train loss: 0.0165	Test Acc: 0.2385	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3324	Train loss: 0.0157	Test Acc: 0.2854	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3250	Train loss: 0.0151	Test Acc: 0.2914	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3387	Train loss: 0.0145	Test Acc: 0.3068	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3680	Train loss: 0.0141	Test Acc: 0.3154	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3937	Train loss: 0.0137	Test Acc: 0.3005	Test loss: 0.0166
Epoch 9  	Train Acc: 0.4098	Train loss: 0.0131	Test Acc: 0.2767	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3855	Train loss: 0.0133	Test Acc: 0.2403	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3844	Train loss: 0.0130	Test Acc: 0.2276	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3641	Train loss: 0.0136	Test Acc: 0.2191	Test loss: 0.0164
Epoch 13 	Train Acc: 0.3969	Train loss: 0.0127	Test Acc: 0.2028	Test loss: 0.0172
Epoch 14 	Train Acc: 0.3902	Train loss: 0.0130	Test Acc: 0.2287	Test loss: 0.0162
Epoch 15 	Train Acc: 0.4105	Train loss: 0.0126	Test Acc: 0.2238	Test loss: 0.0160
Epoch 16 	Train Acc: 0.4074	Train loss: 0.0126	Test Acc: 0.1813	Test loss: 0.0175
Epoch 17 	Train Acc: 0.4105	Train loss: 0.0127	Test Acc: 0.1689	Test loss: 0.0176
Epoch 18 	Train Acc: 0.4516	Train loss: 0.0121	Test Acc: 0.2179	Test loss: 0.0160
Epoch 19 	Train Acc: 0.4309	Train loss: 0.0228	Test Acc: 0.2534	Test loss: 0.0153
Epoch 20 	Train Acc: 0.4492	Train loss: 0.0118	Test Acc: 0.2424	Test loss: 0.0156
Epoch 21 	Train Acc: 0.4492	Train loss: 0.0118	Test Acc: 0.2771	Test loss: 0.0150
Epoch 22 	Train Acc: 0.4520	Train loss: 0.0115	Test Acc: 0.3321	Test loss: 0.0137
Epoch 23 	Train Acc: 0.4887	Train loss: 0.0110	Test Acc: 0.3862	Test loss: 0.0130
Epoch 24 	Train Acc: 0.4809	Train loss: 0.0111	Test Acc: 0.3924	Test loss: 0.0128
Epoch 25 	Train Acc: 0.4871	Train loss: 0.0109	Test Acc: 0.4069	Test loss: 0.0128
