seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: Gaussian, defense: MultiKrum, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/Gaussian_MultiKrum/200_20_4_0.05_2025-03-09_12-14-54.txt

Started on Sun Mar  9 12:14:54 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1018	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1480	Train loss: 0.0176	Test Acc: 0.1282	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2117	Train loss: 0.0170	Test Acc: 0.1857	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2480	Train loss: 0.0166	Test Acc: 0.2164	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3102	Train loss: 0.0158	Test Acc: 0.2455	Test loss: 0.0175
Epoch 5  	Train Acc: 0.2910	Train loss: 0.0155	Test Acc: 0.2899	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3316	Train loss: 0.0144	Test Acc: 0.2819	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3418	Train loss: 0.0142	Test Acc: 0.3070	Test loss: 0.0165
Epoch 8  	Train Acc: 0.3594	Train loss: 0.0141	Test Acc: 0.2744	Test loss: 0.0162
Epoch 9  	Train Acc: 0.3480	Train loss: 0.0138	Test Acc: 0.2366	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3285	Train loss: 0.0141	Test Acc: 0.2360	Test loss: 0.0158
Epoch 11 	Train Acc: 0.3461	Train loss: 0.0137	Test Acc: 0.2404	Test loss: 0.0154
Epoch 12 	Train Acc: 0.3676	Train loss: 0.0134	Test Acc: 0.2327	Test loss: 0.0157
Epoch 13 	Train Acc: 0.3676	Train loss: 0.0133	Test Acc: 0.2491	Test loss: 0.0158
Epoch 14 	Train Acc: 0.4098	Train loss: 0.0126	Test Acc: 0.2243	Test loss: 0.0163
Epoch 15 	Train Acc: 0.3875	Train loss: 0.0129	Test Acc: 0.2618	Test loss: 0.0154
Epoch 16 	Train Acc: 0.4281	Train loss: 0.0125	Test Acc: 0.2505	Test loss: 0.0150
Epoch 17 	Train Acc: 0.4062	Train loss: 0.0125	Test Acc: 0.2548	Test loss: 0.0150
Epoch 18 	Train Acc: 0.4488	Train loss: 0.0123	Test Acc: 0.3333	Test loss: 0.0140
Epoch 19 	Train Acc: 0.4522	Train loss: 0.0222	Test Acc: 0.3929	Test loss: 0.0132
Epoch 20 	Train Acc: 0.4562	Train loss: 0.0119	Test Acc: 0.3895	Test loss: 0.0131
Epoch 21 	Train Acc: 0.4625	Train loss: 0.0117	Test Acc: 0.3968	Test loss: 0.0128
Epoch 22 	Train Acc: 0.4480	Train loss: 0.0114	Test Acc: 0.3906	Test loss: 0.0137
Epoch 23 	Train Acc: 0.4555	Train loss: 0.0119	Test Acc: 0.4418	Test loss: 0.0120
Epoch 24 	Train Acc: 0.4758	Train loss: 0.0112	Test Acc: 0.4134	Test loss: 0.0125
Epoch 25 	Train Acc: 0.4348	Train loss: 0.0120	Test Acc: 0.3661	Test loss: 0.0133
Epoch 26 	Train Acc: 0.4188	Train loss: 0.0122	Test Acc: 0.4232	Test loss: 0.0121
Epoch 27 	Train Acc: 0.4629	Train loss: 0.0115	Test Acc: 0.4267	Test loss: 0.0123
Epoch 28 	Train Acc: 0.4379	Train loss: 0.0119	Test Acc: 0.4056	Test loss: 0.0130
Epoch 29 	Train Acc: 0.4508	Train loss: 0.0117	Test Acc: 0.4085	Test loss: 0.0126
Epoch 30 	Train Acc: 0.4477	Train loss: 0.0116	Test Acc: 0.4342	Test loss: 0.0120
Epoch 31 	Train Acc: 0.4961	Train loss: 0.0109	Test Acc: 0.4640	Test loss: 0.0118
Epoch 32 	Train Acc: 0.4836	Train loss: 0.0115	Test Acc: 0.4530	Test loss: 0.0116
Epoch 33 	Train Acc: 0.4547	Train loss: 0.0114	Test Acc: 0.4646	Test loss: 0.0115
Epoch 34 	Train Acc: 0.4609	Train loss: 0.0113	Test Acc: 0.4555	Test loss: 0.0117
Epoch 35 	Train Acc: 0.4961	Train loss: 0.0110	Test Acc: 0.4565	Test loss: 0.0122
Epoch 36 	Train Acc: 0.5012	Train loss: 0.0107	Test Acc: 0.4563	Test loss: 0.0120
Epoch 37 	Train Acc: 0.4980	Train loss: 0.0109	Test Acc: 0.4813	Test loss: 0.0113
Epoch 38 	Train Acc: 0.4895	Train loss: 0.0108	Test Acc: 0.4738	Test loss: 0.0113
Epoch 39 	Train Acc: 0.4897	Train loss: 0.0203	Test Acc: 0.4726	Test loss: 0.0112
Epoch 40 	Train Acc: 0.5121	Train loss: 0.0103	Test Acc: 0.4455	Test loss: 0.0122
