seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: Gaussian, defense: MyDefense, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/Gaussian_MyDefense/200_20_4_0.05_2025-03-06_15-56-05.txt

Started on Thu Mar  6 15:56:05 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1102	Train loss: 0.0180	Test Acc: 0.1177	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1645	Train loss: 0.0175	Test Acc: 0.1411	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2238	Train loss: 0.0169	Test Acc: 0.1945	Test loss: 0.0179
Epoch 3  	Train Acc: 0.3008	Train loss: 0.0160	Test Acc: 0.2753	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2938	Train loss: 0.0154	Test Acc: 0.3015	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3445	Train loss: 0.0144	Test Acc: 0.3193	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3492	Train loss: 0.0141	Test Acc: 0.2960	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3539	Train loss: 0.0139	Test Acc: 0.3111	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3953	Train loss: 0.0134	Test Acc: 0.2959	Test loss: 0.0159
Epoch 9  	Train Acc: 0.3812	Train loss: 0.0134	Test Acc: 0.2552	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3906	Train loss: 0.0131	Test Acc: 0.2496	Test loss: 0.0159
Epoch 11 	Train Acc: 0.4133	Train loss: 0.0125	Test Acc: 0.2523	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3770	Train loss: 0.0135	Test Acc: 0.2039	Test loss: 0.0172
Epoch 13 	Train Acc: 0.3848	Train loss: 0.0135	Test Acc: 0.1719	Test loss: 0.0177
Epoch 14 	Train Acc: 0.4023	Train loss: 0.0128	Test Acc: 0.2637	Test loss: 0.0160
Epoch 15 	Train Acc: 0.3754	Train loss: 0.0138	Test Acc: 0.2449	Test loss: 0.0174
Epoch 16 	Train Acc: 0.3707	Train loss: 0.0147	Test Acc: 0.2075	Test loss: 0.0168
Epoch 17 	Train Acc: 0.3977	Train loss: 0.0139	Test Acc: 0.2370	Test loss: 0.0161
Epoch 18 	Train Acc: 0.3797	Train loss: 0.0129	Test Acc: 0.2602	Test loss: 0.0150
Epoch 19 	Train Acc: 0.4397	Train loss: 0.0226	Test Acc: 0.3276	Test loss: 0.0146
Epoch 20 	Train Acc: 0.4188	Train loss: 0.0125	Test Acc: 0.3680	Test loss: 0.0141
Epoch 21 	Train Acc: 0.4078	Train loss: 0.0125	Test Acc: 0.4010	Test loss: 0.0134
Epoch 22 	Train Acc: 0.4332	Train loss: 0.0120	Test Acc: 0.4107	Test loss: 0.0127
Epoch 23 	Train Acc: 0.4324	Train loss: 0.0117	Test Acc: 0.4403	Test loss: 0.0122
Epoch 24 	Train Acc: 0.4953	Train loss: 0.0112	Test Acc: 0.4437	Test loss: 0.0122
Epoch 25 	Train Acc: 0.4566	Train loss: 0.0111	Test Acc: 0.4493	Test loss: 0.0120
Epoch 26 	Train Acc: 0.4785	Train loss: 0.0107	Test Acc: 0.4595	Test loss: 0.0116
Epoch 27 	Train Acc: 0.4836	Train loss: 0.0111	Test Acc: 0.4501	Test loss: 0.0119
Epoch 28 	Train Acc: 0.5078	Train loss: 0.0106	Test Acc: 0.4485	Test loss: 0.0120
Epoch 29 	Train Acc: 0.5148	Train loss: 0.0105	Test Acc: 0.4601	Test loss: 0.0115
Epoch 30 	Train Acc: 0.5055	Train loss: 0.0104	Test Acc: 0.5072	Test loss: 0.0108
Epoch 31 	Train Acc: 0.5156	Train loss: 0.0105	Test Acc: 0.4421	Test loss: 0.0121
Epoch 32 	Train Acc: 0.4984	Train loss: 0.0106	Test Acc: 0.4925	Test loss: 0.0111
Epoch 33 	Train Acc: 0.5285	Train loss: 0.0103	Test Acc: 0.5020	Test loss: 0.0107
Epoch 34 	Train Acc: 0.4945	Train loss: 0.0106	Test Acc: 0.5243	Test loss: 0.0103
Epoch 35 	Train Acc: 0.5184	Train loss: 0.0103	Test Acc: 0.5216	Test loss: 0.0105
Epoch 36 	Train Acc: 0.5289	Train loss: 0.0101	Test Acc: 0.4925	Test loss: 0.0107
Epoch 37 	Train Acc: 0.5035	Train loss: 0.0105	Test Acc: 0.5420	Test loss: 0.0100
Epoch 38 	Train Acc: 0.5586	Train loss: 0.0096	Test Acc: 0.5114	Test loss: 0.0105
Epoch 39 	Train Acc: 0.5228	Train loss: 0.0198	Test Acc: 0.5140	Test loss: 0.0103
Epoch 40 	Train Acc: 0.5527	Train loss: 0.0097	Test Acc: 0.5501	Test loss: 0.0097
Epoch 41 	Train Acc: 0.5492	Train loss: 0.0095	Test Acc: 0.5556	Test loss: 0.0098
Epoch 42 	Train Acc: 0.5824	Train loss: 0.0092	Test Acc: 0.5358	Test loss: 0.0099
Epoch 43 	Train Acc: 0.5523	Train loss: 0.0095	Test Acc: 0.5574	Test loss: 0.0095
Epoch 44 	Train Acc: 0.5598	Train loss: 0.0094	Test Acc: 0.5810	Test loss: 0.0093
Epoch 45 	Train Acc: 0.5879	Train loss: 0.0089	Test Acc: 0.5777	Test loss: 0.0093
Epoch 46 	Train Acc: 0.5984	Train loss: 0.0089	Test Acc: 0.5696	Test loss: 0.0093
Epoch 47 	Train Acc: 0.6078	Train loss: 0.0087	Test Acc: 0.5638	Test loss: 0.0094
Epoch 48 	Train Acc: 0.5949	Train loss: 0.0088	Test Acc: 0.5574	Test loss: 0.0098
Epoch 49 	Train Acc: 0.5867	Train loss: 0.0091	Test Acc: 0.5703	Test loss: 0.0096
Epoch 50 	Train Acc: 0.5996	Train loss: 0.0087	Test Acc: 0.5812	Test loss: 0.0092
Epoch 51 	Train Acc: 0.5977	Train loss: 0.0090	Test Acc: 0.5852	Test loss: 0.0090
Epoch 52 	Train Acc: 0.6211	Train loss: 0.0083	Test Acc: 0.5809	Test loss: 0.0091
Epoch 53 	Train Acc: 0.6051	Train loss: 0.0087	Test Acc: 0.5784	Test loss: 0.0093
Epoch 54 	Train Acc: 0.6094	Train loss: 0.0087	Test Acc: 0.4726	Test loss: 0.0122
Epoch 55 	Train Acc: 0.5969	Train loss: 0.0086	Test Acc: 0.5844	Test loss: 0.0094
Epoch 56 	Train Acc: 0.6332	Train loss: 0.0082	Test Acc: 0.6128	Test loss: 0.0088
Epoch 57 	Train Acc: 0.6152	Train loss: 0.0084	Test Acc: 0.5815	Test loss: 0.0092
Epoch 58 	Train Acc: 0.5980	Train loss: 0.0087	Test Acc: 0.5985	Test loss: 0.0088
Epoch 59 	Train Acc: 0.6147	Train loss: 0.0158	Test Acc: 0.6035	Test loss: 0.0088
Epoch 60 	Train Acc: 0.6059	Train loss: 0.0084	Test Acc: 0.5762	Test loss: 0.0093
Epoch 61 	Train Acc: 0.6383	Train loss: 0.0081	Test Acc: 0.5694	Test loss: 0.0096
Epoch 62 	Train Acc: 0.6449	Train loss: 0.0079	Test Acc: 0.5864	Test loss: 0.0091
Epoch 63 	Train Acc: 0.6137	Train loss: 0.0083	Test Acc: 0.6312	Test loss: 0.0081
Epoch 64 	Train Acc: 0.6578	Train loss: 0.0076	Test Acc: 0.6292	Test loss: 0.0083
Epoch 65 	Train Acc: 0.6363	Train loss: 0.0078	Test Acc: 0.6104	Test loss: 0.0087
Epoch 66 	Train Acc: 0.6453	Train loss: 0.0078	Test Acc: 0.6207	Test loss: 0.0084
Epoch 67 	Train Acc: 0.6480	Train loss: 0.0076	Test Acc: 0.5791	Test loss: 0.0095
Epoch 68 	Train Acc: 0.6410	Train loss: 0.0079	Test Acc: 0.6313	Test loss: 0.0082
Epoch 69 	Train Acc: 0.6445	Train loss: 0.0078	Test Acc: 0.6465	Test loss: 0.0079
Epoch 70 	Train Acc: 0.6602	Train loss: 0.0075	Test Acc: 0.6124	Test loss: 0.0085
Epoch 71 	Train Acc: 0.6555	Train loss: 0.0077	Test Acc: 0.6126	Test loss: 0.0086
