seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: Gaussian, defense: NormClipping, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/Gaussian_NormClipping/200_20_4_0.05_2025-03-09_12-14-54.txt

Started on Sun Mar  9 12:14:54 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1024	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1348	Train loss: 0.0177	Test Acc: 0.1524	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2152	Train loss: 0.0172	Test Acc: 0.1696	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2676	Train loss: 0.0165	Test Acc: 0.2300	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3301	Train loss: 0.0157	Test Acc: 0.2892	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3305	Train loss: 0.0150	Test Acc: 0.2967	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3402	Train loss: 0.0144	Test Acc: 0.3231	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3723	Train loss: 0.0140	Test Acc: 0.3373	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3934	Train loss: 0.0136	Test Acc: 0.3146	Test loss: 0.0165
Epoch 9  	Train Acc: 0.4023	Train loss: 0.0131	Test Acc: 0.2708	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3734	Train loss: 0.0134	Test Acc: 0.2519	Test loss: 0.0161
Epoch 11 	Train Acc: 0.4035	Train loss: 0.0127	Test Acc: 0.2281	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3543	Train loss: 0.0138	Test Acc: 0.2132	Test loss: 0.0170
Epoch 13 	Train Acc: 0.3984	Train loss: 0.0137	Test Acc: 0.2186	Test loss: 0.0173
Epoch 14 	Train Acc: 0.3984	Train loss: 0.0141	Test Acc: 0.2252	Test loss: 0.0163
Epoch 15 	Train Acc: 0.4496	Train loss: 0.0118	Test Acc: 0.2204	Test loss: 0.0160
Epoch 16 	Train Acc: 0.3355	Train loss: 0.0138	Test Acc: 0.1886	Test loss: 0.0176
Epoch 17 	Train Acc: 0.3875	Train loss: 0.0132	Test Acc: 0.1673	Test loss: 0.0177
Epoch 18 	Train Acc: 0.4293	Train loss: 0.0134	Test Acc: 0.2693	Test loss: 0.0158
Epoch 19 	Train Acc: 0.4007	Train loss: 0.0241	Test Acc: 0.2998	Test loss: 0.0149
Epoch 20 	Train Acc: 0.4168	Train loss: 0.0123	Test Acc: 0.3049	Test loss: 0.0147
Epoch 21 	Train Acc: 0.4707	Train loss: 0.0118	Test Acc: 0.3444	Test loss: 0.0145
Epoch 22 	Train Acc: 0.4602	Train loss: 0.0118	Test Acc: 0.3741	Test loss: 0.0140
Epoch 23 	Train Acc: 0.4395	Train loss: 0.0119	Test Acc: 0.3785	Test loss: 0.0135
Epoch 24 	Train Acc: 0.4297	Train loss: 0.0118	Test Acc: 0.4005	Test loss: 0.0129
Epoch 25 	Train Acc: 0.4691	Train loss: 0.0112	Test Acc: 0.4305	Test loss: 0.0125
Epoch 26 	Train Acc: 0.4711	Train loss: 0.0114	Test Acc: 0.4506	Test loss: 0.0123
Epoch 27 	Train Acc: 0.4754	Train loss: 0.0112	Test Acc: 0.4007	Test loss: 0.0126
Epoch 28 	Train Acc: 0.4555	Train loss: 0.0110	Test Acc: 0.3927	Test loss: 0.0127
Epoch 29 	Train Acc: 0.4902	Train loss: 0.0108	Test Acc: 0.4400	Test loss: 0.0120
Epoch 30 	Train Acc: 0.5062	Train loss: 0.0107	Test Acc: 0.4575	Test loss: 0.0115
Epoch 31 	Train Acc: 0.5223	Train loss: 0.0103	Test Acc: 0.4470	Test loss: 0.0118
Epoch 32 	Train Acc: 0.5090	Train loss: 0.0106	Test Acc: 0.4580	Test loss: 0.0118
Epoch 33 	Train Acc: 0.5090	Train loss: 0.0106	Test Acc: 0.4674	Test loss: 0.0115
Epoch 34 	Train Acc: 0.5020	Train loss: 0.0105	Test Acc: 0.4600	Test loss: 0.0116
Epoch 35 	Train Acc: 0.5297	Train loss: 0.0103	Test Acc: 0.4222	Test loss: 0.0124
Epoch 36 	Train Acc: 0.5418	Train loss: 0.0100	Test Acc: 0.4737	Test loss: 0.0115
Epoch 37 	Train Acc: 0.5379	Train loss: 0.0101	Test Acc: 0.4991	Test loss: 0.0110
Epoch 38 	Train Acc: 0.5258	Train loss: 0.0101	Test Acc: 0.4868	Test loss: 0.0114
Epoch 39 	Train Acc: 0.5471	Train loss: 0.0180	Test Acc: 0.5045	Test loss: 0.0108
