seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: Gaussian, defense: TESSERACT, attack_params: {'noise_mean': 0, 'noise_std': 1}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/Gaussian_TESSERACT/200_20_4_0.05_2025-03-09_12-14-54.txt

Started on Sun Mar  9 12:14:54 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1046	Test loss: 0.0968
Epoch 1  	Train Acc: 0.1027	Train loss: 0.0570	Test Acc: 0.1194	Test loss: 0.1835
Epoch 2  	Train Acc: 0.1195	Train loss: 0.0906	Test Acc: 0.1262	Test loss: 0.2872
Epoch 3  	Train Acc: 0.1293	Train loss: 0.1461	Test Acc: 0.1354	Test loss: 0.3742
Epoch 4  	Train Acc: 0.1469	Train loss: 0.1334	Test Acc: 0.1136	Test loss: 0.4708
Epoch 5  	Train Acc: 0.1113	Train loss: 0.0892	Test Acc: 0.1305	Test loss: 0.3245
Epoch 6  	Train Acc: 0.1566	Train loss: 0.0589	Test Acc: 0.1252	Test loss: 0.1730
Epoch 7  	Train Acc: 0.1492	Train loss: 0.0371	Test Acc: 0.1469	Test loss: 0.0950
Epoch 8  	Train Acc: 0.1602	Train loss: 0.0283	Test Acc: 0.1376	Test loss: 0.0665
Epoch 9  	Train Acc: 0.1402	Train loss: 0.0218	Test Acc: 0.1368	Test loss: 0.0468
Epoch 10 	Train Acc: 0.1492	Train loss: 0.0193	Test Acc: 0.1269	Test loss: 0.0348
Epoch 11 	Train Acc: 0.1504	Train loss: 0.0183	Test Acc: 0.1109	Test loss: 0.0316
Epoch 12 	Train Acc: 0.1645	Train loss: 0.0176	Test Acc: 0.1209	Test loss: 0.0259
Epoch 13 	Train Acc: 0.1527	Train loss: 0.0176	Test Acc: 0.1286	Test loss: 0.0228
Epoch 14 	Train Acc: 0.1711	Train loss: 0.0173	Test Acc: 0.1280	Test loss: 0.0216
Epoch 15 	Train Acc: 0.1754	Train loss: 0.0172	Test Acc: 0.1334	Test loss: 0.0219
Epoch 16 	Train Acc: 0.1879	Train loss: 0.0171	Test Acc: 0.1398	Test loss: 0.0219
Epoch 17 	Train Acc: 0.1918	Train loss: 0.0170	Test Acc: 0.1507	Test loss: 0.0213
Epoch 18 	Train Acc: 0.2062	Train loss: 0.0167	Test Acc: 0.1659	Test loss: 0.0201
Epoch 19 	Train Acc: 0.2184	Train loss: 0.0307	Test Acc: 0.1784	Test loss: 0.0194
Epoch 20 	Train Acc: 0.2184	Train loss: 0.0164	Test Acc: 0.1850	Test loss: 0.0193
Epoch 21 	Train Acc: 0.2188	Train loss: 0.0164	Test Acc: 0.1922	Test loss: 0.0191
Epoch 22 	Train Acc: 0.2465	Train loss: 0.0160	Test Acc: 0.1993	Test loss: 0.0182
