seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: Bulyan, attack_params: {'scaling_factor': 0.5}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_Bulyan/200_20_4_0.05_2025-03-08_16-47-01.txt

Started on Sat Mar  8 16:47:01 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1011	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1340	Train loss: 0.0176	Test Acc: 0.1658	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2152	Train loss: 0.0171	Test Acc: 0.1746	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2750	Train loss: 0.0163	Test Acc: 0.2298	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3031	Train loss: 0.0162	Test Acc: 0.2608	Test loss: 0.0175
Epoch 5  	Train Acc: 0.2789	Train loss: 0.0153	Test Acc: 0.2739	Test loss: 0.0172
Epoch 6  	Train Acc: 0.2801	Train loss: 0.0152	Test Acc: 0.2802	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3453	Train loss: 0.0142	Test Acc: 0.3016	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3570	Train loss: 0.0143	Test Acc: 0.2691	Test loss: 0.0163
Epoch 9  	Train Acc: 0.3555	Train loss: 0.0141	Test Acc: 0.2517	Test loss: 0.0158
Epoch 10 	Train Acc: 0.3125	Train loss: 0.0150	Test Acc: 0.3107	Test loss: 0.0156
Epoch 11 	Train Acc: 0.3098	Train loss: 0.0154	Test Acc: 0.2224	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3090	Train loss: 0.0146	Test Acc: 0.2027	Test loss: 0.0163
Epoch 13 	Train Acc: 0.2898	Train loss: 0.0148	Test Acc: 0.2438	Test loss: 0.0160
Epoch 14 	Train Acc: 0.3395	Train loss: 0.0143	Test Acc: 0.3111	Test loss: 0.0153
Epoch 15 	Train Acc: 0.3469	Train loss: 0.0140	Test Acc: 0.3465	Test loss: 0.0148
Epoch 16 	Train Acc: 0.3453	Train loss: 0.0141	Test Acc: 0.3192	Test loss: 0.0147
Epoch 17 	Train Acc: 0.3668	Train loss: 0.0138	Test Acc: 0.3287	Test loss: 0.0147
Epoch 18 	Train Acc: 0.3738	Train loss: 0.0134	Test Acc: 0.3543	Test loss: 0.0143
Epoch 19 	Train Acc: 0.3890	Train loss: 0.0243	Test Acc: 0.3200	Test loss: 0.0149
Epoch 20 	Train Acc: 0.3656	Train loss: 0.0133	Test Acc: 0.3725	Test loss: 0.0134
