seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: CenteredClipping, attack_params: {'scaling_factor': 0.5}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_CenteredClipping/200_20_4_0.05_2025-03-11_12-06-44.txt

Started on Tue Mar 11 12:06:44 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1016	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1340	Train loss: 0.0177	Test Acc: 0.1430	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2039	Train loss: 0.0173	Test Acc: 0.1616	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2500	Train loss: 0.0166	Test Acc: 0.2094	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3340	Train loss: 0.0158	Test Acc: 0.2742	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3242	Train loss: 0.0152	Test Acc: 0.2903	Test loss: 0.0175
Epoch 6  	Train Acc: 0.3305	Train loss: 0.0146	Test Acc: 0.3129	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3559	Train loss: 0.0142	Test Acc: 0.3295	Test loss: 0.0170
Epoch 8  	Train Acc: 0.3887	Train loss: 0.0138	Test Acc: 0.3368	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3988	Train loss: 0.0132	Test Acc: 0.2987	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3863	Train loss: 0.0133	Test Acc: 0.2621	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3871	Train loss: 0.0129	Test Acc: 0.2325	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3738	Train loss: 0.0135	Test Acc: 0.2214	Test loss: 0.0165
Epoch 13 	Train Acc: 0.3922	Train loss: 0.0128	Test Acc: 0.2152	Test loss: 0.0169
Epoch 14 	Train Acc: 0.4086	Train loss: 0.0127	Test Acc: 0.2228	Test loss: 0.0163
Epoch 15 	Train Acc: 0.4086	Train loss: 0.0126	Test Acc: 0.2106	Test loss: 0.0165
Epoch 16 	Train Acc: 0.4180	Train loss: 0.0124	Test Acc: 0.1645	Test loss: 0.0176
Epoch 17 	Train Acc: 0.4102	Train loss: 0.0126	Test Acc: 0.1566	Test loss: 0.0174
Epoch 18 	Train Acc: 0.4625	Train loss: 0.0119	Test Acc: 0.1905	Test loss: 0.0164
Epoch 19 	Train Acc: 0.4228	Train loss: 0.0227	Test Acc: 0.2219	Test loss: 0.0162
Epoch 20 	Train Acc: 0.4668	Train loss: 0.0115	Test Acc: 0.2022	Test loss: 0.0165
Epoch 21 	Train Acc: 0.4504	Train loss: 0.0117	Test Acc: 0.2442	Test loss: 0.0157
Epoch 22 	Train Acc: 0.4719	Train loss: 0.0111	Test Acc: 0.2843	Test loss: 0.0146
Epoch 23 	Train Acc: 0.4898	Train loss: 0.0110	Test Acc: 0.2971	Test loss: 0.0142
Epoch 24 	Train Acc: 0.4902	Train loss: 0.0109	Test Acc: 0.3086	Test loss: 0.0142
Epoch 25 	Train Acc: 0.4957	Train loss: 0.0106	Test Acc: 0.3121	Test loss: 0.0146
Epoch 26 	Train Acc: 0.4914	Train loss: 0.0109	Test Acc: 0.3368	Test loss: 0.0142
Epoch 27 	Train Acc: 0.4805	Train loss: 0.0109	Test Acc: 0.3754	Test loss: 0.0134
Epoch 28 	Train Acc: 0.5105	Train loss: 0.0104	Test Acc: 0.4042	Test loss: 0.0129
Epoch 29 	Train Acc: 0.5238	Train loss: 0.0102	Test Acc: 0.3726	Test loss: 0.0132
Epoch 30 	Train Acc: 0.5188	Train loss: 0.0104	Test Acc: 0.3585	Test loss: 0.0135
Epoch 31 	Train Acc: 0.5367	Train loss: 0.0100	Test Acc: 0.3826	Test loss: 0.0133
Epoch 32 	Train Acc: 0.5285	Train loss: 0.0103	Test Acc: 0.4256	Test loss: 0.0124
Epoch 33 	Train Acc: 0.5340	Train loss: 0.0101	Test Acc: 0.4558	Test loss: 0.0119
Epoch 34 	Train Acc: 0.5340	Train loss: 0.0103	Test Acc: 0.4552	Test loss: 0.0119
Epoch 35 	Train Acc: 0.5598	Train loss: 0.0098	Test Acc: 0.4572	Test loss: 0.0119
Epoch 36 	Train Acc: 0.5520	Train loss: 0.0097	Test Acc: 0.4776	Test loss: 0.0118
Epoch 37 	Train Acc: 0.5598	Train loss: 0.0100	Test Acc: 0.4896	Test loss: 0.0116
Epoch 38 	Train Acc: 0.5598	Train loss: 0.0096	Test Acc: 0.4769	Test loss: 0.0113
Epoch 39 	Train Acc: 0.5485	Train loss: 0.0176	Test Acc: 0.4983	Test loss: 0.0110
Epoch 40 	Train Acc: 0.5660	Train loss: 0.0096	Test Acc: 0.4826	Test loss: 0.0115
Epoch 41 	Train Acc: 0.5746	Train loss: 0.0094	Test Acc: 0.4638	Test loss: 0.0118
Epoch 42 	Train Acc: 0.5777	Train loss: 0.0092	Test Acc: 0.4887	Test loss: 0.0114
Epoch 43 	Train Acc: 0.5668	Train loss: 0.0093	Test Acc: 0.4846	Test loss: 0.0115
Epoch 44 	Train Acc: 0.6000	Train loss: 0.0087	Test Acc: 0.5013	Test loss: 0.0113
Epoch 45 	Train Acc: 0.5809	Train loss: 0.0091	Test Acc: 0.4825	Test loss: 0.0117
Epoch 46 	Train Acc: 0.5941	Train loss: 0.0089	Test Acc: 0.5595	Test loss: 0.0099
