seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: Krum, attack_params: {'scaling_factor': 0.5}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_Krum/200_20_4_0.05_2025-03-08_16-47-00.txt

Started on Sat Mar  8 16:47:00 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1346	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1586	Train loss: 0.0177	Test Acc: 0.1166	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1742	Train loss: 0.0173	Test Acc: 0.1300	Test loss: 0.0180
Epoch 3  	Train Acc: 0.1895	Train loss: 0.0171	Test Acc: 0.1549	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2293	Train loss: 0.0163	Test Acc: 0.2357	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2863	Train loss: 0.0157	Test Acc: 0.2770	Test loss: 0.0172
Epoch 6  	Train Acc: 0.2965	Train loss: 0.0151	Test Acc: 0.2533	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3047	Train loss: 0.0148	Test Acc: 0.3176	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3219	Train loss: 0.0148	Test Acc: 0.2961	Test loss: 0.0161
Epoch 9  	Train Acc: 0.2715	Train loss: 0.0151	Test Acc: 0.2382	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3125	Train loss: 0.0149	Test Acc: 0.2496	Test loss: 0.0161
Epoch 11 	Train Acc: 0.2922	Train loss: 0.0154	Test Acc: 0.2480	Test loss: 0.0159
Epoch 12 	Train Acc: 0.3082	Train loss: 0.0146	Test Acc: 0.2804	Test loss: 0.0156
Epoch 13 	Train Acc: 0.3187	Train loss: 0.0143	Test Acc: 0.2766	Test loss: 0.0157
Epoch 14 	Train Acc: 0.2559	Train loss: 0.0148	Test Acc: 0.3188	Test loss: 0.0154
Epoch 15 	Train Acc: 0.3621	Train loss: 0.0141	Test Acc: 0.3290	Test loss: 0.0150
Epoch 16 	Train Acc: 0.3539	Train loss: 0.0140	Test Acc: 0.3061	Test loss: 0.0149
Epoch 17 	Train Acc: 0.3285	Train loss: 0.0144	Test Acc: 0.3422	Test loss: 0.0144
Epoch 18 	Train Acc: 0.3801	Train loss: 0.0137	Test Acc: 0.3808	Test loss: 0.0138
Epoch 19 	Train Acc: 0.3897	Train loss: 0.0246	Test Acc: 0.3860	Test loss: 0.0134
Epoch 20 	Train Acc: 0.3723	Train loss: 0.0136	Test Acc: 0.3444	Test loss: 0.0136
Epoch 21 	Train Acc: 0.3492	Train loss: 0.0136	Test Acc: 0.3632	Test loss: 0.0134
Epoch 22 	Train Acc: 0.3848	Train loss: 0.0128	Test Acc: 0.3381	Test loss: 0.0143
Epoch 23 	Train Acc: 0.3809	Train loss: 0.0132	Test Acc: 0.3314	Test loss: 0.0158
Epoch 24 	Train Acc: 0.3824	Train loss: 0.0137	Test Acc: 0.3697	Test loss: 0.0135
Epoch 25 	Train Acc: 0.4004	Train loss: 0.0127	Test Acc: 0.3990	Test loss: 0.0127
Epoch 26 	Train Acc: 0.3898	Train loss: 0.0128	Test Acc: 0.3668	Test loss: 0.0134
Epoch 27 	Train Acc: 0.3664	Train loss: 0.0133	Test Acc: 0.3561	Test loss: 0.0133
Epoch 28 	Train Acc: 0.3680	Train loss: 0.0130	Test Acc: 0.4067	Test loss: 0.0129
Epoch 29 	Train Acc: 0.4023	Train loss: 0.0128	Test Acc: 0.3808	Test loss: 0.0130
Epoch 30 	Train Acc: 0.3996	Train loss: 0.0126	Test Acc: 0.3476	Test loss: 0.0142
