seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: Median, attack_params: {'scaling_factor': 0.5}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_Median/200_20_4_0.05_2025-03-08_16-47-00.txt

Started on Sat Mar  8 16:47:00 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1015	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1281	Train loss: 0.0177	Test Acc: 0.1425	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1977	Train loss: 0.0173	Test Acc: 0.1643	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2500	Train loss: 0.0166	Test Acc: 0.2515	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3344	Train loss: 0.0158	Test Acc: 0.2838	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3199	Train loss: 0.0151	Test Acc: 0.2749	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3383	Train loss: 0.0145	Test Acc: 0.2833	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3645	Train loss: 0.0142	Test Acc: 0.3012	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3844	Train loss: 0.0138	Test Acc: 0.2909	Test loss: 0.0164
Epoch 9  	Train Acc: 0.4035	Train loss: 0.0132	Test Acc: 0.2749	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3816	Train loss: 0.0133	Test Acc: 0.2543	Test loss: 0.0159
Epoch 11 	Train Acc: 0.3961	Train loss: 0.0129	Test Acc: 0.2317	Test loss: 0.0158
Epoch 12 	Train Acc: 0.3793	Train loss: 0.0133	Test Acc: 0.2159	Test loss: 0.0164
Epoch 13 	Train Acc: 0.4062	Train loss: 0.0125	Test Acc: 0.2157	Test loss: 0.0168
Epoch 14 	Train Acc: 0.4266	Train loss: 0.0124	Test Acc: 0.2376	Test loss: 0.0161
Epoch 15 	Train Acc: 0.4141	Train loss: 0.0126	Test Acc: 0.2294	Test loss: 0.0165
Epoch 16 	Train Acc: 0.4176	Train loss: 0.0124	Test Acc: 0.1764	Test loss: 0.0175
Epoch 17 	Train Acc: 0.4324	Train loss: 0.0122	Test Acc: 0.1704	Test loss: 0.0171
Epoch 18 	Train Acc: 0.4367	Train loss: 0.0120	Test Acc: 0.2048	Test loss: 0.0163
Epoch 19 	Train Acc: 0.4647	Train loss: 0.0216	Test Acc: 0.2302	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4668	Train loss: 0.0115	Test Acc: 0.2159	Test loss: 0.0163
Epoch 21 	Train Acc: 0.4617	Train loss: 0.0114	Test Acc: 0.2587	Test loss: 0.0150
Epoch 22 	Train Acc: 0.4930	Train loss: 0.0109	Test Acc: 0.3205	Test loss: 0.0140
Epoch 23 	Train Acc: 0.4988	Train loss: 0.0108	Test Acc: 0.3394	Test loss: 0.0136
Epoch 24 	Train Acc: 0.5000	Train loss: 0.0108	Test Acc: 0.3480	Test loss: 0.0135
Epoch 25 	Train Acc: 0.5062	Train loss: 0.0107	Test Acc: 0.3592	Test loss: 0.0134
Epoch 26 	Train Acc: 0.4961	Train loss: 0.0109	Test Acc: 0.3930	Test loss: 0.0129
Epoch 27 	Train Acc: 0.5027	Train loss: 0.0107	Test Acc: 0.4306	Test loss: 0.0123
Epoch 28 	Train Acc: 0.4984	Train loss: 0.0106	Test Acc: 0.4495	Test loss: 0.0119
Epoch 29 	Train Acc: 0.5238	Train loss: 0.0105	Test Acc: 0.4684	Test loss: 0.0118
Epoch 30 	Train Acc: 0.5316	Train loss: 0.0103	Test Acc: 0.4417	Test loss: 0.0122
Epoch 31 	Train Acc: 0.5301	Train loss: 0.0101	Test Acc: 0.4484	Test loss: 0.0120
Epoch 32 	Train Acc: 0.5211	Train loss: 0.0104	Test Acc: 0.4906	Test loss: 0.0112
Epoch 33 	Train Acc: 0.5445	Train loss: 0.0102	Test Acc: 0.4967	Test loss: 0.0110
Epoch 34 	Train Acc: 0.5180	Train loss: 0.0105	Test Acc: 0.5063	Test loss: 0.0108
Epoch 35 	Train Acc: 0.5676	Train loss: 0.0100	Test Acc: 0.5073	Test loss: 0.0108
