seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: NormClipping, attack_params: {'scaling_factor': 0.5}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_NormClipping/200_20_4_0.05_2025-03-08_19-28-47.txt

Started on Sat Mar  8 19:28:47 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1012	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1336	Train loss: 0.0177	Test Acc: 0.1462	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2035	Train loss: 0.0173	Test Acc: 0.1636	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2488	Train loss: 0.0166	Test Acc: 0.2089	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3312	Train loss: 0.0158	Test Acc: 0.2747	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3273	Train loss: 0.0152	Test Acc: 0.2899	Test loss: 0.0175
Epoch 6  	Train Acc: 0.3371	Train loss: 0.0146	Test Acc: 0.3130	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3559	Train loss: 0.0142	Test Acc: 0.3329	Test loss: 0.0170
Epoch 8  	Train Acc: 0.3871	Train loss: 0.0138	Test Acc: 0.3390	Test loss: 0.0168
Epoch 9  	Train Acc: 0.4039	Train loss: 0.0132	Test Acc: 0.3009	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3848	Train loss: 0.0133	Test Acc: 0.2665	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3879	Train loss: 0.0129	Test Acc: 0.2371	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3773	Train loss: 0.0135	Test Acc: 0.2238	Test loss: 0.0165
Epoch 13 	Train Acc: 0.3980	Train loss: 0.0128	Test Acc: 0.2156	Test loss: 0.0169
Epoch 14 	Train Acc: 0.4098	Train loss: 0.0127	Test Acc: 0.2272	Test loss: 0.0163
Epoch 15 	Train Acc: 0.4141	Train loss: 0.0125	Test Acc: 0.2127	Test loss: 0.0164
Epoch 16 	Train Acc: 0.4172	Train loss: 0.0124	Test Acc: 0.1693	Test loss: 0.0175
Epoch 17 	Train Acc: 0.4180	Train loss: 0.0125	Test Acc: 0.1557	Test loss: 0.0174
Epoch 18 	Train Acc: 0.4676	Train loss: 0.0119	Test Acc: 0.1861	Test loss: 0.0163
Epoch 19 	Train Acc: 0.4301	Train loss: 0.0226	Test Acc: 0.2200	Test loss: 0.0160
Epoch 20 	Train Acc: 0.4578	Train loss: 0.0116	Test Acc: 0.2036	Test loss: 0.0164
Epoch 21 	Train Acc: 0.4504	Train loss: 0.0117	Test Acc: 0.2454	Test loss: 0.0156
Epoch 22 	Train Acc: 0.4703	Train loss: 0.0112	Test Acc: 0.2840	Test loss: 0.0146
Epoch 23 	Train Acc: 0.4938	Train loss: 0.0109	Test Acc: 0.2924	Test loss: 0.0142
Epoch 24 	Train Acc: 0.4930	Train loss: 0.0109	Test Acc: 0.3192	Test loss: 0.0141
Epoch 25 	Train Acc: 0.5027	Train loss: 0.0106	Test Acc: 0.3042	Test loss: 0.0146
Epoch 26 	Train Acc: 0.4965	Train loss: 0.0109	Test Acc: 0.3342	Test loss: 0.0144
Epoch 27 	Train Acc: 0.4828	Train loss: 0.0110	Test Acc: 0.3821	Test loss: 0.0134
Epoch 28 	Train Acc: 0.5098	Train loss: 0.0104	Test Acc: 0.4114	Test loss: 0.0128
Epoch 29 	Train Acc: 0.5219	Train loss: 0.0103	Test Acc: 0.3847	Test loss: 0.0131
Epoch 30 	Train Acc: 0.5152	Train loss: 0.0104	Test Acc: 0.3665	Test loss: 0.0133
Epoch 31 	Train Acc: 0.5383	Train loss: 0.0100	Test Acc: 0.3936	Test loss: 0.0131
Epoch 32 	Train Acc: 0.5293	Train loss: 0.0103	Test Acc: 0.4344	Test loss: 0.0122
Epoch 33 	Train Acc: 0.5375	Train loss: 0.0101	Test Acc: 0.4638	Test loss: 0.0118
Epoch 34 	Train Acc: 0.5359	Train loss: 0.0103	Test Acc: 0.4644	Test loss: 0.0117
Epoch 35 	Train Acc: 0.5582	Train loss: 0.0098	Test Acc: 0.4662	Test loss: 0.0118
Epoch 36 	Train Acc: 0.5488	Train loss: 0.0098	Test Acc: 0.4770	Test loss: 0.0118
Epoch 37 	Train Acc: 0.5594	Train loss: 0.0100	Test Acc: 0.4852	Test loss: 0.0118
Epoch 38 	Train Acc: 0.5594	Train loss: 0.0097	Test Acc: 0.4810	Test loss: 0.0115
Epoch 39 	Train Acc: 0.5419	Train loss: 0.0178	Test Acc: 0.5044	Test loss: 0.0108
Epoch 40 	Train Acc: 0.5715	Train loss: 0.0095	Test Acc: 0.4993	Test loss: 0.0111
Epoch 41 	Train Acc: 0.5691	Train loss: 0.0094	Test Acc: 0.4735	Test loss: 0.0117
Epoch 42 	Train Acc: 0.5789	Train loss: 0.0093	Test Acc: 0.4790	Test loss: 0.0116
Epoch 43 	Train Acc: 0.5699	Train loss: 0.0093	Test Acc: 0.5061	Test loss: 0.0111
Epoch 44 	Train Acc: 0.6031	Train loss: 0.0086	Test Acc: 0.4926	Test loss: 0.0116
Epoch 45 	Train Acc: 0.5734	Train loss: 0.0093	Test Acc: 0.4863	Test loss: 0.0118
Epoch 46 	Train Acc: 0.6012	Train loss: 0.0088	Test Acc: 0.5389	Test loss: 0.0104
Epoch 47 	Train Acc: 0.5887	Train loss: 0.0090	Test Acc: 0.5074	Test loss: 0.0107
Epoch 48 	Train Acc: 0.6066	Train loss: 0.0087	Test Acc: 0.5599	Test loss: 0.0097
Epoch 49 	Train Acc: 0.6043	Train loss: 0.0088	Test Acc: 0.5417	Test loss: 0.0102
Epoch 50 	Train Acc: 0.5852	Train loss: 0.0090	Test Acc: 0.5684	Test loss: 0.0097
Epoch 51 	Train Acc: 0.6195	Train loss: 0.0085	Test Acc: 0.5721	Test loss: 0.0095
Epoch 52 	Train Acc: 0.6137	Train loss: 0.0086	Test Acc: 0.5471	Test loss: 0.0101
Epoch 53 	Train Acc: 0.6000	Train loss: 0.0087	Test Acc: 0.5499	Test loss: 0.0099
Epoch 54 	Train Acc: 0.6043	Train loss: 0.0088	Test Acc: 0.5617	Test loss: 0.0098
Epoch 55 	Train Acc: 0.6172	Train loss: 0.0084	Test Acc: 0.5913	Test loss: 0.0093
Epoch 56 	Train Acc: 0.6043	Train loss: 0.0084	Test Acc: 0.5992	Test loss: 0.0090
Epoch 57 	Train Acc: 0.6223	Train loss: 0.0085	Test Acc: 0.5911	Test loss: 0.0091
Epoch 58 	Train Acc: 0.6105	Train loss: 0.0087	Test Acc: 0.6039	Test loss: 0.0089
Epoch 59 	Train Acc: 0.5971	Train loss: 0.0162	Test Acc: 0.5713	Test loss: 0.0093
Epoch 60 	Train Acc: 0.6191	Train loss: 0.0083	Test Acc: 0.5635	Test loss: 0.0097
Epoch 61 	Train Acc: 0.6105	Train loss: 0.0083	Test Acc: 0.5840	Test loss: 0.0093
