seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: SignGuard, attack_params: {'scaling_factor': 0.5}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_SignGuard/200_20_4_0.05_2025-03-08_19-28-47.txt

Started on Sat Mar  8 19:28:47 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1008	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1285	Train loss: 0.0177	Test Acc: 0.1520	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1918	Train loss: 0.0174	Test Acc: 0.1506	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2172	Train loss: 0.0169	Test Acc: 0.1757	Test loss: 0.0179
Epoch 4  	Train Acc: 0.2965	Train loss: 0.0159	Test Acc: 0.2538	Test loss: 0.0178
Epoch 5  	Train Acc: 0.3160	Train loss: 0.0153	Test Acc: 0.2634	Test loss: 0.0177
Epoch 6  	Train Acc: 0.3133	Train loss: 0.0151	Test Acc: 0.2898	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3246	Train loss: 0.0145	Test Acc: 0.3314	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3719	Train loss: 0.0140	Test Acc: 0.3280	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3914	Train loss: 0.0134	Test Acc: 0.2578	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3629	Train loss: 0.0139	Test Acc: 0.2589	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3836	Train loss: 0.0132	Test Acc: 0.2811	Test loss: 0.0158
Epoch 12 	Train Acc: 0.3832	Train loss: 0.0135	Test Acc: 0.2150	Test loss: 0.0162
Epoch 13 	Train Acc: 0.3988	Train loss: 0.0128	Test Acc: 0.1784	Test loss: 0.0172
Epoch 14 	Train Acc: 0.3715	Train loss: 0.0138	Test Acc: 0.2336	Test loss: 0.0162
Epoch 15 	Train Acc: 0.4234	Train loss: 0.0123	Test Acc: 0.2597	Test loss: 0.0156
Epoch 16 	Train Acc: 0.3727	Train loss: 0.0136	Test Acc: 0.2310	Test loss: 0.0166
