seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: TESSERACT, attack_params: {'scaling_factor': 0.5}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_TESSERACT/200_20_4_0.05_2025-03-08_19-28-47.txt

Started on Sat Mar  8 19:28:47 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1012	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1367	Train loss: 0.0177	Test Acc: 0.1503	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2219	Train loss: 0.0172	Test Acc: 0.1786	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2676	Train loss: 0.0164	Test Acc: 0.2266	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3230	Train loss: 0.0157	Test Acc: 0.2859	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3246	Train loss: 0.0150	Test Acc: 0.3105	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3402	Train loss: 0.0144	Test Acc: 0.3291	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3676	Train loss: 0.0140	Test Acc: 0.3291	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3949	Train loss: 0.0137	Test Acc: 0.2968	Test loss: 0.0165
Epoch 9  	Train Acc: 0.4055	Train loss: 0.0130	Test Acc: 0.2734	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3758	Train loss: 0.0133	Test Acc: 0.2514	Test loss: 0.0160
Epoch 11 	Train Acc: 0.4086	Train loss: 0.0127	Test Acc: 0.2291	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3895	Train loss: 0.0131	Test Acc: 0.2171	Test loss: 0.0165
Epoch 13 	Train Acc: 0.4086	Train loss: 0.0126	Test Acc: 0.2006	Test loss: 0.0169
Epoch 14 	Train Acc: 0.4109	Train loss: 0.0126	Test Acc: 0.2337	Test loss: 0.0160
Epoch 15 	Train Acc: 0.3984	Train loss: 0.0131	Test Acc: 0.2093	Test loss: 0.0168
Epoch 16 	Train Acc: 0.3742	Train loss: 0.0141	Test Acc: 0.1856	Test loss: 0.0185
Epoch 17 	Train Acc: 0.3781	Train loss: 0.0143	Test Acc: 0.1781	Test loss: 0.0174
Epoch 18 	Train Acc: 0.4430	Train loss: 0.0121	Test Acc: 0.2632	Test loss: 0.0152
Epoch 19 	Train Acc: 0.3912	Train loss: 0.0247	Test Acc: 0.3127	Test loss: 0.0149
Epoch 20 	Train Acc: 0.4113	Train loss: 0.0127	Test Acc: 0.2581	Test loss: 0.0153
Epoch 21 	Train Acc: 0.4637	Train loss: 0.0117	Test Acc: 0.2542	Test loss: 0.0155
Epoch 22 	Train Acc: 0.4590	Train loss: 0.0119	Test Acc: 0.2731	Test loss: 0.0153
Epoch 23 	Train Acc: 0.4457	Train loss: 0.0120	Test Acc: 0.3029	Test loss: 0.0147
Epoch 24 	Train Acc: 0.4680	Train loss: 0.0115	Test Acc: 0.3395	Test loss: 0.0142
Epoch 25 	Train Acc: 0.4887	Train loss: 0.0112	Test Acc: 0.3622	Test loss: 0.0139
Epoch 26 	Train Acc: 0.4730	Train loss: 0.0114	Test Acc: 0.3750	Test loss: 0.0137
Epoch 27 	Train Acc: 0.4863	Train loss: 0.0113	Test Acc: 0.3801	Test loss: 0.0137
Epoch 28 	Train Acc: 0.4762	Train loss: 0.0112	Test Acc: 0.3841	Test loss: 0.0136
Epoch 29 	Train Acc: 0.4902	Train loss: 0.0112	Test Acc: 0.3813	Test loss: 0.0136
Epoch 30 	Train Acc: 0.4699	Train loss: 0.0113	Test Acc: 0.3816	Test loss: 0.0136
Epoch 31 	Train Acc: 0.4719	Train loss: 0.0111	Test Acc: 0.3784	Test loss: 0.0137
Epoch 32 	Train Acc: 0.4750	Train loss: 0.0114	Test Acc: 0.3767	Test loss: 0.0137
Epoch 33 	Train Acc: 0.4691	Train loss: 0.0114	Test Acc: 0.3752	Test loss: 0.0137
Epoch 34 	Train Acc: 0.4617	Train loss: 0.0115	Test Acc: 0.3731	Test loss: 0.0137
