seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: TrimmedMean, attack_params: {'scaling_factor': 0.5}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/IPM_TrimmedMean/200_20_4_0.05_2025-03-08_16-47-00.txt

Started on Sat Mar  8 16:47:00 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0949	Train loss: 0.0181	Test Acc: 0.1009	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1328	Train loss: 0.0177	Test Acc: 0.1418	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1973	Train loss: 0.0173	Test Acc: 0.1597	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2469	Train loss: 0.0167	Test Acc: 0.2249	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3320	Train loss: 0.0159	Test Acc: 0.2805	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3242	Train loss: 0.0152	Test Acc: 0.2877	Test loss: 0.0175
Epoch 6  	Train Acc: 0.3371	Train loss: 0.0147	Test Acc: 0.3028	Test loss: 0.0172
Epoch 7  	Train Acc: 0.3531	Train loss: 0.0143	Test Acc: 0.3183	Test loss: 0.0170
Epoch 8  	Train Acc: 0.3863	Train loss: 0.0139	Test Acc: 0.3147	Test loss: 0.0167
Epoch 9  	Train Acc: 0.4035	Train loss: 0.0133	Test Acc: 0.2890	Test loss: 0.0164
Epoch 10 	Train Acc: 0.3902	Train loss: 0.0133	Test Acc: 0.2591	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3902	Train loss: 0.0130	Test Acc: 0.2286	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3832	Train loss: 0.0133	Test Acc: 0.2169	Test loss: 0.0164
Epoch 13 	Train Acc: 0.4004	Train loss: 0.0126	Test Acc: 0.2122	Test loss: 0.0168
Epoch 14 	Train Acc: 0.4219	Train loss: 0.0124	Test Acc: 0.2255	Test loss: 0.0163
Epoch 15 	Train Acc: 0.4250	Train loss: 0.0124	Test Acc: 0.2168	Test loss: 0.0164
Epoch 16 	Train Acc: 0.4238	Train loss: 0.0123	Test Acc: 0.1666	Test loss: 0.0175
Epoch 17 	Train Acc: 0.4266	Train loss: 0.0123	Test Acc: 0.1608	Test loss: 0.0175
Epoch 18 	Train Acc: 0.4613	Train loss: 0.0118	Test Acc: 0.1944	Test loss: 0.0165
Epoch 19 	Train Acc: 0.4184	Train loss: 0.0226	Test Acc: 0.2166	Test loss: 0.0166
Epoch 20 	Train Acc: 0.4621	Train loss: 0.0115	Test Acc: 0.1956	Test loss: 0.0167
Epoch 21 	Train Acc: 0.4738	Train loss: 0.0115	Test Acc: 0.2431	Test loss: 0.0154
Epoch 22 	Train Acc: 0.4824	Train loss: 0.0110	Test Acc: 0.2750	Test loss: 0.0146
Epoch 23 	Train Acc: 0.4980	Train loss: 0.0109	Test Acc: 0.2692	Test loss: 0.0147
Epoch 24 	Train Acc: 0.5016	Train loss: 0.0108	Test Acc: 0.2976	Test loss: 0.0144
Epoch 25 	Train Acc: 0.5008	Train loss: 0.0106	Test Acc: 0.3067	Test loss: 0.0142
