seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: Bulyan, attack_params: {'lamda': 1}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_Bulyan/200_20_4_0.05_2025-03-09_10-58-28.txt

Started on Sun Mar  9 10:58:28 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1000	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1273	Train loss: 0.0179	Test Acc: 0.1221	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1848	Train loss: 0.0173	Test Acc: 0.1285	Test loss: 0.0180
Epoch 3  	Train Acc: 0.1992	Train loss: 0.0167	Test Acc: 0.1813	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3020	Train loss: 0.0156	Test Acc: 0.2199	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2855	Train loss: 0.0153	Test Acc: 0.2107	Test loss: 0.0173
Epoch 6  	Train Acc: 0.2812	Train loss: 0.0153	Test Acc: 0.2069	Test loss: 0.0171
Epoch 7  	Train Acc: 0.2727	Train loss: 0.0152	Test Acc: 0.2811	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3602	Train loss: 0.0141	Test Acc: 0.2902	Test loss: 0.0162
Epoch 9  	Train Acc: 0.3051	Train loss: 0.0156	Test Acc: 0.2092	Test loss: 0.0166
Epoch 10 	Train Acc: 0.2605	Train loss: 0.0158	Test Acc: 0.1856	Test loss: 0.0165
Epoch 11 	Train Acc: 0.3270	Train loss: 0.0138	Test Acc: 0.1527	Test loss: 0.0168
Epoch 12 	Train Acc: 0.2797	Train loss: 0.0158	Test Acc: 0.2777	Test loss: 0.0157
Epoch 13 	Train Acc: 0.3441	Train loss: 0.0141	Test Acc: 0.3066	Test loss: 0.0157
Epoch 14 	Train Acc: 0.3234	Train loss: 0.0146	Test Acc: 0.2722	Test loss: 0.0158
Epoch 15 	Train Acc: 0.3871	Train loss: 0.0137	Test Acc: 0.2291	Test loss: 0.0157
Epoch 16 	Train Acc: 0.3637	Train loss: 0.0135	Test Acc: 0.2141	Test loss: 0.0155
Epoch 17 	Train Acc: 0.3348	Train loss: 0.0135	Test Acc: 0.2730	Test loss: 0.0147
Epoch 18 	Train Acc: 0.3773	Train loss: 0.0129	Test Acc: 0.3467	Test loss: 0.0138
Epoch 19 	Train Acc: 0.4471	Train loss: 0.0230	Test Acc: 0.3603	Test loss: 0.0134
Epoch 20 	Train Acc: 0.4320	Train loss: 0.0123	Test Acc: 0.3362	Test loss: 0.0145
Epoch 21 	Train Acc: 0.3773	Train loss: 0.0134	Test Acc: 0.3714	Test loss: 0.0134
Epoch 22 	Train Acc: 0.4531	Train loss: 0.0117	Test Acc: 0.2878	Test loss: 0.0145
Epoch 23 	Train Acc: 0.4277	Train loss: 0.0126	Test Acc: 0.3385	Test loss: 0.0140
Epoch 24 	Train Acc: 0.4207	Train loss: 0.0126	Test Acc: 0.3678	Test loss: 0.0134
Epoch 25 	Train Acc: 0.4398	Train loss: 0.0117	Test Acc: 0.2809	Test loss: 0.0165
Epoch 26 	Train Acc: 0.4230	Train loss: 0.0126	Test Acc: 0.3739	Test loss: 0.0139
Epoch 27 	Train Acc: 0.3945	Train loss: 0.0127	Test Acc: 0.3685	Test loss: 0.0132
Epoch 28 	Train Acc: 0.4027	Train loss: 0.0126	Test Acc: 0.3382	Test loss: 0.0139
Epoch 29 	Train Acc: 0.4094	Train loss: 0.0126	Test Acc: 0.3861	Test loss: 0.0132
Epoch 30 	Train Acc: 0.4168	Train loss: 0.0125	Test Acc: 0.4023	Test loss: 0.0129
Epoch 31 	Train Acc: 0.4203	Train loss: 0.0124	Test Acc: 0.4065	Test loss: 0.0130
Epoch 32 	Train Acc: 0.4359	Train loss: 0.0122	Test Acc: 0.4046	Test loss: 0.0123
Epoch 33 	Train Acc: 0.4250	Train loss: 0.0119	Test Acc: 0.3963	Test loss: 0.0125
Epoch 34 	Train Acc: 0.4242	Train loss: 0.0118	Test Acc: 0.4295	Test loss: 0.0126
Epoch 35 	Train Acc: 0.4402	Train loss: 0.0118	Test Acc: 0.4602	Test loss: 0.0122
Epoch 36 	Train Acc: 0.4629	Train loss: 0.0115	Test Acc: 0.3859	Test loss: 0.0150
Epoch 37 	Train Acc: 0.4461	Train loss: 0.0121	Test Acc: 0.3466	Test loss: 0.0186
Epoch 38 	Train Acc: 0.4617	Train loss: 0.0118	Test Acc: 0.3936	Test loss: 0.0152
Epoch 39 	Train Acc: 0.4471	Train loss: 0.0235	Test Acc: 0.3494	Test loss: 0.0150
Epoch 40 	Train Acc: 0.3910	Train loss: 0.0130	Test Acc: 0.4250	Test loss: 0.0128
Epoch 41 	Train Acc: 0.4477	Train loss: 0.0117	Test Acc: 0.3451	Test loss: 0.0156
Epoch 42 	Train Acc: 0.4297	Train loss: 0.0123	Test Acc: 0.3756	Test loss: 0.0145
Epoch 43 	Train Acc: 0.4492	Train loss: 0.0119	Test Acc: 0.3851	Test loss: 0.0143
