seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: Krum, attack_params: {'lamda': 1}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_Krum/200_20_4_0.05_2025-03-09_10-58-28.txt

Started on Sun Mar  9 10:58:28 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1039	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1195	Train loss: 0.0179	Test Acc: 0.1288	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1883	Train loss: 0.0174	Test Acc: 0.1716	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2430	Train loss: 0.0165	Test Acc: 0.1865	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2445	Train loss: 0.0159	Test Acc: 0.2410	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2805	Train loss: 0.0154	Test Acc: 0.2212	Test loss: 0.0174
Epoch 6  	Train Acc: 0.2953	Train loss: 0.0149	Test Acc: 0.1883	Test loss: 0.0171
Epoch 7  	Train Acc: 0.2621	Train loss: 0.0151	Test Acc: 0.2796	Test loss: 0.0165
Epoch 8  	Train Acc: 0.2980	Train loss: 0.0152	Test Acc: 0.2565	Test loss: 0.0165
Epoch 9  	Train Acc: 0.2668	Train loss: 0.0169	Test Acc: 0.2011	Test loss: 0.0168
Epoch 10 	Train Acc: 0.2109	Train loss: 0.0174	Test Acc: 0.1519	Test loss: 0.0170
Epoch 11 	Train Acc: 0.2652	Train loss: 0.0162	Test Acc: 0.2511	Test loss: 0.0159
Epoch 12 	Train Acc: 0.2484	Train loss: 0.0161	Test Acc: 0.2640	Test loss: 0.0162
Epoch 13 	Train Acc: 0.2699	Train loss: 0.0153	Test Acc: 0.2445	Test loss: 0.0165
Epoch 14 	Train Acc: 0.2629	Train loss: 0.0156	Test Acc: 0.2178	Test loss: 0.0166
Epoch 15 	Train Acc: 0.2613	Train loss: 0.0157	Test Acc: 0.1978	Test loss: 0.0166
Epoch 16 	Train Acc: 0.2336	Train loss: 0.0155	Test Acc: 0.2633	Test loss: 0.0157
Epoch 17 	Train Acc: 0.3035	Train loss: 0.0145	Test Acc: 0.3108	Test loss: 0.0149
Epoch 18 	Train Acc: 0.3586	Train loss: 0.0139	Test Acc: 0.3572	Test loss: 0.0141
Epoch 19 	Train Acc: 0.3779	Train loss: 0.0254	Test Acc: 0.3658	Test loss: 0.0135
Epoch 20 	Train Acc: 0.3973	Train loss: 0.0131	Test Acc: 0.3864	Test loss: 0.0133
Epoch 21 	Train Acc: 0.3738	Train loss: 0.0132	Test Acc: 0.3240	Test loss: 0.0144
Epoch 22 	Train Acc: 0.3465	Train loss: 0.0144	Test Acc: 0.3513	Test loss: 0.0136
