seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: Median, attack_params: {'lamda': 1}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_Median/200_20_4_0.05_2025-03-09_10-58-28.txt

Started on Sun Mar  9 10:58:28 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1030	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1457	Train loss: 0.0178	Test Acc: 0.1421	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1996	Train loss: 0.0171	Test Acc: 0.1919	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2289	Train loss: 0.0165	Test Acc: 0.1821	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3297	Train loss: 0.0156	Test Acc: 0.2242	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3602	Train loss: 0.0148	Test Acc: 0.2544	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3520	Train loss: 0.0143	Test Acc: 0.2383	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3371	Train loss: 0.0140	Test Acc: 0.2463	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3941	Train loss: 0.0135	Test Acc: 0.2172	Test loss: 0.0165
Epoch 9  	Train Acc: 0.3785	Train loss: 0.0133	Test Acc: 0.2212	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3480	Train loss: 0.0134	Test Acc: 0.1859	Test loss: 0.0166
Epoch 11 	Train Acc: 0.3996	Train loss: 0.0127	Test Acc: 0.1841	Test loss: 0.0169
Epoch 12 	Train Acc: 0.3758	Train loss: 0.0135	Test Acc: 0.2055	Test loss: 0.0175
Epoch 13 	Train Acc: 0.3793	Train loss: 0.0129	Test Acc: 0.1735	Test loss: 0.0178
Epoch 14 	Train Acc: 0.4340	Train loss: 0.0122	Test Acc: 0.1516	Test loss: 0.0174
Epoch 15 	Train Acc: 0.4090	Train loss: 0.0127	Test Acc: 0.1894	Test loss: 0.0183
Epoch 16 	Train Acc: 0.3707	Train loss: 0.0140	Test Acc: 0.1849	Test loss: 0.0172
Epoch 17 	Train Acc: 0.4109	Train loss: 0.0133	Test Acc: 0.2317	Test loss: 0.0164
Epoch 18 	Train Acc: 0.4242	Train loss: 0.0123	Test Acc: 0.2947	Test loss: 0.0154
Epoch 19 	Train Acc: 0.4346	Train loss: 0.0243	Test Acc: 0.2897	Test loss: 0.0150
Epoch 20 	Train Acc: 0.4219	Train loss: 0.0122	Test Acc: 0.3463	Test loss: 0.0144
Epoch 21 	Train Acc: 0.4379	Train loss: 0.0120	Test Acc: 0.4250	Test loss: 0.0137
Epoch 22 	Train Acc: 0.4914	Train loss: 0.0116	Test Acc: 0.4243	Test loss: 0.0130
Epoch 23 	Train Acc: 0.4398	Train loss: 0.0117	Test Acc: 0.4160	Test loss: 0.0126
Epoch 24 	Train Acc: 0.4652	Train loss: 0.0114	Test Acc: 0.4163	Test loss: 0.0125
Epoch 25 	Train Acc: 0.4902	Train loss: 0.0109	Test Acc: 0.4094	Test loss: 0.0125
Epoch 26 	Train Acc: 0.4750	Train loss: 0.0108	Test Acc: 0.4388	Test loss: 0.0119
Epoch 27 	Train Acc: 0.4707	Train loss: 0.0112	Test Acc: 0.4227	Test loss: 0.0120
Epoch 28 	Train Acc: 0.4844	Train loss: 0.0106	Test Acc: 0.4219	Test loss: 0.0124
Epoch 29 	Train Acc: 0.5094	Train loss: 0.0104	Test Acc: 0.4290	Test loss: 0.0123
Epoch 30 	Train Acc: 0.4988	Train loss: 0.0105	Test Acc: 0.4464	Test loss: 0.0119
Epoch 31 	Train Acc: 0.4949	Train loss: 0.0107	Test Acc: 0.4203	Test loss: 0.0125
Epoch 32 	Train Acc: 0.5199	Train loss: 0.0104	Test Acc: 0.3813	Test loss: 0.0141
Epoch 33 	Train Acc: 0.5043	Train loss: 0.0106	Test Acc: 0.4145	Test loss: 0.0131
Epoch 34 	Train Acc: 0.5316	Train loss: 0.0102	Test Acc: 0.4748	Test loss: 0.0114
Epoch 35 	Train Acc: 0.5266	Train loss: 0.0102	Test Acc: 0.4930	Test loss: 0.0112
Epoch 36 	Train Acc: 0.5402	Train loss: 0.0100	Test Acc: 0.4328	Test loss: 0.0126
Epoch 37 	Train Acc: 0.5223	Train loss: 0.0101	Test Acc: 0.4466	Test loss: 0.0121
Epoch 38 	Train Acc: 0.5484	Train loss: 0.0098	Test Acc: 0.5314	Test loss: 0.0103
Epoch 39 	Train Acc: 0.5279	Train loss: 0.0193	Test Acc: 0.5148	Test loss: 0.0106
Epoch 40 	Train Acc: 0.5566	Train loss: 0.0097	Test Acc: 0.5367	Test loss: 0.0101
Epoch 41 	Train Acc: 0.5676	Train loss: 0.0093	Test Acc: 0.5210	Test loss: 0.0106
Epoch 42 	Train Acc: 0.5750	Train loss: 0.0092	Test Acc: 0.5076	Test loss: 0.0109
Epoch 43 	Train Acc: 0.5664	Train loss: 0.0094	Test Acc: 0.5573	Test loss: 0.0099
Epoch 44 	Train Acc: 0.5695	Train loss: 0.0093	Test Acc: 0.5599	Test loss: 0.0097
Epoch 45 	Train Acc: 0.5902	Train loss: 0.0089	Test Acc: 0.5246	Test loss: 0.0104
Epoch 46 	Train Acc: 0.5824	Train loss: 0.0090	Test Acc: 0.5198	Test loss: 0.0107
Epoch 47 	Train Acc: 0.5922	Train loss: 0.0088	Test Acc: 0.5230	Test loss: 0.0105
