seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: MultiKrum, attack_params: {'lamda': 1}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_MultiKrum/200_20_4_0.05_2025-03-09_10-58-28.txt

Started on Sun Mar  9 10:58:28 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1021	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1484	Train loss: 0.0178	Test Acc: 0.1624	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2043	Train loss: 0.0172	Test Acc: 0.1852	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2652	Train loss: 0.0164	Test Acc: 0.1751	Test loss: 0.0179
Epoch 4  	Train Acc: 0.2941	Train loss: 0.0157	Test Acc: 0.2224	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2992	Train loss: 0.0151	Test Acc: 0.2468	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3430	Train loss: 0.0144	Test Acc: 0.2309	Test loss: 0.0170
Epoch 7  	Train Acc: 0.2953	Train loss: 0.0146	Test Acc: 0.2446	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3758	Train loss: 0.0139	Test Acc: 0.2170	Test loss: 0.0164
Epoch 9  	Train Acc: 0.3254	Train loss: 0.0144	Test Acc: 0.2006	Test loss: 0.0165
Epoch 10 	Train Acc: 0.2934	Train loss: 0.0144	Test Acc: 0.1757	Test loss: 0.0164
Epoch 11 	Train Acc: 0.3707	Train loss: 0.0138	Test Acc: 0.2239	Test loss: 0.0161
