seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: MyDefense, attack_params: {'lamda': 1}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_MyDefense/200_20_4_0.05_2025-03-06_15-56-05.txt

Started on Thu Mar  6 15:56:05 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0742	Train loss: 0.0185	Test Acc: 0.1171	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1395	Train loss: 0.0178	Test Acc: 0.1697	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1906	Train loss: 0.0171	Test Acc: 0.2160	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2188	Train loss: 0.0165	Test Acc: 0.1888	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3281	Train loss: 0.0156	Test Acc: 0.2072	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3293	Train loss: 0.0151	Test Acc: 0.2552	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3426	Train loss: 0.0142	Test Acc: 0.2749	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3512	Train loss: 0.0140	Test Acc: 0.2356	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3758	Train loss: 0.0136	Test Acc: 0.2278	Test loss: 0.0165
Epoch 9  	Train Acc: 0.3992	Train loss: 0.0133	Test Acc: 0.2378	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3965	Train loss: 0.0130	Test Acc: 0.2455	Test loss: 0.0160
Epoch 11 	Train Acc: 0.4051	Train loss: 0.0128	Test Acc: 0.2011	Test loss: 0.0165
Epoch 12 	Train Acc: 0.4121	Train loss: 0.0125	Test Acc: 0.1797	Test loss: 0.0171
Epoch 13 	Train Acc: 0.3922	Train loss: 0.0130	Test Acc: 0.1984	Test loss: 0.0173
Epoch 14 	Train Acc: 0.3852	Train loss: 0.0133	Test Acc: 0.2089	Test loss: 0.0168
Epoch 15 	Train Acc: 0.4078	Train loss: 0.0132	Test Acc: 0.1986	Test loss: 0.0174
Epoch 16 	Train Acc: 0.3930	Train loss: 0.0131	Test Acc: 0.1770	Test loss: 0.0177
Epoch 17 	Train Acc: 0.3746	Train loss: 0.0131	Test Acc: 0.2430	Test loss: 0.0153
Epoch 18 	Train Acc: 0.4008	Train loss: 0.0130	Test Acc: 0.2813	Test loss: 0.0148
Epoch 19 	Train Acc: 0.4257	Train loss: 0.0233	Test Acc: 0.3520	Test loss: 0.0137
Epoch 20 	Train Acc: 0.4559	Train loss: 0.0115	Test Acc: 0.4221	Test loss: 0.0130
Epoch 21 	Train Acc: 0.4863	Train loss: 0.0114	Test Acc: 0.4153	Test loss: 0.0128
Epoch 22 	Train Acc: 0.4406	Train loss: 0.0120	Test Acc: 0.4542	Test loss: 0.0122
Epoch 23 	Train Acc: 0.4676	Train loss: 0.0114	Test Acc: 0.4736	Test loss: 0.0119
Epoch 24 	Train Acc: 0.4871	Train loss: 0.0111	Test Acc: 0.4568	Test loss: 0.0119
Epoch 25 	Train Acc: 0.4984	Train loss: 0.0108	Test Acc: 0.4628	Test loss: 0.0116
Epoch 26 	Train Acc: 0.4953	Train loss: 0.0107	Test Acc: 0.4939	Test loss: 0.0109
Epoch 27 	Train Acc: 0.5074	Train loss: 0.0105	Test Acc: 0.5043	Test loss: 0.0107
Epoch 28 	Train Acc: 0.5133	Train loss: 0.0103	Test Acc: 0.4738	Test loss: 0.0114
Epoch 29 	Train Acc: 0.5047	Train loss: 0.0108	Test Acc: 0.4748	Test loss: 0.0114
Epoch 30 	Train Acc: 0.5184	Train loss: 0.0104	Test Acc: 0.4930	Test loss: 0.0110
Epoch 31 	Train Acc: 0.5301	Train loss: 0.0100	Test Acc: 0.4882	Test loss: 0.0111
Epoch 32 	Train Acc: 0.5504	Train loss: 0.0100	Test Acc: 0.4707	Test loss: 0.0115
Epoch 33 	Train Acc: 0.5430	Train loss: 0.0098	Test Acc: 0.4691	Test loss: 0.0117
Epoch 34 	Train Acc: 0.5340	Train loss: 0.0102	Test Acc: 0.4739	Test loss: 0.0113
Epoch 35 	Train Acc: 0.5469	Train loss: 0.0101	Test Acc: 0.5242	Test loss: 0.0104
Epoch 36 	Train Acc: 0.5320	Train loss: 0.0100	Test Acc: 0.5296	Test loss: 0.0104
Epoch 37 	Train Acc: 0.5402	Train loss: 0.0098	Test Acc: 0.4996	Test loss: 0.0110
Epoch 38 	Train Acc: 0.5582	Train loss: 0.0096	Test Acc: 0.5067	Test loss: 0.0107
Epoch 39 	Train Acc: 0.5294	Train loss: 0.0195	Test Acc: 0.5587	Test loss: 0.0097
Epoch 40 	Train Acc: 0.5586	Train loss: 0.0094	Test Acc: 0.5311	Test loss: 0.0101
Epoch 41 	Train Acc: 0.5551	Train loss: 0.0095	Test Acc: 0.5481	Test loss: 0.0098
Epoch 42 	Train Acc: 0.5738	Train loss: 0.0092	Test Acc: 0.5544	Test loss: 0.0097
Epoch 43 	Train Acc: 0.5551	Train loss: 0.0094	Test Acc: 0.5685	Test loss: 0.0095
Epoch 44 	Train Acc: 0.5828	Train loss: 0.0091	Test Acc: 0.5420	Test loss: 0.0100
Epoch 45 	Train Acc: 0.5875	Train loss: 0.0090	Test Acc: 0.5148	Test loss: 0.0106
Epoch 46 	Train Acc: 0.5992	Train loss: 0.0088	Test Acc: 0.5235	Test loss: 0.0104
Epoch 47 	Train Acc: 0.6016	Train loss: 0.0087	Test Acc: 0.5949	Test loss: 0.0090
Epoch 48 	Train Acc: 0.6051	Train loss: 0.0085	Test Acc: 0.5811	Test loss: 0.0093
Epoch 49 	Train Acc: 0.6176	Train loss: 0.0085	Test Acc: 0.5750	Test loss: 0.0093
Epoch 50 	Train Acc: 0.6094	Train loss: 0.0085	Test Acc: 0.5717	Test loss: 0.0095
Epoch 51 	Train Acc: 0.5879	Train loss: 0.0088	Test Acc: 0.5870	Test loss: 0.0091
Epoch 52 	Train Acc: 0.5980	Train loss: 0.0088	Test Acc: 0.5882	Test loss: 0.0091
Epoch 53 	Train Acc: 0.5988	Train loss: 0.0087	Test Acc: 0.6017	Test loss: 0.0089
Epoch 54 	Train Acc: 0.6129	Train loss: 0.0084	Test Acc: 0.5769	Test loss: 0.0093
Epoch 55 	Train Acc: 0.6004	Train loss: 0.0086	Test Acc: 0.5894	Test loss: 0.0091
Epoch 56 	Train Acc: 0.6086	Train loss: 0.0086	Test Acc: 0.5173	Test loss: 0.0107
Epoch 57 	Train Acc: 0.6164	Train loss: 0.0084	Test Acc: 0.5714	Test loss: 0.0095
Epoch 58 	Train Acc: 0.6527	Train loss: 0.0079	Test Acc: 0.6132	Test loss: 0.0085
Epoch 59 	Train Acc: 0.6279	Train loss: 0.0150	Test Acc: 0.6252	Test loss: 0.0084
Epoch 60 	Train Acc: 0.6281	Train loss: 0.0082	Test Acc: 0.6078	Test loss: 0.0087
Epoch 61 	Train Acc: 0.6293	Train loss: 0.0079	Test Acc: 0.6057	Test loss: 0.0087
Epoch 62 	Train Acc: 0.6438	Train loss: 0.0078	Test Acc: 0.6176	Test loss: 0.0085
