seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: NormClipping, attack_params: {'lamda': 1}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_NormClipping/200_20_4_0.05_2025-03-09_10-58-28.txt

Started on Sun Mar  9 10:58:28 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1047	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1355	Train loss: 0.0179	Test Acc: 0.1281	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1945	Train loss: 0.0173	Test Acc: 0.1616	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2137	Train loss: 0.0169	Test Acc: 0.1667	Test loss: 0.0181
Epoch 4  	Train Acc: 0.3180	Train loss: 0.0162	Test Acc: 0.1783	Test loss: 0.0180
Epoch 5  	Train Acc: 0.3344	Train loss: 0.0155	Test Acc: 0.1641	Test loss: 0.0180
Epoch 6  	Train Acc: 0.3434	Train loss: 0.0151	Test Acc: 0.1645	Test loss: 0.0179
Epoch 7  	Train Acc: 0.3520	Train loss: 0.0146	Test Acc: 0.1649	Test loss: 0.0179
Epoch 8  	Train Acc: 0.3828	Train loss: 0.0141	Test Acc: 0.1489	Test loss: 0.0178
Epoch 9  	Train Acc: 0.3621	Train loss: 0.0139	Test Acc: 0.1422	Test loss: 0.0178
Epoch 10 	Train Acc: 0.3832	Train loss: 0.0135	Test Acc: 0.1352	Test loss: 0.0179
Epoch 11 	Train Acc: 0.3926	Train loss: 0.0130	Test Acc: 0.1212	Test loss: 0.0179
Epoch 12 	Train Acc: 0.3820	Train loss: 0.0132	Test Acc: 0.1253	Test loss: 0.0180
Epoch 13 	Train Acc: 0.3930	Train loss: 0.0129	Test Acc: 0.1129	Test loss: 0.0181
Epoch 14 	Train Acc: 0.4188	Train loss: 0.0127	Test Acc: 0.1035	Test loss: 0.0181
Epoch 15 	Train Acc: 0.4137	Train loss: 0.0125	Test Acc: 0.1078	Test loss: 0.0181
Epoch 16 	Train Acc: 0.4078	Train loss: 0.0128	Test Acc: 0.1143	Test loss: 0.0180
