seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MPAF, defense: SignGuard, attack_params: {'lamda': 1}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MPAF_SignGuard/200_20_4_0.05_2025-03-09_10-58-28.txt

Started on Sun Mar  9 10:58:28 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1005	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1457	Train loss: 0.0179	Test Acc: 0.1688	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1855	Train loss: 0.0171	Test Acc: 0.1843	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2336	Train loss: 0.0165	Test Acc: 0.1857	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3090	Train loss: 0.0157	Test Acc: 0.2202	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3406	Train loss: 0.0149	Test Acc: 0.2741	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3305	Train loss: 0.0145	Test Acc: 0.2535	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3363	Train loss: 0.0141	Test Acc: 0.2419	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3715	Train loss: 0.0136	Test Acc: 0.2211	Test loss: 0.0165
Epoch 9  	Train Acc: 0.3367	Train loss: 0.0142	Test Acc: 0.2445	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3883	Train loss: 0.0133	Test Acc: 0.2096	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3750	Train loss: 0.0137	Test Acc: 0.1960	Test loss: 0.0175
Epoch 12 	Train Acc: 0.3508	Train loss: 0.0155	Test Acc: 0.2090	Test loss: 0.0169
Epoch 13 	Train Acc: 0.3563	Train loss: 0.0153	Test Acc: 0.1661	Test loss: 0.0173
Epoch 14 	Train Acc: 0.3641	Train loss: 0.0141	Test Acc: 0.1786	Test loss: 0.0165
Epoch 15 	Train Acc: 0.4180	Train loss: 0.0124	Test Acc: 0.1970	Test loss: 0.0163
Epoch 16 	Train Acc: 0.3777	Train loss: 0.0133	Test Acc: 0.2151	Test loss: 0.0157
Epoch 17 	Train Acc: 0.3863	Train loss: 0.0129	Test Acc: 0.3005	Test loss: 0.0148
Epoch 18 	Train Acc: 0.4332	Train loss: 0.0123	Test Acc: 0.3835	Test loss: 0.0142
Epoch 19 	Train Acc: 0.4265	Train loss: 0.0233	Test Acc: 0.3982	Test loss: 0.0137
Epoch 20 	Train Acc: 0.4309	Train loss: 0.0122	Test Acc: 0.3856	Test loss: 0.0132
Epoch 21 	Train Acc: 0.4250	Train loss: 0.0120	Test Acc: 0.3880	Test loss: 0.0129
Epoch 22 	Train Acc: 0.4633	Train loss: 0.0116	Test Acc: 0.4116	Test loss: 0.0124
Epoch 23 	Train Acc: 0.4531	Train loss: 0.0116	Test Acc: 0.4225	Test loss: 0.0123
Epoch 24 	Train Acc: 0.4660	Train loss: 0.0119	Test Acc: 0.3749	Test loss: 0.0130
Epoch 25 	Train Acc: 0.4609	Train loss: 0.0116	Test Acc: 0.4421	Test loss: 0.0122
Epoch 26 	Train Acc: 0.4801	Train loss: 0.0108	Test Acc: 0.4250	Test loss: 0.0122
Epoch 27 	Train Acc: 0.4469	Train loss: 0.0118	Test Acc: 0.4375	Test loss: 0.0118
Epoch 28 	Train Acc: 0.4773	Train loss: 0.0109	Test Acc: 0.4729	Test loss: 0.0113
Epoch 29 	Train Acc: 0.4934	Train loss: 0.0106	Test Acc: 0.4567	Test loss: 0.0114
Epoch 30 	Train Acc: 0.4863	Train loss: 0.0107	Test Acc: 0.4519	Test loss: 0.0117
Epoch 31 	Train Acc: 0.4758	Train loss: 0.0110	Test Acc: 0.4552	Test loss: 0.0118
Epoch 32 	Train Acc: 0.4922	Train loss: 0.0107	Test Acc: 0.4587	Test loss: 0.0118
Epoch 33 	Train Acc: 0.4789	Train loss: 0.0109	Test Acc: 0.4634	Test loss: 0.0117
Epoch 34 	Train Acc: 0.4926	Train loss: 0.0108	Test Acc: 0.4338	Test loss: 0.0124
Epoch 35 	Train Acc: 0.5066	Train loss: 0.0105	Test Acc: 0.4317	Test loss: 0.0122
Epoch 36 	Train Acc: 0.5059	Train loss: 0.0106	Test Acc: 0.4415	Test loss: 0.0121
Epoch 37 	Train Acc: 0.4867	Train loss: 0.0109	Test Acc: 0.4874	Test loss: 0.0111
Epoch 38 	Train Acc: 0.5191	Train loss: 0.0104	Test Acc: 0.5068	Test loss: 0.0106
Epoch 39 	Train Acc: 0.4882	Train loss: 0.0206	Test Acc: 0.5139	Test loss: 0.0105
Epoch 40 	Train Acc: 0.5203	Train loss: 0.0103	Test Acc: 0.4818	Test loss: 0.0115
Epoch 41 	Train Acc: 0.5203	Train loss: 0.0103	Test Acc: 0.4742	Test loss: 0.0113
Epoch 42 	Train Acc: 0.5105	Train loss: 0.0101	Test Acc: 0.4957	Test loss: 0.0109
Epoch 43 	Train Acc: 0.5172	Train loss: 0.0101	Test Acc: 0.5034	Test loss: 0.0105
Epoch 44 	Train Acc: 0.5156	Train loss: 0.0102	Test Acc: 0.5314	Test loss: 0.0102
Epoch 45 	Train Acc: 0.5523	Train loss: 0.0097	Test Acc: 0.5267	Test loss: 0.0104
Epoch 46 	Train Acc: 0.5402	Train loss: 0.0099	Test Acc: 0.5216	Test loss: 0.0103
Epoch 47 	Train Acc: 0.5543	Train loss: 0.0095	Test Acc: 0.4669	Test loss: 0.0118
Epoch 48 	Train Acc: 0.5363	Train loss: 0.0099	Test Acc: 0.5028	Test loss: 0.0109
Epoch 49 	Train Acc: 0.5234	Train loss: 0.0101	Test Acc: 0.5572	Test loss: 0.0098
Epoch 50 	Train Acc: 0.5684	Train loss: 0.0094	Test Acc: 0.5092	Test loss: 0.0109
Epoch 51 	Train Acc: 0.5230	Train loss: 0.0103	Test Acc: 0.5640	Test loss: 0.0095
Epoch 52 	Train Acc: 0.5816	Train loss: 0.0089	Test Acc: 0.5569	Test loss: 0.0097
Epoch 53 	Train Acc: 0.5797	Train loss: 0.0092	Test Acc: 0.5550	Test loss: 0.0097
Epoch 54 	Train Acc: 0.5602	Train loss: 0.0094	Test Acc: 0.5663	Test loss: 0.0094
Epoch 55 	Train Acc: 0.5707	Train loss: 0.0090	Test Acc: 0.5882	Test loss: 0.0091
Epoch 56 	Train Acc: 0.6059	Train loss: 0.0085	Test Acc: 0.5462	Test loss: 0.0098
Epoch 57 	Train Acc: 0.5770	Train loss: 0.0091	Test Acc: 0.5506	Test loss: 0.0098
Epoch 58 	Train Acc: 0.5895	Train loss: 0.0089	Test Acc: 0.5379	Test loss: 0.0102
Epoch 59 	Train Acc: 0.5971	Train loss: 0.0165	Test Acc: 0.5746	Test loss: 0.0095
Epoch 60 	Train Acc: 0.5895	Train loss: 0.0088	Test Acc: 0.5705	Test loss: 0.0095
Epoch 61 	Train Acc: 0.6016	Train loss: 0.0086	Test Acc: 0.5724	Test loss: 0.0094
