seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: Bucketing, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'bucket_size': 2, 'selected_aggregator': 'Krum'}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_Bucketing/200_20_4_0.05_2025-03-07_11-11-46.txt

Started on Fri Mar  7 11:11:46 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1166	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1539	Train loss: 0.0177	Test Acc: 0.1321	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2285	Train loss: 0.0169	Test Acc: 0.1977	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2910	Train loss: 0.0162	Test Acc: 0.2371	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3023	Train loss: 0.0156	Test Acc: 0.2729	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3266	Train loss: 0.0151	Test Acc: 0.3131	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3602	Train loss: 0.0144	Test Acc: 0.3397	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3574	Train loss: 0.0140	Test Acc: 0.3372	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3711	Train loss: 0.0138	Test Acc: 0.3413	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3777	Train loss: 0.0135	Test Acc: 0.3280	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3820	Train loss: 0.0133	Test Acc: 0.3084	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3926	Train loss: 0.0130	Test Acc: 0.2849	Test loss: 0.0162
Epoch 12 	Train Acc: 0.4055	Train loss: 0.0128	Test Acc: 0.2524	Test loss: 0.0163
