seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: CenteredClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_CenteredClipping/200_20_4_0.05_2025-03-11_12-06-44.txt

Started on Tue Mar 11 12:06:44 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1174	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1543	Train loss: 0.0177	Test Acc: 0.1417	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2395	Train loss: 0.0169	Test Acc: 0.2006	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2996	Train loss: 0.0161	Test Acc: 0.2539	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3234	Train loss: 0.0154	Test Acc: 0.2825	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3266	Train loss: 0.0149	Test Acc: 0.3460	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3703	Train loss: 0.0141	Test Acc: 0.3211	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3531	Train loss: 0.0139	Test Acc: 0.3084	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3801	Train loss: 0.0136	Test Acc: 0.3036	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3707	Train loss: 0.0134	Test Acc: 0.2464	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3344	Train loss: 0.0138	Test Acc: 0.2486	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4016	Train loss: 0.0128	Test Acc: 0.2406	Test loss: 0.0161
