seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinMax, defense: CenteredClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_CenteredClipping/200_20_6_0.05_2025-03-13_16-51-32.txt

Started on Thu Mar 13 16:51:32 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1401	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1703	Train loss: 0.0177	Test Acc: 0.1649	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1969	Train loss: 0.0171	Test Acc: 0.1926	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2500	Train loss: 0.0164	Test Acc: 0.2144	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3125	Train loss: 0.0156	Test Acc: 0.2619	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3320	Train loss: 0.0148	Test Acc: 0.2703	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3402	Train loss: 0.0144	Test Acc: 0.2639	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3379	Train loss: 0.0141	Test Acc: 0.2416	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3754	Train loss: 0.0137	Test Acc: 0.2425	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3875	Train loss: 0.0132	Test Acc: 0.2142	Test loss: 0.0168
Epoch 10 	Train Acc: 0.3969	Train loss: 0.0130	Test Acc: 0.1446	Test loss: 0.0172
Epoch 11 	Train Acc: 0.3852	Train loss: 0.0130	Test Acc: 0.2119	Test loss: 0.0170
Epoch 12 	Train Acc: 0.4324	Train loss: 0.0124	Test Acc: 0.2163	Test loss: 0.0170
Epoch 13 	Train Acc: 0.4117	Train loss: 0.0127	Test Acc: 0.1982	Test loss: 0.0172
Epoch 14 	Train Acc: 0.4121	Train loss: 0.0127	Test Acc: 0.2151	Test loss: 0.0160
Epoch 15 	Train Acc: 0.4207	Train loss: 0.0120	Test Acc: 0.2929	Test loss: 0.0149
Epoch 16 	Train Acc: 0.3672	Train loss: 0.0143	Test Acc: 0.2769	Test loss: 0.0171
Epoch 17 	Train Acc: 0.4055	Train loss: 0.0154	Test Acc: 0.2345	Test loss: 0.0176
Epoch 18 	Train Acc: 0.4113	Train loss: 0.0166	Test Acc: 0.2803	Test loss: 0.0155
Epoch 19 	Train Acc: 0.4346	Train loss: 0.0270	Test Acc: 0.3601	Test loss: 0.0140
Epoch 20 	Train Acc: 0.4465	Train loss: 0.0115	Test Acc: 0.4020	Test loss: 0.0137
Epoch 21 	Train Acc: 0.4070	Train loss: 0.0121	Test Acc: 0.4062	Test loss: 0.0138
Epoch 22 	Train Acc: 0.3957	Train loss: 0.0125	Test Acc: 0.4238	Test loss: 0.0139
Epoch 23 	Train Acc: 0.4621	Train loss: 0.0118	Test Acc: 0.4108	Test loss: 0.0139
Epoch 24 	Train Acc: 0.4734	Train loss: 0.0119	Test Acc: 0.3968	Test loss: 0.0137
Epoch 25 	Train Acc: 0.4383	Train loss: 0.0121	Test Acc: 0.3915	Test loss: 0.0133
Epoch 26 	Train Acc: 0.4539	Train loss: 0.0118	Test Acc: 0.4078	Test loss: 0.0128
Epoch 27 	Train Acc: 0.4473	Train loss: 0.0117	Test Acc: 0.4241	Test loss: 0.0121
Epoch 28 	Train Acc: 0.4480	Train loss: 0.0115	Test Acc: 0.4453	Test loss: 0.0119
Epoch 29 	Train Acc: 0.4688	Train loss: 0.0110	Test Acc: 0.4609	Test loss: 0.0117
Epoch 30 	Train Acc: 0.4992	Train loss: 0.0109	Test Acc: 0.4325	Test loss: 0.0118
Epoch 31 	Train Acc: 0.4805	Train loss: 0.0111	Test Acc: 0.4497	Test loss: 0.0115
Epoch 32 	Train Acc: 0.4883	Train loss: 0.0109	Test Acc: 0.4895	Test loss: 0.0110
Epoch 33 	Train Acc: 0.5016	Train loss: 0.0107	Test Acc: 0.5176	Test loss: 0.0108
Epoch 34 	Train Acc: 0.5168	Train loss: 0.0105	Test Acc: 0.4929	Test loss: 0.0109
Epoch 35 	Train Acc: 0.4938	Train loss: 0.0106	Test Acc: 0.4867	Test loss: 0.0111
Epoch 36 	Train Acc: 0.5070	Train loss: 0.0104	Test Acc: 0.4927	Test loss: 0.0110
