seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: Median, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_Median/200_20_4_0.05_2025-03-08_10-55-23.txt

Started on Sat Mar  8 10:55:23 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1177	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1535	Train loss: 0.0177	Test Acc: 0.1406	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2371	Train loss: 0.0169	Test Acc: 0.1992	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2988	Train loss: 0.0162	Test Acc: 0.2584	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3176	Train loss: 0.0154	Test Acc: 0.2771	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3223	Train loss: 0.0150	Test Acc: 0.3418	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3684	Train loss: 0.0142	Test Acc: 0.3233	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3473	Train loss: 0.0139	Test Acc: 0.3114	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3805	Train loss: 0.0137	Test Acc: 0.3024	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3633	Train loss: 0.0135	Test Acc: 0.2521	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3453	Train loss: 0.0136	Test Acc: 0.2495	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3996	Train loss: 0.0128	Test Acc: 0.2478	Test loss: 0.0160
Epoch 12 	Train Acc: 0.4082	Train loss: 0.0128	Test Acc: 0.2187	Test loss: 0.0162
Epoch 13 	Train Acc: 0.4004	Train loss: 0.0126	Test Acc: 0.1948	Test loss: 0.0170
Epoch 14 	Train Acc: 0.4027	Train loss: 0.0126	Test Acc: 0.2140	Test loss: 0.0162
Epoch 15 	Train Acc: 0.4195	Train loss: 0.0120	Test Acc: 0.2273	Test loss: 0.0164
Epoch 16 	Train Acc: 0.4141	Train loss: 0.0122	Test Acc: 0.2037	Test loss: 0.0163
Epoch 17 	Train Acc: 0.4332	Train loss: 0.0118	Test Acc: 0.2957	Test loss: 0.0147
Epoch 18 	Train Acc: 0.4762	Train loss: 0.0113	Test Acc: 0.3135	Test loss: 0.0145
Epoch 19 	Train Acc: 0.4868	Train loss: 0.0209	Test Acc: 0.3382	Test loss: 0.0146
Epoch 20 	Train Acc: 0.5023	Train loss: 0.0107	Test Acc: 0.3407	Test loss: 0.0141
Epoch 21 	Train Acc: 0.4848	Train loss: 0.0107	Test Acc: 0.4062	Test loss: 0.0129
Epoch 22 	Train Acc: 0.4945	Train loss: 0.0111	Test Acc: 0.3873	Test loss: 0.0132
Epoch 23 	Train Acc: 0.5090	Train loss: 0.0106	Test Acc: 0.3882	Test loss: 0.0136
Epoch 24 	Train Acc: 0.5062	Train loss: 0.0105	Test Acc: 0.4310	Test loss: 0.0128
Epoch 25 	Train Acc: 0.5223	Train loss: 0.0104	Test Acc: 0.3964	Test loss: 0.0130
Epoch 26 	Train Acc: 0.5270	Train loss: 0.0105	Test Acc: 0.4094	Test loss: 0.0130
Epoch 27 	Train Acc: 0.5355	Train loss: 0.0099	Test Acc: 0.4384	Test loss: 0.0122
Epoch 28 	Train Acc: 0.5250	Train loss: 0.0101	Test Acc: 0.4714	Test loss: 0.0116
Epoch 29 	Train Acc: 0.5492	Train loss: 0.0099	Test Acc: 0.5106	Test loss: 0.0110
Epoch 30 	Train Acc: 0.5523	Train loss: 0.0096	Test Acc: 0.4778	Test loss: 0.0115
Epoch 31 	Train Acc: 0.5371	Train loss: 0.0098	Test Acc: 0.4938	Test loss: 0.0113
Epoch 32 	Train Acc: 0.5574	Train loss: 0.0097	Test Acc: 0.5065	Test loss: 0.0108
Epoch 33 	Train Acc: 0.5734	Train loss: 0.0096	Test Acc: 0.4816	Test loss: 0.0115
Epoch 34 	Train Acc: 0.5531	Train loss: 0.0095	Test Acc: 0.5206	Test loss: 0.0106
Epoch 35 	Train Acc: 0.5660	Train loss: 0.0094	Test Acc: 0.4959	Test loss: 0.0114
Epoch 36 	Train Acc: 0.5258	Train loss: 0.0102	Test Acc: 0.5323	Test loss: 0.0102
Epoch 37 	Train Acc: 0.5523	Train loss: 0.0100	Test Acc: 0.5267	Test loss: 0.0106
Epoch 38 	Train Acc: 0.5582	Train loss: 0.0096	Test Acc: 0.5008	Test loss: 0.0113
Epoch 39 	Train Acc: 0.5279	Train loss: 0.0189	Test Acc: 0.5324	Test loss: 0.0105
Epoch 40 	Train Acc: 0.5465	Train loss: 0.0097	Test Acc: 0.5185	Test loss: 0.0106
Epoch 41 	Train Acc: 0.5840	Train loss: 0.0090	Test Acc: 0.5341	Test loss: 0.0103
Epoch 42 	Train Acc: 0.5648	Train loss: 0.0092	Test Acc: 0.5609	Test loss: 0.0097
Epoch 43 	Train Acc: 0.5574	Train loss: 0.0096	Test Acc: 0.5086	Test loss: 0.0107
Epoch 44 	Train Acc: 0.5648	Train loss: 0.0095	Test Acc: 0.5640	Test loss: 0.0096
Epoch 45 	Train Acc: 0.5984	Train loss: 0.0088	Test Acc: 0.5707	Test loss: 0.0094
Epoch 46 	Train Acc: 0.5949	Train loss: 0.0089	Test Acc: 0.5640	Test loss: 0.0095
Epoch 47 	Train Acc: 0.5910	Train loss: 0.0089	Test Acc: 0.5966	Test loss: 0.0090
Epoch 48 	Train Acc: 0.6109	Train loss: 0.0084	Test Acc: 0.5704	Test loss: 0.0094
Epoch 49 	Train Acc: 0.6023	Train loss: 0.0088	Test Acc: 0.5924	Test loss: 0.0089
Epoch 50 	Train Acc: 0.5879	Train loss: 0.0087	Test Acc: 0.6113	Test loss: 0.0086
Epoch 51 	Train Acc: 0.6191	Train loss: 0.0083	Test Acc: 0.5556	Test loss: 0.0097
Epoch 52 	Train Acc: 0.6074	Train loss: 0.0085	Test Acc: 0.5883	Test loss: 0.0090
Epoch 53 	Train Acc: 0.6184	Train loss: 0.0083	Test Acc: 0.5891	Test loss: 0.0092
Epoch 54 	Train Acc: 0.6039	Train loss: 0.0088	Test Acc: 0.5995	Test loss: 0.0088
Epoch 55 	Train Acc: 0.6180	Train loss: 0.0085	Test Acc: 0.5652	Test loss: 0.0099
Epoch 56 	Train Acc: 0.6168	Train loss: 0.0082	Test Acc: 0.5948	Test loss: 0.0092
Epoch 57 	Train Acc: 0.6328	Train loss: 0.0082	Test Acc: 0.6044	Test loss: 0.0088
Epoch 58 	Train Acc: 0.6004	Train loss: 0.0087	Test Acc: 0.6026	Test loss: 0.0088
Epoch 59 	Train Acc: 0.6301	Train loss: 0.0156	Test Acc: 0.6032	Test loss: 0.0087
Epoch 60 	Train Acc: 0.6211	Train loss: 0.0082	Test Acc: 0.6247	Test loss: 0.0084
Epoch 61 	Train Acc: 0.6324	Train loss: 0.0081	Test Acc: 0.6023	Test loss: 0.0086
Epoch 62 	Train Acc: 0.6293	Train loss: 0.0082	Test Acc: 0.6162	Test loss: 0.0087
Epoch 63 	Train Acc: 0.6453	Train loss: 0.0078	Test Acc: 0.6141	Test loss: 0.0086
Epoch 64 	Train Acc: 0.6629	Train loss: 0.0076	Test Acc: 0.6138	Test loss: 0.0086
Epoch 65 	Train Acc: 0.6164	Train loss: 0.0083	Test Acc: 0.6308	Test loss: 0.0082
Epoch 66 	Train Acc: 0.6379	Train loss: 0.0079	Test Acc: 0.6332	Test loss: 0.0083
Epoch 67 	Train Acc: 0.6555	Train loss: 0.0077	Test Acc: 0.6349	Test loss: 0.0082
Epoch 68 	Train Acc: 0.6434	Train loss: 0.0079	Test Acc: 0.6140	Test loss: 0.0088
Epoch 69 	Train Acc: 0.6566	Train loss: 0.0078	Test Acc: 0.5879	Test loss: 0.0097
Epoch 70 	Train Acc: 0.6547	Train loss: 0.0076	Test Acc: 0.6304	Test loss: 0.0082
Epoch 71 	Train Acc: 0.6660	Train loss: 0.0075	Test Acc: 0.6450	Test loss: 0.0079
Epoch 72 	Train Acc: 0.6641	Train loss: 0.0075	Test Acc: 0.6260	Test loss: 0.0084
Epoch 73 	Train Acc: 0.6566	Train loss: 0.0076	Test Acc: 0.6300	Test loss: 0.0084
Epoch 74 	Train Acc: 0.6535	Train loss: 0.0075	Test Acc: 0.6381	Test loss: 0.0081
Epoch 75 	Train Acc: 0.6629	Train loss: 0.0074	Test Acc: 0.6480	Test loss: 0.0078
Epoch 76 	Train Acc: 0.6758	Train loss: 0.0070	Test Acc: 0.6210	Test loss: 0.0084
Epoch 77 	Train Acc: 0.6555	Train loss: 0.0075	Test Acc: 0.6446	Test loss: 0.0078
Epoch 78 	Train Acc: 0.6461	Train loss: 0.0076	Test Acc: 0.6498	Test loss: 0.0080
Epoch 79 	Train Acc: 0.6640	Train loss: 0.0139	Test Acc: 0.6250	Test loss: 0.0083
Epoch 80 	Train Acc: 0.6922	Train loss: 0.0069	Test Acc: 0.6562	Test loss: 0.0078
Epoch 81 	Train Acc: 0.6727	Train loss: 0.0074	Test Acc: 0.6603	Test loss: 0.0076
Epoch 82 	Train Acc: 0.6715	Train loss: 0.0072	Test Acc: 0.6611	Test loss: 0.0077
Epoch 83 	Train Acc: 0.6973	Train loss: 0.0067	Test Acc: 0.6361	Test loss: 0.0082
Epoch 84 	Train Acc: 0.7016	Train loss: 0.0067	Test Acc: 0.6446	Test loss: 0.0080
Epoch 85 	Train Acc: 0.6816	Train loss: 0.0071	Test Acc: 0.6647	Test loss: 0.0076
Epoch 86 	Train Acc: 0.6859	Train loss: 0.0069	Test Acc: 0.6667	Test loss: 0.0075
Epoch 87 	Train Acc: 0.6922	Train loss: 0.0068	Test Acc: 0.6740	Test loss: 0.0074
Epoch 88 	Train Acc: 0.6930	Train loss: 0.0067	Test Acc: 0.6465	Test loss: 0.0079
Epoch 89 	Train Acc: 0.7008	Train loss: 0.0069	Test Acc: 0.6595	Test loss: 0.0076
Epoch 90 	Train Acc: 0.7070	Train loss: 0.0066	Test Acc: 0.6668	Test loss: 0.0076
Epoch 91 	Train Acc: 0.7035	Train loss: 0.0067	Test Acc: 0.6540	Test loss: 0.0079
Epoch 92 	Train Acc: 0.6918	Train loss: 0.0069	Test Acc: 0.6785	Test loss: 0.0073
Epoch 93 	Train Acc: 0.7109	Train loss: 0.0067	Test Acc: 0.6698	Test loss: 0.0074
Epoch 94 	Train Acc: 0.6918	Train loss: 0.0069	Test Acc: 0.6599	Test loss: 0.0076
Epoch 95 	Train Acc: 0.7047	Train loss: 0.0065	Test Acc: 0.6564	Test loss: 0.0079
Epoch 96 	Train Acc: 0.6758	Train loss: 0.0072	Test Acc: 0.6619	Test loss: 0.0077
Epoch 97 	Train Acc: 0.6941	Train loss: 0.0068	Test Acc: 0.6460	Test loss: 0.0080
Epoch 98 	Train Acc: 0.6863	Train loss: 0.0071	Test Acc: 0.6530	Test loss: 0.0076
Epoch 99 	Train Acc: 0.6816	Train loss: 0.0132	Test Acc: 0.6469	Test loss: 0.0079
Epoch 100	Train Acc: 0.6984	Train loss: 0.0066	Test Acc: 0.6700	Test loss: 0.0074
Epoch 101	Train Acc: 0.6973	Train loss: 0.0069	Test Acc: 0.6781	Test loss: 0.0072
Epoch 102	Train Acc: 0.7129	Train loss: 0.0062	Test Acc: 0.6377	Test loss: 0.0080
Epoch 103	Train Acc: 0.7117	Train loss: 0.0063	Test Acc: 0.6669	Test loss: 0.0077
Epoch 104	Train Acc: 0.7129	Train loss: 0.0065	Test Acc: 0.6918	Test loss: 0.0070
Epoch 105	Train Acc: 0.7117	Train loss: 0.0064	Test Acc: 0.6780	Test loss: 0.0072
Epoch 106	Train Acc: 0.7105	Train loss: 0.0064	Test Acc: 0.6921	Test loss: 0.0070
Epoch 107	Train Acc: 0.6984	Train loss: 0.0067	Test Acc: 0.6957	Test loss: 0.0069
Epoch 108	Train Acc: 0.7305	Train loss: 0.0060	Test Acc: 0.6735	Test loss: 0.0074
Epoch 109	Train Acc: 0.7098	Train loss: 0.0064	Test Acc: 0.6729	Test loss: 0.0073
Epoch 110	Train Acc: 0.7230	Train loss: 0.0062	Test Acc: 0.6891	Test loss: 0.0070
Epoch 111	Train Acc: 0.7242	Train loss: 0.0061	Test Acc: 0.6967	Test loss: 0.0069
Epoch 112	Train Acc: 0.7223	Train loss: 0.0062	Test Acc: 0.6639	Test loss: 0.0076
Epoch 113	Train Acc: 0.7242	Train loss: 0.0063	Test Acc: 0.6546	Test loss: 0.0079
Epoch 114	Train Acc: 0.7250	Train loss: 0.0062	Test Acc: 0.6931	Test loss: 0.0070
Epoch 115	Train Acc: 0.7359	Train loss: 0.0059	Test Acc: 0.6780	Test loss: 0.0073
Epoch 116	Train Acc: 0.7270	Train loss: 0.0063	Test Acc: 0.6839	Test loss: 0.0072
Epoch 117	Train Acc: 0.7293	Train loss: 0.0060	Test Acc: 0.6820	Test loss: 0.0073
