seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: MultiKrum, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_MultiKrum/200_20_4_0.05_2025-03-08_10-55-23.txt

Started on Sat Mar  8 10:55:23 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1166	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1539	Train loss: 0.0177	Test Acc: 0.1365	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2285	Train loss: 0.0170	Test Acc: 0.2051	Test loss: 0.0180
Epoch 3  	Train Acc: 0.3004	Train loss: 0.0163	Test Acc: 0.2444	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3191	Train loss: 0.0156	Test Acc: 0.2526	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3141	Train loss: 0.0152	Test Acc: 0.3149	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3578	Train loss: 0.0144	Test Acc: 0.3335	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3422	Train loss: 0.0141	Test Acc: 0.3326	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3656	Train loss: 0.0139	Test Acc: 0.3215	Test loss: 0.0165
Epoch 9  	Train Acc: 0.3570	Train loss: 0.0137	Test Acc: 0.3029	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3551	Train loss: 0.0135	Test Acc: 0.3102	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3902	Train loss: 0.0130	Test Acc: 0.2540	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3496	Train loss: 0.0136	Test Acc: 0.2237	Test loss: 0.0161
Epoch 13 	Train Acc: 0.3875	Train loss: 0.0135	Test Acc: 0.2102	Test loss: 0.0161
