seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 2, attack: MinMax, defense: MyDefense, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_MyDefense/200_20_2_0.05_2025-03-12_14-18-35.txt

Started on Wed Mar 12 14:18:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0875	Train loss: 0.0182	Test Acc: 0.1023	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1648	Train loss: 0.0176	Test Acc: 0.1036	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2172	Train loss: 0.0169	Test Acc: 0.1718	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2691	Train loss: 0.0162	Test Acc: 0.2507	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2820	Train loss: 0.0155	Test Acc: 0.2964	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3516	Train loss: 0.0146	Test Acc: 0.2816	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3492	Train loss: 0.0141	Test Acc: 0.2394	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3367	Train loss: 0.0142	Test Acc: 0.2736	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3992	Train loss: 0.0132	Test Acc: 0.2816	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3836	Train loss: 0.0135	Test Acc: 0.2062	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3695	Train loss: 0.0134	Test Acc: 0.2202	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3590	Train loss: 0.0141	Test Acc: 0.2110	Test loss: 0.0173
Epoch 12 	Train Acc: 0.3754	Train loss: 0.0153	Test Acc: 0.2376	Test loss: 0.0191
