seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: MyDefense, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_MyDefense/200_20_4_0.05_2025-03-06_10-27-21.txt

Started on Thu Mar  6 10:27:21 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0918	Train loss: 0.0182	Test Acc: 0.1252	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1727	Train loss: 0.0175	Test Acc: 0.1537	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2379	Train loss: 0.0169	Test Acc: 0.1987	Test loss: 0.0179
Epoch 3  	Train Acc: 0.3027	Train loss: 0.0160	Test Acc: 0.2448	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2918	Train loss: 0.0153	Test Acc: 0.2909	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3293	Train loss: 0.0147	Test Acc: 0.3316	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3527	Train loss: 0.0142	Test Acc: 0.3499	Test loss: 0.0166
Epoch 7  	Train Acc: 0.3688	Train loss: 0.0138	Test Acc: 0.3142	Test loss: 0.0162
Epoch 8  	Train Acc: 0.3809	Train loss: 0.0134	Test Acc: 0.2424	Test loss: 0.0159
Epoch 9  	Train Acc: 0.3566	Train loss: 0.0135	Test Acc: 0.3066	Test loss: 0.0155
Epoch 10 	Train Acc: 0.3848	Train loss: 0.0130	Test Acc: 0.2814	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3961	Train loss: 0.0135	Test Acc: 0.2012	Test loss: 0.0164
Epoch 12 	Train Acc: 0.4137	Train loss: 0.0123	Test Acc: 0.2055	Test loss: 0.0160
Epoch 13 	Train Acc: 0.3250	Train loss: 0.0142	Test Acc: 0.1666	Test loss: 0.0176
Epoch 14 	Train Acc: 0.3785	Train loss: 0.0146	Test Acc: 0.2028	Test loss: 0.0177
Epoch 15 	Train Acc: 0.3184	Train loss: 0.0156	Test Acc: 0.1797	Test loss: 0.0166
Epoch 16 	Train Acc: 0.4105	Train loss: 0.0127	Test Acc: 0.2712	Test loss: 0.0150
Epoch 17 	Train Acc: 0.3969	Train loss: 0.0124	Test Acc: 0.3002	Test loss: 0.0146
Epoch 18 	Train Acc: 0.3570	Train loss: 0.0129	Test Acc: 0.3597	Test loss: 0.0141
Epoch 19 	Train Acc: 0.4118	Train loss: 0.0232	Test Acc: 0.4046	Test loss: 0.0135
Epoch 20 	Train Acc: 0.4461	Train loss: 0.0122	Test Acc: 0.4380	Test loss: 0.0129
Epoch 21 	Train Acc: 0.4547	Train loss: 0.0118	Test Acc: 0.4445	Test loss: 0.0123
Epoch 22 	Train Acc: 0.4531	Train loss: 0.0116	Test Acc: 0.4440	Test loss: 0.0121
Epoch 23 	Train Acc: 0.4625	Train loss: 0.0113	Test Acc: 0.4479	Test loss: 0.0120
Epoch 24 	Train Acc: 0.4855	Train loss: 0.0108	Test Acc: 0.4461	Test loss: 0.0118
Epoch 25 	Train Acc: 0.4922	Train loss: 0.0110	Test Acc: 0.4745	Test loss: 0.0111
Epoch 26 	Train Acc: 0.4809	Train loss: 0.0110	Test Acc: 0.4946	Test loss: 0.0108
Epoch 27 	Train Acc: 0.4977	Train loss: 0.0109	Test Acc: 0.4481	Test loss: 0.0118
Epoch 28 	Train Acc: 0.5031	Train loss: 0.0105	Test Acc: 0.3960	Test loss: 0.0132
Epoch 29 	Train Acc: 0.5004	Train loss: 0.0112	Test Acc: 0.4624	Test loss: 0.0116
Epoch 30 	Train Acc: 0.5051	Train loss: 0.0105	Test Acc: 0.4901	Test loss: 0.0110
Epoch 31 	Train Acc: 0.5207	Train loss: 0.0105	Test Acc: 0.4903	Test loss: 0.0111
Epoch 32 	Train Acc: 0.5145	Train loss: 0.0105	Test Acc: 0.4627	Test loss: 0.0115
Epoch 33 	Train Acc: 0.5184	Train loss: 0.0104	Test Acc: 0.4470	Test loss: 0.0129
Epoch 34 	Train Acc: 0.5035	Train loss: 0.0106	Test Acc: 0.5020	Test loss: 0.0111
Epoch 35 	Train Acc: 0.5309	Train loss: 0.0099	Test Acc: 0.5251	Test loss: 0.0104
Epoch 36 	Train Acc: 0.5445	Train loss: 0.0099	Test Acc: 0.5115	Test loss: 0.0106
Epoch 37 	Train Acc: 0.5293	Train loss: 0.0102	Test Acc: 0.5127	Test loss: 0.0106
Epoch 38 	Train Acc: 0.5309	Train loss: 0.0101	Test Acc: 0.5339	Test loss: 0.0102
Epoch 39 	Train Acc: 0.5287	Train loss: 0.0192	Test Acc: 0.4890	Test loss: 0.0112
Epoch 40 	Train Acc: 0.5379	Train loss: 0.0100	Test Acc: 0.5462	Test loss: 0.0098
Epoch 41 	Train Acc: 0.5570	Train loss: 0.0094	Test Acc: 0.5064	Test loss: 0.0108
Epoch 42 	Train Acc: 0.5391	Train loss: 0.0096	Test Acc: 0.5457	Test loss: 0.0099
Epoch 43 	Train Acc: 0.5406	Train loss: 0.0097	Test Acc: 0.5375	Test loss: 0.0099
