seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, softmax_seg: Zero, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2rs, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: MyDefense, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_MyDefense/200_20_4_0.05_2025-04-06_16-15-58.txt

Started on Sun Apr  6 16:15:58 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0918	Train loss: 0.0182	Test Acc: 0.1252	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1727	Train loss: 0.0175	Test Acc: 0.1537	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2379	Train loss: 0.0169	Test Acc: 0.1987	Test loss: 0.0179
Epoch 3  	Train Acc: 0.3031	Train loss: 0.0160	Test Acc: 0.2448	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2918	Train loss: 0.0153	Test Acc: 0.2911	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3293	Train loss: 0.0147	Test Acc: 0.3316	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3527	Train loss: 0.0142	Test Acc: 0.3474	Test loss: 0.0166
Epoch 7  	Train Acc: 0.3594	Train loss: 0.0139	Test Acc: 0.3094	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3758	Train loss: 0.0135	Test Acc: 0.2435	Test loss: 0.0159
Epoch 9  	Train Acc: 0.3543	Train loss: 0.0136	Test Acc: 0.3002	Test loss: 0.0155
Epoch 10 	Train Acc: 0.3832	Train loss: 0.0131	Test Acc: 0.2765	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3895	Train loss: 0.0135	Test Acc: 0.2147	Test loss: 0.0162
Epoch 12 	Train Acc: 0.4219	Train loss: 0.0121	Test Acc: 0.2029	Test loss: 0.0160
Epoch 13 	Train Acc: 0.3363	Train loss: 0.0141	Test Acc: 0.1459	Test loss: 0.0179
Epoch 14 	Train Acc: 0.3648	Train loss: 0.0137	Test Acc: 0.2291	Test loss: 0.0172
Epoch 15 	Train Acc: 0.3703	Train loss: 0.0135	Test Acc: 0.2895	Test loss: 0.0150
Epoch 16 	Train Acc: 0.4043	Train loss: 0.0126	Test Acc: 0.2688	Test loss: 0.0151
Epoch 17 	Train Acc: 0.3781	Train loss: 0.0127	Test Acc: 0.2619	Test loss: 0.0152
Epoch 18 	Train Acc: 0.4023	Train loss: 0.0125	Test Acc: 0.3655	Test loss: 0.0136
Epoch 19 	Train Acc: 0.4419	Train loss: 0.0222	Test Acc: 0.4458	Test loss: 0.0129
Epoch 20 	Train Acc: 0.4461	Train loss: 0.0119	Test Acc: 0.4036	Test loss: 0.0130
Epoch 21 	Train Acc: 0.4391	Train loss: 0.0120	Test Acc: 0.4344	Test loss: 0.0125
Epoch 22 	Train Acc: 0.4570	Train loss: 0.0115	Test Acc: 0.4537	Test loss: 0.0121
Epoch 23 	Train Acc: 0.4957	Train loss: 0.0111	Test Acc: 0.4529	Test loss: 0.0118
Epoch 24 	Train Acc: 0.4914	Train loss: 0.0109	Test Acc: 0.4441	Test loss: 0.0118
Epoch 25 	Train Acc: 0.4785	Train loss: 0.0111	Test Acc: 0.4625	Test loss: 0.0114
Epoch 26 	Train Acc: 0.4727	Train loss: 0.0109	Test Acc: 0.4926	Test loss: 0.0111
Epoch 27 	Train Acc: 0.4953	Train loss: 0.0108	Test Acc: 0.5031	Test loss: 0.0109
Epoch 28 	Train Acc: 0.5027	Train loss: 0.0106	Test Acc: 0.4600	Test loss: 0.0119
Epoch 29 	Train Acc: 0.4949	Train loss: 0.0110	Test Acc: 0.4621	Test loss: 0.0120
Epoch 30 	Train Acc: 0.5223	Train loss: 0.0105	Test Acc: 0.4879	Test loss: 0.0111
Epoch 31 	Train Acc: 0.5164	Train loss: 0.0105	Test Acc: 0.4987	Test loss: 0.0110
Epoch 32 	Train Acc: 0.5277	Train loss: 0.0102	Test Acc: 0.4923	Test loss: 0.0111
Epoch 33 	Train Acc: 0.5094	Train loss: 0.0104	Test Acc: 0.4570	Test loss: 0.0120
Epoch 34 	Train Acc: 0.5234	Train loss: 0.0100	Test Acc: 0.4419	Test loss: 0.0125
Epoch 35 	Train Acc: 0.5230	Train loss: 0.0101	Test Acc: 0.4575	Test loss: 0.0118
Epoch 36 	Train Acc: 0.5418	Train loss: 0.0101	Test Acc: 0.4966	Test loss: 0.0109
Epoch 37 	Train Acc: 0.5316	Train loss: 0.0100	Test Acc: 0.5013	Test loss: 0.0108
Epoch 38 	Train Acc: 0.5434	Train loss: 0.0097	Test Acc: 0.5270	Test loss: 0.0105
Epoch 39 	Train Acc: 0.5250	Train loss: 0.0190	Test Acc: 0.5427	Test loss: 0.0100
Epoch 40 	Train Acc: 0.5500	Train loss: 0.0097	Test Acc: 0.4902	Test loss: 0.0109
Epoch 41 	Train Acc: 0.5570	Train loss: 0.0095	Test Acc: 0.5259	Test loss: 0.0105
Epoch 42 	Train Acc: 0.5852	Train loss: 0.0091	Test Acc: 0.5154	Test loss: 0.0106
Epoch 43 	Train Acc: 0.5340	Train loss: 0.0099	Test Acc: 0.5639	Test loss: 0.0096
