seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinMax, defense: NormClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_NormClipping/200_20_6_0.05_2025-03-13_16-51-32.txt

Started on Thu Mar 13 16:51:32 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1373	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1711	Train loss: 0.0177	Test Acc: 0.1625	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1969	Train loss: 0.0172	Test Acc: 0.1946	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2531	Train loss: 0.0164	Test Acc: 0.2143	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3074	Train loss: 0.0156	Test Acc: 0.2597	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3363	Train loss: 0.0148	Test Acc: 0.2626	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3375	Train loss: 0.0144	Test Acc: 0.2619	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3398	Train loss: 0.0141	Test Acc: 0.2362	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3754	Train loss: 0.0137	Test Acc: 0.2459	Test loss: 0.0167
Epoch 9  	Train Acc: 0.3883	Train loss: 0.0132	Test Acc: 0.2084	Test loss: 0.0168
Epoch 10 	Train Acc: 0.3934	Train loss: 0.0130	Test Acc: 0.1474	Test loss: 0.0172
Epoch 11 	Train Acc: 0.3836	Train loss: 0.0129	Test Acc: 0.2127	Test loss: 0.0170
Epoch 12 	Train Acc: 0.4289	Train loss: 0.0125	Test Acc: 0.2203	Test loss: 0.0169
Epoch 13 	Train Acc: 0.4129	Train loss: 0.0126	Test Acc: 0.1994	Test loss: 0.0173
Epoch 14 	Train Acc: 0.3844	Train loss: 0.0133	Test Acc: 0.2431	Test loss: 0.0156
