seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: SignGuard, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_SignGuard/200_20_4_0.05_2025-03-07_11-11-46.txt

Started on Fri Mar  7 11:11:46 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1124	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1430	Train loss: 0.0178	Test Acc: 0.1477	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2379	Train loss: 0.0170	Test Acc: 0.2144	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2879	Train loss: 0.0162	Test Acc: 0.2445	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3113	Train loss: 0.0155	Test Acc: 0.2640	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3105	Train loss: 0.0151	Test Acc: 0.3328	Test loss: 0.0172
Epoch 6  	Train Acc: 0.3438	Train loss: 0.0143	Test Acc: 0.3080	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3371	Train loss: 0.0141	Test Acc: 0.3052	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3426	Train loss: 0.0141	Test Acc: 0.3448	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3711	Train loss: 0.0136	Test Acc: 0.2499	Test loss: 0.0159
Epoch 10 	Train Acc: 0.3473	Train loss: 0.0136	Test Acc: 0.2369	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3719	Train loss: 0.0132	Test Acc: 0.2479	Test loss: 0.0162
Epoch 12 	Train Acc: 0.3871	Train loss: 0.0132	Test Acc: 0.2439	Test loss: 0.0159
Epoch 13 	Train Acc: 0.3758	Train loss: 0.0133	Test Acc: 0.2381	Test loss: 0.0156
Epoch 14 	Train Acc: 0.4180	Train loss: 0.0127	Test Acc: 0.2072	Test loss: 0.0165
Epoch 15 	Train Acc: 0.4137	Train loss: 0.0123	Test Acc: 0.2506	Test loss: 0.0165
Epoch 16 	Train Acc: 0.3883	Train loss: 0.0132	Test Acc: 0.2542	Test loss: 0.0158
Epoch 17 	Train Acc: 0.4562	Train loss: 0.0117	Test Acc: 0.2583	Test loss: 0.0153
Epoch 18 	Train Acc: 0.3937	Train loss: 0.0126	Test Acc: 0.2446	Test loss: 0.0152
Epoch 19 	Train Acc: 0.4485	Train loss: 0.0221	Test Acc: 0.2781	Test loss: 0.0147
Epoch 20 	Train Acc: 0.4469	Train loss: 0.0115	Test Acc: 0.3234	Test loss: 0.0151
Epoch 21 	Train Acc: 0.4414	Train loss: 0.0119	Test Acc: 0.3822	Test loss: 0.0133
Epoch 22 	Train Acc: 0.4648	Train loss: 0.0114	Test Acc: 0.3602	Test loss: 0.0131
Epoch 23 	Train Acc: 0.4562	Train loss: 0.0114	Test Acc: 0.3959	Test loss: 0.0127
Epoch 24 	Train Acc: 0.4746	Train loss: 0.0113	Test Acc: 0.4275	Test loss: 0.0122
Epoch 25 	Train Acc: 0.4750	Train loss: 0.0111	Test Acc: 0.4275	Test loss: 0.0123
Epoch 26 	Train Acc: 0.4840	Train loss: 0.0111	Test Acc: 0.4246	Test loss: 0.0124
Epoch 27 	Train Acc: 0.4828	Train loss: 0.0109	Test Acc: 0.4688	Test loss: 0.0119
Epoch 28 	Train Acc: 0.5129	Train loss: 0.0106	Test Acc: 0.4732	Test loss: 0.0113
Epoch 29 	Train Acc: 0.5242	Train loss: 0.0103	Test Acc: 0.4737	Test loss: 0.0115
Epoch 30 	Train Acc: 0.5062	Train loss: 0.0105	Test Acc: 0.4725	Test loss: 0.0114
