seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinMax, defense: SignGuard, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_SignGuard/200_20_6_0.05_2025-03-12_13-37-36.txt

Started on Wed Mar 12 13:37:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1367	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1727	Train loss: 0.0177	Test Acc: 0.1653	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1988	Train loss: 0.0172	Test Acc: 0.1836	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2508	Train loss: 0.0165	Test Acc: 0.2091	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3094	Train loss: 0.0157	Test Acc: 0.2415	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3281	Train loss: 0.0150	Test Acc: 0.2602	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3402	Train loss: 0.0144	Test Acc: 0.2762	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3301	Train loss: 0.0143	Test Acc: 0.2663	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3672	Train loss: 0.0137	Test Acc: 0.2213	Test loss: 0.0170
Epoch 9  	Train Acc: 0.3750	Train loss: 0.0135	Test Acc: 0.2195	Test loss: 0.0170
Epoch 10 	Train Acc: 0.3613	Train loss: 0.0134	Test Acc: 0.1659	Test loss: 0.0168
Epoch 11 	Train Acc: 0.3734	Train loss: 0.0132	Test Acc: 0.2064	Test loss: 0.0168
Epoch 12 	Train Acc: 0.4195	Train loss: 0.0127	Test Acc: 0.2029	Test loss: 0.0173
Epoch 13 	Train Acc: 0.4215	Train loss: 0.0126	Test Acc: 0.2037	Test loss: 0.0178
Epoch 14 	Train Acc: 0.3902	Train loss: 0.0131	Test Acc: 0.2087	Test loss: 0.0163
Epoch 15 	Train Acc: 0.3941	Train loss: 0.0125	Test Acc: 0.2465	Test loss: 0.0154
Epoch 16 	Train Acc: 0.3508	Train loss: 0.0145	Test Acc: 0.2761	Test loss: 0.0161
Epoch 17 	Train Acc: 0.4062	Train loss: 0.0137	Test Acc: 0.3102	Test loss: 0.0165
