seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinMax, defense: TESSERACT, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_TESSERACT/200_20_4_0.05_2025-03-07_11-11-46.txt

Started on Fri Mar  7 11:11:46 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1166	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1520	Train loss: 0.0177	Test Acc: 0.1459	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2336	Train loss: 0.0169	Test Acc: 0.2029	Test loss: 0.0180
Epoch 3  	Train Acc: 0.3039	Train loss: 0.0161	Test Acc: 0.2629	Test loss: 0.0177
Epoch 4  	Train Acc: 0.3242	Train loss: 0.0154	Test Acc: 0.2854	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3316	Train loss: 0.0149	Test Acc: 0.3456	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3691	Train loss: 0.0141	Test Acc: 0.3270	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3527	Train loss: 0.0139	Test Acc: 0.3081	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3703	Train loss: 0.0137	Test Acc: 0.3136	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3570	Train loss: 0.0137	Test Acc: 0.2431	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3449	Train loss: 0.0142	Test Acc: 0.2452	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3832	Train loss: 0.0131	Test Acc: 0.2446	Test loss: 0.0158
Epoch 12 	Train Acc: 0.3836	Train loss: 0.0133	Test Acc: 0.2355	Test loss: 0.0162
Epoch 13 	Train Acc: 0.3918	Train loss: 0.0130	Test Acc: 0.1970	Test loss: 0.0170
Epoch 14 	Train Acc: 0.3988	Train loss: 0.0128	Test Acc: 0.1997	Test loss: 0.0165
Epoch 15 	Train Acc: 0.4445	Train loss: 0.0119	Test Acc: 0.2521	Test loss: 0.0159
Epoch 16 	Train Acc: 0.4000	Train loss: 0.0124	Test Acc: 0.2247	Test loss: 0.0158
Epoch 17 	Train Acc: 0.4586	Train loss: 0.0117	Test Acc: 0.2244	Test loss: 0.0153
Epoch 18 	Train Acc: 0.4504	Train loss: 0.0115	Test Acc: 0.3040	Test loss: 0.0143
Epoch 19 	Train Acc: 0.4728	Train loss: 0.0210	Test Acc: 0.3081	Test loss: 0.0143
Epoch 20 	Train Acc: 0.4562	Train loss: 0.0111	Test Acc: 0.3413	Test loss: 0.0141
Epoch 21 	Train Acc: 0.4828	Train loss: 0.0109	Test Acc: 0.3637	Test loss: 0.0135
Epoch 22 	Train Acc: 0.4637	Train loss: 0.0114	Test Acc: 0.3677	Test loss: 0.0133
Epoch 23 	Train Acc: 0.4801	Train loss: 0.0110	Test Acc: 0.3591	Test loss: 0.0134
Epoch 24 	Train Acc: 0.4961	Train loss: 0.0108	Test Acc: 0.3911	Test loss: 0.0129
Epoch 25 	Train Acc: 0.4871	Train loss: 0.0109	Test Acc: 0.3516	Test loss: 0.0134
Epoch 26 	Train Acc: 0.4719	Train loss: 0.0110	Test Acc: 0.3282	Test loss: 0.0142
Epoch 27 	Train Acc: 0.4969	Train loss: 0.0106	Test Acc: 0.3771	Test loss: 0.0137
Epoch 28 	Train Acc: 0.5109	Train loss: 0.0105	Test Acc: 0.4068	Test loss: 0.0128
Epoch 29 	Train Acc: 0.5188	Train loss: 0.0103	Test Acc: 0.4726	Test loss: 0.0117
Epoch 30 	Train Acc: 0.5148	Train loss: 0.0104	Test Acc: 0.4681	Test loss: 0.0114
Epoch 31 	Train Acc: 0.4910	Train loss: 0.0106	Test Acc: 0.4300	Test loss: 0.0121
Epoch 32 	Train Acc: 0.4980	Train loss: 0.0106	Test Acc: 0.4438	Test loss: 0.0123
Epoch 33 	Train Acc: 0.5164	Train loss: 0.0104	Test Acc: 0.4646	Test loss: 0.0117
Epoch 34 	Train Acc: 0.5152	Train loss: 0.0102	Test Acc: 0.4476	Test loss: 0.0115
Epoch 35 	Train Acc: 0.5156	Train loss: 0.0102	Test Acc: 0.4511	Test loss: 0.0122
Epoch 36 	Train Acc: 0.4969	Train loss: 0.0106	Test Acc: 0.4151	Test loss: 0.0132
Epoch 37 	Train Acc: 0.5188	Train loss: 0.0105	Test Acc: 0.4175	Test loss: 0.0129
Epoch 38 	Train Acc: 0.5496	Train loss: 0.0099	Test Acc: 0.4606	Test loss: 0.0122
Epoch 39 	Train Acc: 0.5037	Train loss: 0.0201	Test Acc: 0.5116	Test loss: 0.0107
Epoch 40 	Train Acc: 0.5258	Train loss: 0.0099	Test Acc: 0.5146	Test loss: 0.0104
Epoch 41 	Train Acc: 0.5531	Train loss: 0.0095	Test Acc: 0.5213	Test loss: 0.0103
Epoch 42 	Train Acc: 0.5531	Train loss: 0.0095	Test Acc: 0.5560	Test loss: 0.0099
Epoch 43 	Train Acc: 0.5273	Train loss: 0.0101	Test Acc: 0.5347	Test loss: 0.0102
Epoch 44 	Train Acc: 0.5520	Train loss: 0.0098	Test Acc: 0.5328	Test loss: 0.0102
Epoch 45 	Train Acc: 0.5547	Train loss: 0.0097	Test Acc: 0.5171	Test loss: 0.0104
Epoch 46 	Train Acc: 0.5590	Train loss: 0.0096	Test Acc: 0.5195	Test loss: 0.0104
Epoch 47 	Train Acc: 0.5543	Train loss: 0.0098	Test Acc: 0.5371	Test loss: 0.0101
Epoch 48 	Train Acc: 0.5617	Train loss: 0.0095	Test Acc: 0.5433	Test loss: 0.0101
Epoch 49 	Train Acc: 0.5668	Train loss: 0.0093	Test Acc: 0.5513	Test loss: 0.0101
Epoch 50 	Train Acc: 0.5684	Train loss: 0.0094	Test Acc: 0.5203	Test loss: 0.0109
Epoch 51 	Train Acc: 0.5691	Train loss: 0.0095	Test Acc: 0.4988	Test loss: 0.0116
Epoch 52 	Train Acc: 0.5543	Train loss: 0.0095	Test Acc: 0.5245	Test loss: 0.0109
Epoch 53 	Train Acc: 0.5719	Train loss: 0.0092	Test Acc: 0.5401	Test loss: 0.0103
Epoch 54 	Train Acc: 0.5523	Train loss: 0.0098	Test Acc: 0.5174	Test loss: 0.0108
Epoch 55 	Train Acc: 0.5687	Train loss: 0.0093	Test Acc: 0.5127	Test loss: 0.0108
Epoch 56 	Train Acc: 0.5746	Train loss: 0.0094	Test Acc: 0.5697	Test loss: 0.0097
Epoch 57 	Train Acc: 0.5801	Train loss: 0.0090	Test Acc: 0.5520	Test loss: 0.0100
Epoch 58 	Train Acc: 0.5539	Train loss: 0.0097	Test Acc: 0.5576	Test loss: 0.0099
Epoch 59 	Train Acc: 0.5787	Train loss: 0.0180	Test Acc: 0.5562	Test loss: 0.0099
Epoch 60 	Train Acc: 0.5801	Train loss: 0.0091	Test Acc: 0.5232	Test loss: 0.0104
Epoch 61 	Train Acc: 0.5387	Train loss: 0.0101	Test Acc: 0.5084	Test loss: 0.0109
Epoch 62 	Train Acc: 0.5410	Train loss: 0.0099	Test Acc: 0.5168	Test loss: 0.0107
Epoch 63 	Train Acc: 0.5691	Train loss: 0.0094	Test Acc: 0.3560	Test loss: 0.0166
Epoch 64 	Train Acc: 0.4539	Train loss: 0.0123	Test Acc: 0.4662	Test loss: 0.0127
Epoch 65 	Train Acc: 0.5090	Train loss: 0.0110	Test Acc: 0.4909	Test loss: 0.0111
Epoch 66 	Train Acc: 0.5445	Train loss: 0.0098	Test Acc: 0.5154	Test loss: 0.0111
Epoch 67 	Train Acc: 0.5594	Train loss: 0.0097	Test Acc: 0.4960	Test loss: 0.0115
Epoch 68 	Train Acc: 0.5180	Train loss: 0.0104	Test Acc: 0.5163	Test loss: 0.0106
Epoch 69 	Train Acc: 0.5230	Train loss: 0.0105	Test Acc: 0.5600	Test loss: 0.0097
Epoch 70 	Train Acc: 0.5500	Train loss: 0.0097	Test Acc: 0.5370	Test loss: 0.0103
Epoch 71 	Train Acc: 0.5516	Train loss: 0.0097	Test Acc: 0.5039	Test loss: 0.0112
Epoch 72 	Train Acc: 0.5863	Train loss: 0.0091	Test Acc: 0.4573	Test loss: 0.0128
Epoch 73 	Train Acc: 0.5652	Train loss: 0.0095	Test Acc: 0.4353	Test loss: 0.0133
Epoch 74 	Train Acc: 0.5391	Train loss: 0.0095	Test Acc: 0.4457	Test loss: 0.0127
Epoch 75 	Train Acc: 0.5508	Train loss: 0.0095	Test Acc: 0.4602	Test loss: 0.0120
Epoch 76 	Train Acc: 0.5699	Train loss: 0.0095	Test Acc: 0.5206	Test loss: 0.0106
Epoch 77 	Train Acc: 0.5820	Train loss: 0.0093	Test Acc: 0.5541	Test loss: 0.0099
Epoch 78 	Train Acc: 0.5637	Train loss: 0.0092	Test Acc: 0.5566	Test loss: 0.0098
Epoch 79 	Train Acc: 0.5809	Train loss: 0.0173	Test Acc: 0.5503	Test loss: 0.0100
Epoch 80 	Train Acc: 0.5844	Train loss: 0.0091	Test Acc: 0.5580	Test loss: 0.0098
Epoch 81 	Train Acc: 0.5684	Train loss: 0.0096	Test Acc: 0.5534	Test loss: 0.0099
Epoch 82 	Train Acc: 0.5781	Train loss: 0.0090	Test Acc: 0.5357	Test loss: 0.0105
Epoch 83 	Train Acc: 0.5926	Train loss: 0.0089	Test Acc: 0.5184	Test loss: 0.0110
Epoch 84 	Train Acc: 0.5934	Train loss: 0.0089	Test Acc: 0.5345	Test loss: 0.0107
Epoch 85 	Train Acc: 0.5621	Train loss: 0.0094	Test Acc: 0.5510	Test loss: 0.0106
Epoch 86 	Train Acc: 0.5859	Train loss: 0.0091	Test Acc: 0.5459	Test loss: 0.0105
Epoch 87 	Train Acc: 0.6027	Train loss: 0.0088	Test Acc: 0.5238	Test loss: 0.0108
Epoch 88 	Train Acc: 0.5945	Train loss: 0.0089	Test Acc: 0.5010	Test loss: 0.0114
Epoch 89 	Train Acc: 0.5730	Train loss: 0.0094	Test Acc: 0.5612	Test loss: 0.0098
Epoch 90 	Train Acc: 0.5996	Train loss: 0.0088	Test Acc: 0.5866	Test loss: 0.0093
Epoch 91 	Train Acc: 0.5996	Train loss: 0.0090	Test Acc: 0.5898	Test loss: 0.0094
Epoch 92 	Train Acc: 0.5766	Train loss: 0.0094	Test Acc: 0.5905	Test loss: 0.0094
Epoch 93 	Train Acc: 0.5879	Train loss: 0.0090	Test Acc: 0.5734	Test loss: 0.0096
Epoch 94 	Train Acc: 0.6008	Train loss: 0.0089	Test Acc: 0.5347	Test loss: 0.0105
Epoch 95 	Train Acc: 0.5805	Train loss: 0.0090	Test Acc: 0.5114	Test loss: 0.0109
Epoch 96 	Train Acc: 0.5676	Train loss: 0.0096	Test Acc: 0.5372	Test loss: 0.0103
Epoch 97 	Train Acc: 0.5895	Train loss: 0.0091	Test Acc: 0.5662	Test loss: 0.0096
Epoch 98 	Train Acc: 0.5875	Train loss: 0.0089	Test Acc: 0.5370	Test loss: 0.0102
Epoch 99 	Train Acc: 0.5765	Train loss: 0.0176	Test Acc: 0.5204	Test loss: 0.0105
Epoch 100	Train Acc: 0.5664	Train loss: 0.0093	Test Acc: 0.5341	Test loss: 0.0104
Epoch 101	Train Acc: 0.5922	Train loss: 0.0088	Test Acc: 0.5288	Test loss: 0.0104
Epoch 102	Train Acc: 0.6223	Train loss: 0.0083	Test Acc: 0.5272	Test loss: 0.0104
Epoch 103	Train Acc: 0.6047	Train loss: 0.0086	Test Acc: 0.5600	Test loss: 0.0098
Epoch 104	Train Acc: 0.5863	Train loss: 0.0090	Test Acc: 0.5945	Test loss: 0.0092
Epoch 105	Train Acc: 0.6062	Train loss: 0.0086	Test Acc: 0.5509	Test loss: 0.0108
Epoch 106	Train Acc: 0.6207	Train loss: 0.0083	Test Acc: 0.3033	Test loss: 0.0222
Epoch 107	Train Acc: 0.4535	Train loss: 0.0137	Test Acc: 0.4044	Test loss: 0.0157
Epoch 108	Train Acc: 0.5363	Train loss: 0.0103	Test Acc: 0.4890	Test loss: 0.0128
Epoch 109	Train Acc: 0.5234	Train loss: 0.0107	Test Acc: 0.4216	Test loss: 0.0167
Epoch 110	Train Acc: 0.5004	Train loss: 0.0118	Test Acc: 0.4504	Test loss: 0.0148
Epoch 111	Train Acc: 0.5254	Train loss: 0.0104	Test Acc: 0.4890	Test loss: 0.0119
Epoch 112	Train Acc: 0.5336	Train loss: 0.0105	Test Acc: 0.5259	Test loss: 0.0108
Epoch 113	Train Acc: 0.5391	Train loss: 0.0100	Test Acc: 0.5521	Test loss: 0.0100
Epoch 114	Train Acc: 0.5859	Train loss: 0.0093	Test Acc: 0.5212	Test loss: 0.0108
Epoch 115	Train Acc: 0.5594	Train loss: 0.0096	Test Acc: 0.4963	Test loss: 0.0118
Epoch 116	Train Acc: 0.5590	Train loss: 0.0098	Test Acc: 0.4725	Test loss: 0.0129
Epoch 117	Train Acc: 0.5496	Train loss: 0.0097	Test Acc: 0.4659	Test loss: 0.0132
Epoch 118	Train Acc: 0.5480	Train loss: 0.0098	Test Acc: 0.4810	Test loss: 0.0128
Epoch 119	Train Acc: 0.5765	Train loss: 0.0174	Test Acc: 0.5035	Test loss: 0.0119
Epoch 120	Train Acc: 0.6031	Train loss: 0.0087	Test Acc: 0.5198	Test loss: 0.0112
Epoch 121	Train Acc: 0.6109	Train loss: 0.0089	Test Acc: 0.5388	Test loss: 0.0107
Epoch 122	Train Acc: 0.5949	Train loss: 0.0091	Test Acc: 0.5508	Test loss: 0.0104
Epoch 123	Train Acc: 0.5988	Train loss: 0.0089	Test Acc: 0.5603	Test loss: 0.0101
Epoch 124	Train Acc: 0.6172	Train loss: 0.0085	Test Acc: 0.5672	Test loss: 0.0099
Epoch 125	Train Acc: 0.5961	Train loss: 0.0088	Test Acc: 0.5708	Test loss: 0.0098
Epoch 126	Train Acc: 0.6102	Train loss: 0.0086	Test Acc: 0.5716	Test loss: 0.0098
Epoch 127	Train Acc: 0.6293	Train loss: 0.0081	Test Acc: 0.5700	Test loss: 0.0099
Epoch 128	Train Acc: 0.6137	Train loss: 0.0084	Test Acc: 0.5660	Test loss: 0.0100
Epoch 129	Train Acc: 0.6172	Train loss: 0.0087	Test Acc: 0.5644	Test loss: 0.0100
Epoch 130	Train Acc: 0.6277	Train loss: 0.0081	Test Acc: 0.5670	Test loss: 0.0099
Epoch 131	Train Acc: 0.6199	Train loss: 0.0083	Test Acc: 0.5787	Test loss: 0.0096
Epoch 132	Train Acc: 0.6355	Train loss: 0.0081	Test Acc: 0.5910	Test loss: 0.0093
Epoch 133	Train Acc: 0.6207	Train loss: 0.0082	Test Acc: 0.5967	Test loss: 0.0091
Epoch 134	Train Acc: 0.6285	Train loss: 0.0080	Test Acc: 0.6127	Test loss: 0.0088
Epoch 135	Train Acc: 0.6312	Train loss: 0.0081	Test Acc: 0.6209	Test loss: 0.0085
Epoch 136	Train Acc: 0.6172	Train loss: 0.0081	Test Acc: 0.6223	Test loss: 0.0085
Epoch 137	Train Acc: 0.6270	Train loss: 0.0082	Test Acc: 0.6196	Test loss: 0.0086
Epoch 138	Train Acc: 0.6395	Train loss: 0.0080	Test Acc: 0.6199	Test loss: 0.0086
Epoch 139	Train Acc: 0.6265	Train loss: 0.0152	Test Acc: 0.6181	Test loss: 0.0087
Epoch 140	Train Acc: 0.6254	Train loss: 0.0080	Test Acc: 0.6117	Test loss: 0.0088
Epoch 141	Train Acc: 0.6293	Train loss: 0.0082	Test Acc: 0.6068	Test loss: 0.0089
Epoch 142	Train Acc: 0.6371	Train loss: 0.0082	Test Acc: 0.6042	Test loss: 0.0090
Epoch 143	Train Acc: 0.6371	Train loss: 0.0084	Test Acc: 0.6023	Test loss: 0.0090
Epoch 144	Train Acc: 0.6250	Train loss: 0.0084	Test Acc: 0.5952	Test loss: 0.0093
Epoch 145	Train Acc: 0.6164	Train loss: 0.0083	Test Acc: 0.5839	Test loss: 0.0096
Epoch 146	Train Acc: 0.6305	Train loss: 0.0080	Test Acc: 0.5877	Test loss: 0.0097
Epoch 147	Train Acc: 0.6516	Train loss: 0.0081	Test Acc: 0.5984	Test loss: 0.0094
Epoch 148	Train Acc: 0.6355	Train loss: 0.0081	Test Acc: 0.5960	Test loss: 0.0093
Epoch 149	Train Acc: 0.6395	Train loss: 0.0079	Test Acc: 0.5922	Test loss: 0.0093
Epoch 150	Train Acc: 0.6492	Train loss: 0.0079	Test Acc: 0.5960	Test loss: 0.0093
Epoch 151	Train Acc: 0.6336	Train loss: 0.0082	Test Acc: 0.5952	Test loss: 0.0093
Epoch 152	Train Acc: 0.6445	Train loss: 0.0080	Test Acc: 0.6062	Test loss: 0.0090
Epoch 153	Train Acc: 0.6398	Train loss: 0.0081	Test Acc: 0.6039	Test loss: 0.0090
Epoch 154	Train Acc: 0.6262	Train loss: 0.0083	Test Acc: 0.6071	Test loss: 0.0089
Epoch 155	Train Acc: 0.6207	Train loss: 0.0086	Test Acc: 0.6143	Test loss: 0.0088
Epoch 156	Train Acc: 0.6492	Train loss: 0.0078	Test Acc: 0.6137	Test loss: 0.0087
Epoch 157	Train Acc: 0.6430	Train loss: 0.0081	Test Acc: 0.6072	Test loss: 0.0089
Epoch 158	Train Acc: 0.6605	Train loss: 0.0075	Test Acc: 0.6115	Test loss: 0.0089
Epoch 159	Train Acc: 0.6618	Train loss: 0.0144	Test Acc: 0.6077	Test loss: 0.0090
Epoch 160	Train Acc: 0.6406	Train loss: 0.0080	Test Acc: 0.6076	Test loss: 0.0089
Epoch 161	Train Acc: 0.6469	Train loss: 0.0081	Test Acc: 0.6028	Test loss: 0.0090
Epoch 162	Train Acc: 0.6742	Train loss: 0.0076	Test Acc: 0.5950	Test loss: 0.0092
Epoch 163	Train Acc: 0.6469	Train loss: 0.0078	Test Acc: 0.5926	Test loss: 0.0093
Epoch 164	Train Acc: 0.6375	Train loss: 0.0080	Test Acc: 0.5942	Test loss: 0.0093
Epoch 165	Train Acc: 0.6406	Train loss: 0.0079	Test Acc: 0.5988	Test loss: 0.0092
Epoch 166	Train Acc: 0.6660	Train loss: 0.0077	Test Acc: 0.5994	Test loss: 0.0092
Epoch 167	Train Acc: 0.6797	Train loss: 0.0073	Test Acc: 0.6058	Test loss: 0.0090
Epoch 168	Train Acc: 0.6512	Train loss: 0.0079	Test Acc: 0.6097	Test loss: 0.0090
Epoch 169	Train Acc: 0.6637	Train loss: 0.0075	Test Acc: 0.6140	Test loss: 0.0089
Epoch 170	Train Acc: 0.6652	Train loss: 0.0074	Test Acc: 0.6126	Test loss: 0.0088
Epoch 171	Train Acc: 0.6543	Train loss: 0.0076	Test Acc: 0.6132	Test loss: 0.0088
Epoch 172	Train Acc: 0.6566	Train loss: 0.0074	Test Acc: 0.6126	Test loss: 0.0088
Epoch 173	Train Acc: 0.6660	Train loss: 0.0074	Test Acc: 0.6143	Test loss: 0.0087
Epoch 174	Train Acc: 0.6594	Train loss: 0.0077	Test Acc: 0.6212	Test loss: 0.0086
Epoch 175	Train Acc: 0.6617	Train loss: 0.0073	Test Acc: 0.6245	Test loss: 0.0086
Epoch 176	Train Acc: 0.6465	Train loss: 0.0079	Test Acc: 0.6245	Test loss: 0.0086
Epoch 177	Train Acc: 0.6523	Train loss: 0.0078	Test Acc: 0.6256	Test loss: 0.0086
Epoch 178	Train Acc: 0.6801	Train loss: 0.0072	Test Acc: 0.6281	Test loss: 0.0085
Epoch 179	Train Acc: 0.6537	Train loss: 0.0149	Test Acc: 0.6291	Test loss: 0.0085
Epoch 180	Train Acc: 0.6770	Train loss: 0.0074	Test Acc: 0.6264	Test loss: 0.0085
Epoch 181	Train Acc: 0.6453	Train loss: 0.0079	Test Acc: 0.6258	Test loss: 0.0086
Epoch 182	Train Acc: 0.6547	Train loss: 0.0077	Test Acc: 0.6237	Test loss: 0.0086
Epoch 183	Train Acc: 0.6621	Train loss: 0.0075	Test Acc: 0.6255	Test loss: 0.0086
Epoch 184	Train Acc: 0.6586	Train loss: 0.0078	Test Acc: 0.6248	Test loss: 0.0086
Epoch 185	Train Acc: 0.6598	Train loss: 0.0075	Test Acc: 0.6223	Test loss: 0.0087
Epoch 186	Train Acc: 0.6625	Train loss: 0.0075	Test Acc: 0.6218	Test loss: 0.0087
Epoch 187	Train Acc: 0.6676	Train loss: 0.0074	Test Acc: 0.6246	Test loss: 0.0087
Epoch 188	Train Acc: 0.6758	Train loss: 0.0076	Test Acc: 0.6262	Test loss: 0.0086
Epoch 189	Train Acc: 0.6645	Train loss: 0.0077	Test Acc: 0.6284	Test loss: 0.0085
Epoch 190	Train Acc: 0.6457	Train loss: 0.0076	Test Acc: 0.6324	Test loss: 0.0085
Epoch 191	Train Acc: 0.6711	Train loss: 0.0075	Test Acc: 0.6322	Test loss: 0.0084
Epoch 192	Train Acc: 0.6559	Train loss: 0.0077	Test Acc: 0.6307	Test loss: 0.0084
Epoch 193	Train Acc: 0.6523	Train loss: 0.0079	Test Acc: 0.6292	Test loss: 0.0084
Epoch 194	Train Acc: 0.6684	Train loss: 0.0074	Test Acc: 0.6298	Test loss: 0.0084
Epoch 195	Train Acc: 0.6672	Train loss: 0.0075	Test Acc: 0.6268	Test loss: 0.0085
Epoch 196	Train Acc: 0.6367	Train loss: 0.0077	Test Acc: 0.6286	Test loss: 0.0085
Epoch 197	Train Acc: 0.6625	Train loss: 0.0077	Test Acc: 0.6261	Test loss: 0.0085
Epoch 198	Train Acc: 0.6555	Train loss: 0.0077	Test Acc: 0.6247	Test loss: 0.0086
Epoch 199	Train Acc: 0.6441	Train loss: 0.0144	Test Acc: 0.6208	Test loss: 0.0087
