seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 2, attack: MinMax, defense: TrimmedMean, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinMax_TrimmedMean/200_20_2_0.05_2025-03-12_14-18-35.txt

Started on Wed Mar 12 14:18:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0941	Train loss: 0.0182	Test Acc: 0.1001	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1453	Train loss: 0.0177	Test Acc: 0.1005	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2145	Train loss: 0.0169	Test Acc: 0.1588	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2867	Train loss: 0.0162	Test Acc: 0.2400	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2988	Train loss: 0.0153	Test Acc: 0.2424	Test loss: 0.0174
Epoch 5  	Train Acc: 0.3223	Train loss: 0.0147	Test Acc: 0.3210	Test loss: 0.0170
Epoch 6  	Train Acc: 0.3727	Train loss: 0.0141	Test Acc: 0.2925	Test loss: 0.0166
Epoch 7  	Train Acc: 0.3633	Train loss: 0.0139	Test Acc: 0.2348	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3676	Train loss: 0.0135	Test Acc: 0.2750	Test loss: 0.0161
Epoch 9  	Train Acc: 0.4082	Train loss: 0.0131	Test Acc: 0.2616	Test loss: 0.0162
Epoch 10 	Train Acc: 0.4176	Train loss: 0.0129	Test Acc: 0.2565	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4332	Train loss: 0.0123	Test Acc: 0.2353	Test loss: 0.0165
Epoch 12 	Train Acc: 0.4473	Train loss: 0.0121	Test Acc: 0.2554	Test loss: 0.0166
Epoch 13 	Train Acc: 0.4309	Train loss: 0.0123	Test Acc: 0.2358	Test loss: 0.0174
Epoch 14 	Train Acc: 0.4180	Train loss: 0.0125	Test Acc: 0.2078	Test loss: 0.0166
Epoch 15 	Train Acc: 0.3969	Train loss: 0.0130	Test Acc: 0.2673	Test loss: 0.0169
Epoch 16 	Train Acc: 0.3930	Train loss: 0.0142	Test Acc: 0.2043	Test loss: 0.0184
Epoch 17 	Train Acc: 0.3156	Train loss: 0.0154	Test Acc: 0.2714	Test loss: 0.0151
Epoch 18 	Train Acc: 0.3609	Train loss: 0.0153	Test Acc: 0.2992	Test loss: 0.0152
Epoch 19 	Train Acc: 0.3743	Train loss: 0.0283	Test Acc: 0.3733	Test loss: 0.0138
Epoch 20 	Train Acc: 0.4180	Train loss: 0.0127	Test Acc: 0.4446	Test loss: 0.0133
Epoch 21 	Train Acc: 0.4500	Train loss: 0.0123	Test Acc: 0.4119	Test loss: 0.0136
Epoch 22 	Train Acc: 0.4250	Train loss: 0.0126	Test Acc: 0.3461	Test loss: 0.0140
Epoch 23 	Train Acc: 0.3852	Train loss: 0.0128	Test Acc: 0.3399	Test loss: 0.0142
Epoch 24 	Train Acc: 0.3902	Train loss: 0.0126	Test Acc: 0.3935	Test loss: 0.0134
Epoch 25 	Train Acc: 0.4449	Train loss: 0.0119	Test Acc: 0.4402	Test loss: 0.0123
