seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: Bucketing, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'bucket_size': 2, 'selected_aggregator': 'Krum'}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_Bucketing/200_20_4_0.05_2025-03-06_23-33-36.txt

Started on Thu Mar  6 23:33:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1167	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1539	Train loss: 0.0177	Test Acc: 0.1334	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2301	Train loss: 0.0169	Test Acc: 0.2008	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2961	Train loss: 0.0162	Test Acc: 0.2403	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3027	Train loss: 0.0156	Test Acc: 0.2789	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3277	Train loss: 0.0150	Test Acc: 0.3190	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3617	Train loss: 0.0143	Test Acc: 0.3361	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3566	Train loss: 0.0139	Test Acc: 0.3358	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3738	Train loss: 0.0137	Test Acc: 0.3349	Test loss: 0.0165
Epoch 9  	Train Acc: 0.3707	Train loss: 0.0135	Test Acc: 0.3057	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3793	Train loss: 0.0132	Test Acc: 0.2921	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3910	Train loss: 0.0130	Test Acc: 0.2542	Test loss: 0.0162
Epoch 12 	Train Acc: 0.4230	Train loss: 0.0127	Test Acc: 0.2386	Test loss: 0.0162
Epoch 13 	Train Acc: 0.4156	Train loss: 0.0127	Test Acc: 0.2189	Test loss: 0.0162
Epoch 14 	Train Acc: 0.4398	Train loss: 0.0123	Test Acc: 0.1989	Test loss: 0.0164
Epoch 15 	Train Acc: 0.4426	Train loss: 0.0119	Test Acc: 0.1996	Test loss: 0.0166
Epoch 16 	Train Acc: 0.4363	Train loss: 0.0120	Test Acc: 0.2069	Test loss: 0.0167
Epoch 17 	Train Acc: 0.4559	Train loss: 0.0117	Test Acc: 0.2611	Test loss: 0.0160
Epoch 18 	Train Acc: 0.4332	Train loss: 0.0120	Test Acc: 0.1567	Test loss: 0.0168
Epoch 19 	Train Acc: 0.4250	Train loss: 0.0227	Test Acc: 0.1915	Test loss: 0.0166
Epoch 20 	Train Acc: 0.4426	Train loss: 0.0118	Test Acc: 0.2481	Test loss: 0.0164
Epoch 21 	Train Acc: 0.4578	Train loss: 0.0114	Test Acc: 0.1818	Test loss: 0.0165
