seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: CenteredClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_CenteredClipping/200_20_4_0.05_2025-03-11_12-06-44.txt

Started on Tue Mar 11 12:06:44 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1176	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1543	Train loss: 0.0177	Test Acc: 0.1418	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2402	Train loss: 0.0169	Test Acc: 0.2021	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2988	Train loss: 0.0161	Test Acc: 0.2544	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3211	Train loss: 0.0154	Test Acc: 0.2848	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3273	Train loss: 0.0149	Test Acc: 0.3434	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3738	Train loss: 0.0141	Test Acc: 0.3215	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3559	Train loss: 0.0138	Test Acc: 0.3081	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3789	Train loss: 0.0136	Test Acc: 0.3025	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3738	Train loss: 0.0134	Test Acc: 0.2432	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3301	Train loss: 0.0139	Test Acc: 0.2458	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4012	Train loss: 0.0129	Test Acc: 0.2405	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3816	Train loss: 0.0133	Test Acc: 0.2119	Test loss: 0.0165
Epoch 13 	Train Acc: 0.3801	Train loss: 0.0131	Test Acc: 0.1950	Test loss: 0.0175
Epoch 14 	Train Acc: 0.3641	Train loss: 0.0134	Test Acc: 0.2328	Test loss: 0.0159
Epoch 15 	Train Acc: 0.3914	Train loss: 0.0127	Test Acc: 0.2327	Test loss: 0.0159
Epoch 16 	Train Acc: 0.4105	Train loss: 0.0129	Test Acc: 0.1940	Test loss: 0.0160
Epoch 17 	Train Acc: 0.4555	Train loss: 0.0114	Test Acc: 0.2533	Test loss: 0.0152
Epoch 18 	Train Acc: 0.4602	Train loss: 0.0115	Test Acc: 0.3008	Test loss: 0.0143
Epoch 19 	Train Acc: 0.4515	Train loss: 0.0212	Test Acc: 0.3466	Test loss: 0.0139
Epoch 20 	Train Acc: 0.4871	Train loss: 0.0109	Test Acc: 0.3722	Test loss: 0.0140
Epoch 21 	Train Acc: 0.4902	Train loss: 0.0110	Test Acc: 0.3770	Test loss: 0.0135
Epoch 22 	Train Acc: 0.4742	Train loss: 0.0112	Test Acc: 0.3573	Test loss: 0.0134
Epoch 23 	Train Acc: 0.4773	Train loss: 0.0111	Test Acc: 0.4108	Test loss: 0.0128
Epoch 24 	Train Acc: 0.4973	Train loss: 0.0107	Test Acc: 0.4373	Test loss: 0.0125
