seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinSum, defense: CenteredClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_CenteredClipping/200_20_6_0.05_2025-03-13_16-51-32.txt

Started on Thu Mar 13 16:51:32 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1402	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1703	Train loss: 0.0177	Test Acc: 0.1647	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1973	Train loss: 0.0171	Test Acc: 0.1928	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2512	Train loss: 0.0164	Test Acc: 0.2143	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3133	Train loss: 0.0156	Test Acc: 0.2619	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3328	Train loss: 0.0148	Test Acc: 0.2706	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3383	Train loss: 0.0144	Test Acc: 0.2638	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3371	Train loss: 0.0141	Test Acc: 0.2411	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3773	Train loss: 0.0137	Test Acc: 0.2411	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3883	Train loss: 0.0132	Test Acc: 0.2099	Test loss: 0.0168
Epoch 10 	Train Acc: 0.3957	Train loss: 0.0130	Test Acc: 0.1439	Test loss: 0.0172
Epoch 11 	Train Acc: 0.3820	Train loss: 0.0130	Test Acc: 0.2143	Test loss: 0.0170
Epoch 12 	Train Acc: 0.4301	Train loss: 0.0125	Test Acc: 0.2221	Test loss: 0.0170
Epoch 13 	Train Acc: 0.4141	Train loss: 0.0126	Test Acc: 0.1991	Test loss: 0.0172
Epoch 14 	Train Acc: 0.3980	Train loss: 0.0129	Test Acc: 0.2293	Test loss: 0.0157
Epoch 15 	Train Acc: 0.4199	Train loss: 0.0121	Test Acc: 0.3072	Test loss: 0.0149
Epoch 16 	Train Acc: 0.3570	Train loss: 0.0149	Test Acc: 0.2794	Test loss: 0.0172
Epoch 17 	Train Acc: 0.4070	Train loss: 0.0152	Test Acc: 0.2652	Test loss: 0.0169
Epoch 18 	Train Acc: 0.3961	Train loss: 0.0166	Test Acc: 0.2860	Test loss: 0.0155
Epoch 19 	Train Acc: 0.4397	Train loss: 0.0270	Test Acc: 0.3315	Test loss: 0.0143
Epoch 20 	Train Acc: 0.4379	Train loss: 0.0119	Test Acc: 0.4208	Test loss: 0.0137
Epoch 21 	Train Acc: 0.4594	Train loss: 0.0116	Test Acc: 0.4059	Test loss: 0.0138
Epoch 22 	Train Acc: 0.3785	Train loss: 0.0126	Test Acc: 0.4296	Test loss: 0.0137
Epoch 23 	Train Acc: 0.4301	Train loss: 0.0121	Test Acc: 0.4433	Test loss: 0.0136
Epoch 24 	Train Acc: 0.4789	Train loss: 0.0119	Test Acc: 0.3997	Test loss: 0.0135
Epoch 25 	Train Acc: 0.4441	Train loss: 0.0121	Test Acc: 0.3778	Test loss: 0.0134
Epoch 26 	Train Acc: 0.4562	Train loss: 0.0118	Test Acc: 0.4228	Test loss: 0.0124
Epoch 27 	Train Acc: 0.4516	Train loss: 0.0115	Test Acc: 0.4329	Test loss: 0.0120
Epoch 28 	Train Acc: 0.4477	Train loss: 0.0114	Test Acc: 0.4635	Test loss: 0.0117
Epoch 29 	Train Acc: 0.4766	Train loss: 0.0110	Test Acc: 0.4658	Test loss: 0.0116
Epoch 30 	Train Acc: 0.4977	Train loss: 0.0110	Test Acc: 0.4385	Test loss: 0.0117
Epoch 31 	Train Acc: 0.4820	Train loss: 0.0112	Test Acc: 0.4672	Test loss: 0.0113
Epoch 32 	Train Acc: 0.4992	Train loss: 0.0107	Test Acc: 0.5068	Test loss: 0.0109
Epoch 33 	Train Acc: 0.5137	Train loss: 0.0106	Test Acc: 0.5056	Test loss: 0.0108
Epoch 34 	Train Acc: 0.5152	Train loss: 0.0106	Test Acc: 0.4839	Test loss: 0.0111
Epoch 35 	Train Acc: 0.4961	Train loss: 0.0107	Test Acc: 0.4838	Test loss: 0.0112
Epoch 36 	Train Acc: 0.5293	Train loss: 0.0103	Test Acc: 0.5017	Test loss: 0.0110
Epoch 37 	Train Acc: 0.5109	Train loss: 0.0102	Test Acc: 0.4968	Test loss: 0.0110
Epoch 38 	Train Acc: 0.5227	Train loss: 0.0103	Test Acc: 0.4842	Test loss: 0.0111
Epoch 39 	Train Acc: 0.5169	Train loss: 0.0194	Test Acc: 0.4870	Test loss: 0.0111
Epoch 40 	Train Acc: 0.5434	Train loss: 0.0101	Test Acc: 0.5167	Test loss: 0.0107
Epoch 41 	Train Acc: 0.5441	Train loss: 0.0098	Test Acc: 0.5291	Test loss: 0.0104
Epoch 42 	Train Acc: 0.5242	Train loss: 0.0102	Test Acc: 0.5274	Test loss: 0.0104
Epoch 43 	Train Acc: 0.5547	Train loss: 0.0095	Test Acc: 0.5381	Test loss: 0.0102
Epoch 44 	Train Acc: 0.5578	Train loss: 0.0096	Test Acc: 0.5441	Test loss: 0.0102
Epoch 45 	Train Acc: 0.5391	Train loss: 0.0099	Test Acc: 0.5248	Test loss: 0.0104
Epoch 46 	Train Acc: 0.5453	Train loss: 0.0096	Test Acc: 0.5135	Test loss: 0.0104
Epoch 47 	Train Acc: 0.5742	Train loss: 0.0093	Test Acc: 0.5338	Test loss: 0.0102
Epoch 48 	Train Acc: 0.5543	Train loss: 0.0096	Test Acc: 0.5432	Test loss: 0.0101
Epoch 49 	Train Acc: 0.5766	Train loss: 0.0091	Test Acc: 0.5393	Test loss: 0.0101
Epoch 50 	Train Acc: 0.5555	Train loss: 0.0095	Test Acc: 0.5515	Test loss: 0.0099
Epoch 51 	Train Acc: 0.5805	Train loss: 0.0091	Test Acc: 0.5333	Test loss: 0.0102
Epoch 52 	Train Acc: 0.5773	Train loss: 0.0092	Test Acc: 0.5399	Test loss: 0.0101
Epoch 53 	Train Acc: 0.5840	Train loss: 0.0091	Test Acc: 0.5511	Test loss: 0.0100
Epoch 54 	Train Acc: 0.5852	Train loss: 0.0092	Test Acc: 0.5281	Test loss: 0.0102
Epoch 55 	Train Acc: 0.5801	Train loss: 0.0091	Test Acc: 0.5506	Test loss: 0.0100
Epoch 56 	Train Acc: 0.5816	Train loss: 0.0091	Test Acc: 0.5640	Test loss: 0.0097
Epoch 57 	Train Acc: 0.5930	Train loss: 0.0087	Test Acc: 0.5633	Test loss: 0.0097
Epoch 58 	Train Acc: 0.5887	Train loss: 0.0090	Test Acc: 0.5579	Test loss: 0.0098
Epoch 59 	Train Acc: 0.6074	Train loss: 0.0166	Test Acc: 0.5616	Test loss: 0.0097
Epoch 60 	Train Acc: 0.5910	Train loss: 0.0088	Test Acc: 0.5699	Test loss: 0.0095
Epoch 61 	Train Acc: 0.5992	Train loss: 0.0087	Test Acc: 0.5771	Test loss: 0.0094
Epoch 62 	Train Acc: 0.6047	Train loss: 0.0086	Test Acc: 0.5645	Test loss: 0.0096
Epoch 63 	Train Acc: 0.5961	Train loss: 0.0086	Test Acc: 0.5733	Test loss: 0.0095
Epoch 64 	Train Acc: 0.5832	Train loss: 0.0090	Test Acc: 0.5830	Test loss: 0.0093
Epoch 65 	Train Acc: 0.6023	Train loss: 0.0088	Test Acc: 0.5709	Test loss: 0.0094
Epoch 66 	Train Acc: 0.6086	Train loss: 0.0084	Test Acc: 0.5703	Test loss: 0.0095
Epoch 67 	Train Acc: 0.6164	Train loss: 0.0084	Test Acc: 0.5792	Test loss: 0.0094
Epoch 68 	Train Acc: 0.6312	Train loss: 0.0082	Test Acc: 0.5967	Test loss: 0.0091
Epoch 69 	Train Acc: 0.6051	Train loss: 0.0085	Test Acc: 0.5937	Test loss: 0.0091
Epoch 70 	Train Acc: 0.6160	Train loss: 0.0084	Test Acc: 0.5900	Test loss: 0.0092
Epoch 71 	Train Acc: 0.6449	Train loss: 0.0080	Test Acc: 0.5761	Test loss: 0.0095
Epoch 72 	Train Acc: 0.6402	Train loss: 0.0083	Test Acc: 0.5787	Test loss: 0.0095
Epoch 73 	Train Acc: 0.6336	Train loss: 0.0082	Test Acc: 0.5983	Test loss: 0.0090
Epoch 74 	Train Acc: 0.6492	Train loss: 0.0078	Test Acc: 0.6078	Test loss: 0.0087
