seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: Mean, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_Mean/200_20_4_0.05_2025-03-06_16-51-57.txt

Started on Thu Mar  6 16:51:57 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1176	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1543	Train loss: 0.0177	Test Acc: 0.1417	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2402	Train loss: 0.0169	Test Acc: 0.2020	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2988	Train loss: 0.0161	Test Acc: 0.2544	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3207	Train loss: 0.0154	Test Acc: 0.2849	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3273	Train loss: 0.0149	Test Acc: 0.3435	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3742	Train loss: 0.0141	Test Acc: 0.3216	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3555	Train loss: 0.0138	Test Acc: 0.3077	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3777	Train loss: 0.0136	Test Acc: 0.3024	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3734	Train loss: 0.0134	Test Acc: 0.2434	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3301	Train loss: 0.0139	Test Acc: 0.2461	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4020	Train loss: 0.0129	Test Acc: 0.2409	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3820	Train loss: 0.0133	Test Acc: 0.2122	Test loss: 0.0165
Epoch 13 	Train Acc: 0.3805	Train loss: 0.0131	Test Acc: 0.1952	Test loss: 0.0175
Epoch 14 	Train Acc: 0.3645	Train loss: 0.0134	Test Acc: 0.2324	Test loss: 0.0159
Epoch 15 	Train Acc: 0.3914	Train loss: 0.0127	Test Acc: 0.2326	Test loss: 0.0159
Epoch 16 	Train Acc: 0.4102	Train loss: 0.0128	Test Acc: 0.1947	Test loss: 0.0160
Epoch 17 	Train Acc: 0.4547	Train loss: 0.0114	Test Acc: 0.2545	Test loss: 0.0152
Epoch 18 	Train Acc: 0.4602	Train loss: 0.0115	Test Acc: 0.3014	Test loss: 0.0142
Epoch 19 	Train Acc: 0.4515	Train loss: 0.0212	Test Acc: 0.3481	Test loss: 0.0139
Epoch 20 	Train Acc: 0.4879	Train loss: 0.0109	Test Acc: 0.3740	Test loss: 0.0140
Epoch 21 	Train Acc: 0.4898	Train loss: 0.0110	Test Acc: 0.3775	Test loss: 0.0134
Epoch 22 	Train Acc: 0.4742	Train loss: 0.0112	Test Acc: 0.3585	Test loss: 0.0133
Epoch 23 	Train Acc: 0.4777	Train loss: 0.0111	Test Acc: 0.4119	Test loss: 0.0128
Epoch 24 	Train Acc: 0.4977	Train loss: 0.0107	Test Acc: 0.4391	Test loss: 0.0124
Epoch 25 	Train Acc: 0.5191	Train loss: 0.0107	Test Acc: 0.3878	Test loss: 0.0129
Epoch 26 	Train Acc: 0.4941	Train loss: 0.0109	Test Acc: 0.3952	Test loss: 0.0128
Epoch 27 	Train Acc: 0.5172	Train loss: 0.0103	Test Acc: 0.4184	Test loss: 0.0126
Epoch 28 	Train Acc: 0.5191	Train loss: 0.0102	Test Acc: 0.4146	Test loss: 0.0127
Epoch 29 	Train Acc: 0.5391	Train loss: 0.0102	Test Acc: 0.4443	Test loss: 0.0121
Epoch 30 	Train Acc: 0.5383	Train loss: 0.0099	Test Acc: 0.4290	Test loss: 0.0122
Epoch 31 	Train Acc: 0.5246	Train loss: 0.0100	Test Acc: 0.4272	Test loss: 0.0124
Epoch 32 	Train Acc: 0.5469	Train loss: 0.0100	Test Acc: 0.4732	Test loss: 0.0117
Epoch 33 	Train Acc: 0.5465	Train loss: 0.0099	Test Acc: 0.4479	Test loss: 0.0121
Epoch 34 	Train Acc: 0.5434	Train loss: 0.0098	Test Acc: 0.4691	Test loss: 0.0116
Epoch 35 	Train Acc: 0.5590	Train loss: 0.0096	Test Acc: 0.4711	Test loss: 0.0116
Epoch 36 	Train Acc: 0.5457	Train loss: 0.0098	Test Acc: 0.5052	Test loss: 0.0108
Epoch 37 	Train Acc: 0.5543	Train loss: 0.0098	Test Acc: 0.5110	Test loss: 0.0107
Epoch 38 	Train Acc: 0.5527	Train loss: 0.0096	Test Acc: 0.5133	Test loss: 0.0109
Epoch 39 	Train Acc: 0.5441	Train loss: 0.0188	Test Acc: 0.5121	Test loss: 0.0110
Epoch 40 	Train Acc: 0.5668	Train loss: 0.0096	Test Acc: 0.5308	Test loss: 0.0105
Epoch 41 	Train Acc: 0.5969	Train loss: 0.0088	Test Acc: 0.5291	Test loss: 0.0105
Epoch 42 	Train Acc: 0.5891	Train loss: 0.0089	Test Acc: 0.5024	Test loss: 0.0110
Epoch 43 	Train Acc: 0.5477	Train loss: 0.0097	Test Acc: 0.5310	Test loss: 0.0103
Epoch 44 	Train Acc: 0.5641	Train loss: 0.0094	Test Acc: 0.4985	Test loss: 0.0114
Epoch 45 	Train Acc: 0.5754	Train loss: 0.0094	Test Acc: 0.5251	Test loss: 0.0108
Epoch 46 	Train Acc: 0.5996	Train loss: 0.0088	Test Acc: 0.5312	Test loss: 0.0104
Epoch 47 	Train Acc: 0.5875	Train loss: 0.0091	Test Acc: 0.5192	Test loss: 0.0106
Epoch 48 	Train Acc: 0.5926	Train loss: 0.0087	Test Acc: 0.5238	Test loss: 0.0107
Epoch 49 	Train Acc: 0.6039	Train loss: 0.0087	Test Acc: 0.5644	Test loss: 0.0098
Epoch 50 	Train Acc: 0.5984	Train loss: 0.0089	Test Acc: 0.5761	Test loss: 0.0093
Epoch 51 	Train Acc: 0.6109	Train loss: 0.0086	Test Acc: 0.5776	Test loss: 0.0092
Epoch 52 	Train Acc: 0.6121	Train loss: 0.0084	Test Acc: 0.5769	Test loss: 0.0093
Epoch 53 	Train Acc: 0.6086	Train loss: 0.0085	Test Acc: 0.5912	Test loss: 0.0090
Epoch 54 	Train Acc: 0.6059	Train loss: 0.0087	Test Acc: 0.5846	Test loss: 0.0093
Epoch 55 	Train Acc: 0.6258	Train loss: 0.0083	Test Acc: 0.5693	Test loss: 0.0098
Epoch 56 	Train Acc: 0.6207	Train loss: 0.0082	Test Acc: 0.5564	Test loss: 0.0102
Epoch 57 	Train Acc: 0.6262	Train loss: 0.0081	Test Acc: 0.5830	Test loss: 0.0096
Epoch 58 	Train Acc: 0.6203	Train loss: 0.0084	Test Acc: 0.5601	Test loss: 0.0098
Epoch 59 	Train Acc: 0.6015	Train loss: 0.0167	Test Acc: 0.5878	Test loss: 0.0092
Epoch 60 	Train Acc: 0.6387	Train loss: 0.0081	Test Acc: 0.6022	Test loss: 0.0089
Epoch 61 	Train Acc: 0.6145	Train loss: 0.0084	Test Acc: 0.5747	Test loss: 0.0094
Epoch 62 	Train Acc: 0.6285	Train loss: 0.0083	Test Acc: 0.5965	Test loss: 0.0089
Epoch 63 	Train Acc: 0.6324	Train loss: 0.0079	Test Acc: 0.6065	Test loss: 0.0088
Epoch 64 	Train Acc: 0.6430	Train loss: 0.0077	Test Acc: 0.6088	Test loss: 0.0086
Epoch 65 	Train Acc: 0.6129	Train loss: 0.0084	Test Acc: 0.6031	Test loss: 0.0089
Epoch 66 	Train Acc: 0.6301	Train loss: 0.0080	Test Acc: 0.6044	Test loss: 0.0089
Epoch 67 	Train Acc: 0.6418	Train loss: 0.0078	Test Acc: 0.6213	Test loss: 0.0084
Epoch 68 	Train Acc: 0.6344	Train loss: 0.0080	Test Acc: 0.6106	Test loss: 0.0088
Epoch 69 	Train Acc: 0.6410	Train loss: 0.0080	Test Acc: 0.6143	Test loss: 0.0087
Epoch 70 	Train Acc: 0.6512	Train loss: 0.0077	Test Acc: 0.6262	Test loss: 0.0083
Epoch 71 	Train Acc: 0.6484	Train loss: 0.0078	Test Acc: 0.6314	Test loss: 0.0083
Epoch 72 	Train Acc: 0.6742	Train loss: 0.0075	Test Acc: 0.6220	Test loss: 0.0084
Epoch 73 	Train Acc: 0.6477	Train loss: 0.0077	Test Acc: 0.6273	Test loss: 0.0083
Epoch 74 	Train Acc: 0.6582	Train loss: 0.0075	Test Acc: 0.6029	Test loss: 0.0086
Epoch 75 	Train Acc: 0.6543	Train loss: 0.0076	Test Acc: 0.6166	Test loss: 0.0084
Epoch 76 	Train Acc: 0.6602	Train loss: 0.0074	Test Acc: 0.6063	Test loss: 0.0087
Epoch 77 	Train Acc: 0.6426	Train loss: 0.0077	Test Acc: 0.6229	Test loss: 0.0084
Epoch 78 	Train Acc: 0.6355	Train loss: 0.0077	Test Acc: 0.6417	Test loss: 0.0080
Epoch 79 	Train Acc: 0.6610	Train loss: 0.0140	Test Acc: 0.6588	Test loss: 0.0077
Epoch 80 	Train Acc: 0.6914	Train loss: 0.0068	Test Acc: 0.6477	Test loss: 0.0080
Epoch 81 	Train Acc: 0.6574	Train loss: 0.0076	Test Acc: 0.6549	Test loss: 0.0077
