seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: Median, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_Median/200_20_4_0.05_2025-03-06_16-51-57.txt

Started on Thu Mar  6 16:51:57 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1177	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1531	Train loss: 0.0177	Test Acc: 0.1408	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2375	Train loss: 0.0169	Test Acc: 0.1995	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2980	Train loss: 0.0162	Test Acc: 0.2586	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3191	Train loss: 0.0154	Test Acc: 0.2792	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3234	Train loss: 0.0150	Test Acc: 0.3418	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3691	Train loss: 0.0141	Test Acc: 0.3220	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3469	Train loss: 0.0139	Test Acc: 0.3090	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3793	Train loss: 0.0136	Test Acc: 0.2992	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3680	Train loss: 0.0135	Test Acc: 0.2472	Test loss: 0.0160
Epoch 10 	Train Acc: 0.3367	Train loss: 0.0137	Test Acc: 0.2512	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3934	Train loss: 0.0129	Test Acc: 0.2461	Test loss: 0.0160
Epoch 12 	Train Acc: 0.4047	Train loss: 0.0130	Test Acc: 0.2153	Test loss: 0.0163
Epoch 13 	Train Acc: 0.3957	Train loss: 0.0128	Test Acc: 0.1952	Test loss: 0.0172
Epoch 14 	Train Acc: 0.3879	Train loss: 0.0129	Test Acc: 0.2309	Test loss: 0.0160
Epoch 15 	Train Acc: 0.3930	Train loss: 0.0125	Test Acc: 0.2240	Test loss: 0.0162
Epoch 16 	Train Acc: 0.4059	Train loss: 0.0126	Test Acc: 0.2018	Test loss: 0.0163
Epoch 17 	Train Acc: 0.4363	Train loss: 0.0117	Test Acc: 0.2780	Test loss: 0.0147
Epoch 18 	Train Acc: 0.4605	Train loss: 0.0114	Test Acc: 0.3370	Test loss: 0.0138
Epoch 19 	Train Acc: 0.4985	Train loss: 0.0207	Test Acc: 0.3599	Test loss: 0.0141
Epoch 20 	Train Acc: 0.4887	Train loss: 0.0108	Test Acc: 0.3397	Test loss: 0.0142
Epoch 21 	Train Acc: 0.4883	Train loss: 0.0108	Test Acc: 0.3960	Test loss: 0.0130
Epoch 22 	Train Acc: 0.4902	Train loss: 0.0112	Test Acc: 0.4201	Test loss: 0.0125
Epoch 23 	Train Acc: 0.4996	Train loss: 0.0107	Test Acc: 0.3981	Test loss: 0.0129
Epoch 24 	Train Acc: 0.4992	Train loss: 0.0105	Test Acc: 0.4125	Test loss: 0.0128
Epoch 25 	Train Acc: 0.5117	Train loss: 0.0107	Test Acc: 0.4395	Test loss: 0.0124
Epoch 26 	Train Acc: 0.5207	Train loss: 0.0104	Test Acc: 0.4392	Test loss: 0.0124
Epoch 27 	Train Acc: 0.5223	Train loss: 0.0101	Test Acc: 0.4560	Test loss: 0.0120
Epoch 28 	Train Acc: 0.5316	Train loss: 0.0102	Test Acc: 0.4786	Test loss: 0.0116
Epoch 29 	Train Acc: 0.5551	Train loss: 0.0099	Test Acc: 0.5017	Test loss: 0.0111
Epoch 30 	Train Acc: 0.5391	Train loss: 0.0097	Test Acc: 0.4861	Test loss: 0.0112
Epoch 31 	Train Acc: 0.5484	Train loss: 0.0098	Test Acc: 0.5044	Test loss: 0.0110
Epoch 32 	Train Acc: 0.5617	Train loss: 0.0096	Test Acc: 0.5191	Test loss: 0.0107
Epoch 33 	Train Acc: 0.5621	Train loss: 0.0097	Test Acc: 0.5011	Test loss: 0.0111
