seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 8, attack: MinSum, defense: MyDefense, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_MyDefense/200_20_8_0.05_2025-03-12_12-59-40.txt

Started on Wed Mar 12 12:59:40 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0922	Train loss: 0.0184	Test Acc: 0.1310	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1355	Train loss: 0.0177	Test Acc: 0.1519	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1902	Train loss: 0.0173	Test Acc: 0.1810	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2395	Train loss: 0.0164	Test Acc: 0.2836	Test loss: 0.0179
Epoch 4  	Train Acc: 0.2824	Train loss: 0.0156	Test Acc: 0.2551	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3035	Train loss: 0.0151	Test Acc: 0.2834	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3492	Train loss: 0.0146	Test Acc: 0.3109	Test loss: 0.0169
Epoch 7  	Train Acc: 0.3648	Train loss: 0.0141	Test Acc: 0.2951	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3625	Train loss: 0.0137	Test Acc: 0.3229	Test loss: 0.0162
Epoch 9  	Train Acc: 0.3875	Train loss: 0.0135	Test Acc: 0.2484	Test loss: 0.0164
Epoch 10 	Train Acc: 0.3695	Train loss: 0.0134	Test Acc: 0.2071	Test loss: 0.0168
Epoch 11 	Train Acc: 0.3664	Train loss: 0.0134	Test Acc: 0.2503	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3711	Train loss: 0.0139	Test Acc: 0.2629	Test loss: 0.0166
Epoch 13 	Train Acc: 0.3824	Train loss: 0.0133	Test Acc: 0.2139	Test loss: 0.0177
Epoch 14 	Train Acc: 0.3789	Train loss: 0.0137	Test Acc: 0.1862	Test loss: 0.0166
Epoch 15 	Train Acc: 0.3805	Train loss: 0.0131	Test Acc: 0.2547	Test loss: 0.0157
Epoch 16 	Train Acc: 0.3883	Train loss: 0.0137	Test Acc: 0.2788	Test loss: 0.0153
Epoch 17 	Train Acc: 0.4289	Train loss: 0.0125	Test Acc: 0.2778	Test loss: 0.0151
Epoch 18 	Train Acc: 0.4039	Train loss: 0.0122	Test Acc: 0.3239	Test loss: 0.0143
Epoch 19 	Train Acc: 0.4213	Train loss: 0.0233	Test Acc: 0.3685	Test loss: 0.0138
Epoch 20 	Train Acc: 0.4160	Train loss: 0.0125	Test Acc: 0.4242	Test loss: 0.0131
Epoch 21 	Train Acc: 0.4629	Train loss: 0.0117	Test Acc: 0.4147	Test loss: 0.0130
Epoch 22 	Train Acc: 0.4410	Train loss: 0.0116	Test Acc: 0.4107	Test loss: 0.0125
