seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: NormClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_NormClipping/200_20_4_0.05_2025-03-06_23-33-36.txt

Started on Thu Mar  6 23:33:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1181	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1547	Train loss: 0.0177	Test Acc: 0.1401	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2391	Train loss: 0.0169	Test Acc: 0.2007	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2953	Train loss: 0.0161	Test Acc: 0.2575	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3187	Train loss: 0.0154	Test Acc: 0.2859	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3270	Train loss: 0.0149	Test Acc: 0.3402	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3656	Train loss: 0.0141	Test Acc: 0.3150	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3559	Train loss: 0.0139	Test Acc: 0.3063	Test loss: 0.0163
Epoch 8  	Train Acc: 0.3801	Train loss: 0.0136	Test Acc: 0.3017	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3809	Train loss: 0.0133	Test Acc: 0.2440	Test loss: 0.0161
Epoch 10 	Train Acc: 0.3289	Train loss: 0.0140	Test Acc: 0.2493	Test loss: 0.0163
Epoch 11 	Train Acc: 0.3930	Train loss: 0.0130	Test Acc: 0.2463	Test loss: 0.0160
Epoch 12 	Train Acc: 0.3738	Train loss: 0.0135	Test Acc: 0.2220	Test loss: 0.0165
Epoch 13 	Train Acc: 0.3652	Train loss: 0.0138	Test Acc: 0.1981	Test loss: 0.0179
Epoch 14 	Train Acc: 0.3359	Train loss: 0.0142	Test Acc: 0.2477	Test loss: 0.0158
Epoch 15 	Train Acc: 0.3969	Train loss: 0.0128	Test Acc: 0.2748	Test loss: 0.0153
Epoch 16 	Train Acc: 0.3949	Train loss: 0.0137	Test Acc: 0.2108	Test loss: 0.0154
Epoch 17 	Train Acc: 0.4316	Train loss: 0.0118	Test Acc: 0.2629	Test loss: 0.0149
Epoch 18 	Train Acc: 0.4707	Train loss: 0.0116	Test Acc: 0.2989	Test loss: 0.0143
Epoch 19 	Train Acc: 0.4287	Train loss: 0.0221	Test Acc: 0.3358	Test loss: 0.0136
Epoch 20 	Train Acc: 0.4199	Train loss: 0.0116	Test Acc: 0.3757	Test loss: 0.0133
Epoch 21 	Train Acc: 0.4539	Train loss: 0.0115	Test Acc: 0.4356	Test loss: 0.0128
Epoch 22 	Train Acc: 0.4773	Train loss: 0.0114	Test Acc: 0.4329	Test loss: 0.0125
Epoch 23 	Train Acc: 0.4742	Train loss: 0.0112	Test Acc: 0.4095	Test loss: 0.0124
Epoch 24 	Train Acc: 0.4680	Train loss: 0.0113	Test Acc: 0.4280	Test loss: 0.0120
Epoch 25 	Train Acc: 0.4824	Train loss: 0.0111	Test Acc: 0.4369	Test loss: 0.0122
Epoch 26 	Train Acc: 0.4980	Train loss: 0.0107	Test Acc: 0.3907	Test loss: 0.0127
Epoch 27 	Train Acc: 0.4934	Train loss: 0.0106	Test Acc: 0.4120	Test loss: 0.0124
Epoch 28 	Train Acc: 0.4902	Train loss: 0.0106	Test Acc: 0.4293	Test loss: 0.0123
Epoch 29 	Train Acc: 0.5223	Train loss: 0.0103	Test Acc: 0.4573	Test loss: 0.0119
Epoch 30 	Train Acc: 0.5293	Train loss: 0.0100	Test Acc: 0.4009	Test loss: 0.0125
Epoch 31 	Train Acc: 0.5059	Train loss: 0.0102	Test Acc: 0.4276	Test loss: 0.0121
Epoch 32 	Train Acc: 0.5234	Train loss: 0.0101	Test Acc: 0.4929	Test loss: 0.0112
Epoch 33 	Train Acc: 0.5332	Train loss: 0.0100	Test Acc: 0.4631	Test loss: 0.0116
Epoch 34 	Train Acc: 0.5246	Train loss: 0.0100	Test Acc: 0.4638	Test loss: 0.0114
Epoch 35 	Train Acc: 0.5266	Train loss: 0.0101	Test Acc: 0.4565	Test loss: 0.0117
Epoch 36 	Train Acc: 0.5160	Train loss: 0.0102	Test Acc: 0.5019	Test loss: 0.0108
Epoch 37 	Train Acc: 0.5527	Train loss: 0.0098	Test Acc: 0.5115	Test loss: 0.0105
Epoch 38 	Train Acc: 0.5449	Train loss: 0.0099	Test Acc: 0.5127	Test loss: 0.0106
Epoch 39 	Train Acc: 0.5434	Train loss: 0.0190	Test Acc: 0.4920	Test loss: 0.0110
Epoch 40 	Train Acc: 0.5227	Train loss: 0.0100	Test Acc: 0.5336	Test loss: 0.0102
Epoch 41 	Train Acc: 0.5785	Train loss: 0.0092	Test Acc: 0.5634	Test loss: 0.0098
Epoch 42 	Train Acc: 0.5734	Train loss: 0.0091	Test Acc: 0.5444	Test loss: 0.0099
Epoch 43 	Train Acc: 0.5441	Train loss: 0.0097	Test Acc: 0.5360	Test loss: 0.0101
Epoch 44 	Train Acc: 0.5578	Train loss: 0.0093	Test Acc: 0.5215	Test loss: 0.0106
Epoch 45 	Train Acc: 0.5719	Train loss: 0.0094	Test Acc: 0.5334	Test loss: 0.0102
Epoch 46 	Train Acc: 0.5695	Train loss: 0.0092	Test Acc: 0.5577	Test loss: 0.0099
Epoch 47 	Train Acc: 0.5906	Train loss: 0.0090	Test Acc: 0.5247	Test loss: 0.0105
Epoch 48 	Train Acc: 0.5730	Train loss: 0.0089	Test Acc: 0.5149	Test loss: 0.0108
Epoch 49 	Train Acc: 0.5887	Train loss: 0.0089	Test Acc: 0.5818	Test loss: 0.0093
Epoch 50 	Train Acc: 0.5906	Train loss: 0.0088	Test Acc: 0.5737	Test loss: 0.0093
Epoch 51 	Train Acc: 0.6004	Train loss: 0.0088	Test Acc: 0.5399	Test loss: 0.0102
Epoch 52 	Train Acc: 0.5793	Train loss: 0.0090	Test Acc: 0.5847	Test loss: 0.0091
Epoch 53 	Train Acc: 0.6023	Train loss: 0.0086	Test Acc: 0.5919	Test loss: 0.0090
Epoch 54 	Train Acc: 0.5852	Train loss: 0.0090	Test Acc: 0.5552	Test loss: 0.0097
Epoch 55 	Train Acc: 0.5969	Train loss: 0.0089	Test Acc: 0.5686	Test loss: 0.0096
Epoch 56 	Train Acc: 0.6113	Train loss: 0.0085	Test Acc: 0.5042	Test loss: 0.0113
Epoch 57 	Train Acc: 0.6090	Train loss: 0.0085	Test Acc: 0.5552	Test loss: 0.0099
Epoch 58 	Train Acc: 0.5984	Train loss: 0.0087	Test Acc: 0.6046	Test loss: 0.0087
Epoch 59 	Train Acc: 0.6118	Train loss: 0.0162	Test Acc: 0.5921	Test loss: 0.0089
Epoch 60 	Train Acc: 0.6172	Train loss: 0.0083	Test Acc: 0.6107	Test loss: 0.0086
Epoch 61 	Train Acc: 0.6121	Train loss: 0.0085	Test Acc: 0.6226	Test loss: 0.0084
Epoch 62 	Train Acc: 0.6391	Train loss: 0.0080	Test Acc: 0.6173	Test loss: 0.0084
Epoch 63 	Train Acc: 0.6340	Train loss: 0.0079	Test Acc: 0.6190	Test loss: 0.0084
Epoch 64 	Train Acc: 0.6480	Train loss: 0.0076	Test Acc: 0.6164	Test loss: 0.0086
Epoch 65 	Train Acc: 0.6227	Train loss: 0.0083	Test Acc: 0.6219	Test loss: 0.0084
Epoch 66 	Train Acc: 0.6461	Train loss: 0.0077	Test Acc: 0.6229	Test loss: 0.0084
Epoch 67 	Train Acc: 0.6539	Train loss: 0.0076	Test Acc: 0.6074	Test loss: 0.0087
Epoch 68 	Train Acc: 0.6367	Train loss: 0.0080	Test Acc: 0.6247	Test loss: 0.0085
Epoch 69 	Train Acc: 0.6547	Train loss: 0.0077	Test Acc: 0.5805	Test loss: 0.0096
Epoch 70 	Train Acc: 0.6340	Train loss: 0.0080	Test Acc: 0.5889	Test loss: 0.0091
Epoch 71 	Train Acc: 0.6102	Train loss: 0.0086	Test Acc: 0.6226	Test loss: 0.0083
Epoch 72 	Train Acc: 0.6637	Train loss: 0.0075	Test Acc: 0.5966	Test loss: 0.0088
Epoch 73 	Train Acc: 0.6031	Train loss: 0.0084	Test Acc: 0.6005	Test loss: 0.0092
Epoch 74 	Train Acc: 0.6367	Train loss: 0.0079	Test Acc: 0.5719	Test loss: 0.0098
Epoch 75 	Train Acc: 0.6414	Train loss: 0.0079	Test Acc: 0.5879	Test loss: 0.0091
Epoch 76 	Train Acc: 0.6301	Train loss: 0.0079	Test Acc: 0.5990	Test loss: 0.0090
Epoch 77 	Train Acc: 0.6324	Train loss: 0.0080	Test Acc: 0.5972	Test loss: 0.0089
Epoch 78 	Train Acc: 0.5934	Train loss: 0.0086	Test Acc: 0.6369	Test loss: 0.0079
Epoch 79 	Train Acc: 0.6581	Train loss: 0.0139	Test Acc: 0.6195	Test loss: 0.0085
Epoch 80 	Train Acc: 0.6730	Train loss: 0.0072	Test Acc: 0.5862	Test loss: 0.0093
Epoch 81 	Train Acc: 0.6230	Train loss: 0.0084	Test Acc: 0.6339	Test loss: 0.0082
Epoch 82 	Train Acc: 0.6566	Train loss: 0.0076	Test Acc: 0.6159	Test loss: 0.0085
Epoch 83 	Train Acc: 0.6535	Train loss: 0.0079	Test Acc: 0.6259	Test loss: 0.0084
Epoch 84 	Train Acc: 0.6637	Train loss: 0.0073	Test Acc: 0.5750	Test loss: 0.0097
Epoch 85 	Train Acc: 0.6219	Train loss: 0.0081	Test Acc: 0.5519	Test loss: 0.0105
Epoch 86 	Train Acc: 0.6570	Train loss: 0.0075	Test Acc: 0.5229	Test loss: 0.0112
Epoch 87 	Train Acc: 0.6637	Train loss: 0.0073	Test Acc: 0.5932	Test loss: 0.0092
Epoch 88 	Train Acc: 0.6473	Train loss: 0.0077	Test Acc: 0.6420	Test loss: 0.0081
Epoch 89 	Train Acc: 0.6660	Train loss: 0.0073	Test Acc: 0.6459	Test loss: 0.0078
Epoch 90 	Train Acc: 0.6707	Train loss: 0.0073	Test Acc: 0.6083	Test loss: 0.0086
Epoch 91 	Train Acc: 0.6480	Train loss: 0.0077	Test Acc: 0.6309	Test loss: 0.0080
Epoch 92 	Train Acc: 0.6543	Train loss: 0.0075	Test Acc: 0.6470	Test loss: 0.0078
Epoch 93 	Train Acc: 0.6602	Train loss: 0.0074	Test Acc: 0.6376	Test loss: 0.0081
Epoch 94 	Train Acc: 0.6523	Train loss: 0.0077	Test Acc: 0.6592	Test loss: 0.0078
Epoch 95 	Train Acc: 0.6820	Train loss: 0.0070	Test Acc: 0.6702	Test loss: 0.0074
Epoch 96 	Train Acc: 0.6953	Train loss: 0.0071	Test Acc: 0.6237	Test loss: 0.0083
Epoch 97 	Train Acc: 0.6430	Train loss: 0.0077	Test Acc: 0.6269	Test loss: 0.0083
Epoch 98 	Train Acc: 0.6824	Train loss: 0.0071	Test Acc: 0.6336	Test loss: 0.0082
Epoch 99 	Train Acc: 0.6721	Train loss: 0.0139	Test Acc: 0.6346	Test loss: 0.0080
Epoch 100	Train Acc: 0.7008	Train loss: 0.0068	Test Acc: 0.6465	Test loss: 0.0078
Epoch 101	Train Acc: 0.6813	Train loss: 0.0071	Test Acc: 0.6585	Test loss: 0.0076
Epoch 102	Train Acc: 0.7016	Train loss: 0.0064	Test Acc: 0.6639	Test loss: 0.0075
Epoch 103	Train Acc: 0.7121	Train loss: 0.0064	Test Acc: 0.6634	Test loss: 0.0075
Epoch 104	Train Acc: 0.7043	Train loss: 0.0065	Test Acc: 0.6193	Test loss: 0.0088
Epoch 105	Train Acc: 0.6871	Train loss: 0.0069	Test Acc: 0.6580	Test loss: 0.0077
Epoch 106	Train Acc: 0.6969	Train loss: 0.0065	Test Acc: 0.6626	Test loss: 0.0075
Epoch 107	Train Acc: 0.6746	Train loss: 0.0072	Test Acc: 0.6770	Test loss: 0.0072
Epoch 108	Train Acc: 0.7133	Train loss: 0.0064	Test Acc: 0.6836	Test loss: 0.0072
Epoch 109	Train Acc: 0.6930	Train loss: 0.0067	Test Acc: 0.6790	Test loss: 0.0073
Epoch 110	Train Acc: 0.7094	Train loss: 0.0066	Test Acc: 0.6797	Test loss: 0.0072
Epoch 111	Train Acc: 0.7059	Train loss: 0.0064	Test Acc: 0.6523	Test loss: 0.0078
Epoch 112	Train Acc: 0.6832	Train loss: 0.0071	Test Acc: 0.6700	Test loss: 0.0074
Epoch 113	Train Acc: 0.7094	Train loss: 0.0065	Test Acc: 0.6541	Test loss: 0.0079
Epoch 114	Train Acc: 0.6992	Train loss: 0.0066	Test Acc: 0.6700	Test loss: 0.0074
Epoch 115	Train Acc: 0.6867	Train loss: 0.0067	Test Acc: 0.6963	Test loss: 0.0068
Epoch 116	Train Acc: 0.7137	Train loss: 0.0064	Test Acc: 0.6295	Test loss: 0.0081
Epoch 117	Train Acc: 0.6715	Train loss: 0.0070	Test Acc: 0.6655	Test loss: 0.0075
Epoch 118	Train Acc: 0.6965	Train loss: 0.0067	Test Acc: 0.6897	Test loss: 0.0070
Epoch 119	Train Acc: 0.7257	Train loss: 0.0118	Test Acc: 0.6732	Test loss: 0.0073
Epoch 120	Train Acc: 0.7156	Train loss: 0.0063	Test Acc: 0.6850	Test loss: 0.0071
Epoch 121	Train Acc: 0.7168	Train loss: 0.0063	Test Acc: 0.6949	Test loss: 0.0069
Epoch 122	Train Acc: 0.7113	Train loss: 0.0065	Test Acc: 0.6891	Test loss: 0.0071
Epoch 123	Train Acc: 0.7375	Train loss: 0.0060	Test Acc: 0.6760	Test loss: 0.0074
Epoch 124	Train Acc: 0.7309	Train loss: 0.0060	Test Acc: 0.6829	Test loss: 0.0073
Epoch 125	Train Acc: 0.7117	Train loss: 0.0063	Test Acc: 0.6897	Test loss: 0.0071
Epoch 126	Train Acc: 0.7176	Train loss: 0.0063	Test Acc: 0.6935	Test loss: 0.0070
Epoch 127	Train Acc: 0.7223	Train loss: 0.0059	Test Acc: 0.6928	Test loss: 0.0070
Epoch 128	Train Acc: 0.7199	Train loss: 0.0061	Test Acc: 0.7022	Test loss: 0.0068
Epoch 129	Train Acc: 0.7293	Train loss: 0.0062	Test Acc: 0.7042	Test loss: 0.0067
Epoch 130	Train Acc: 0.7426	Train loss: 0.0058	Test Acc: 0.6966	Test loss: 0.0069
Epoch 131	Train Acc: 0.7191	Train loss: 0.0062	Test Acc: 0.6986	Test loss: 0.0068
Epoch 132	Train Acc: 0.7340	Train loss: 0.0058	Test Acc: 0.6811	Test loss: 0.0072
Epoch 133	Train Acc: 0.7250	Train loss: 0.0060	Test Acc: 0.7066	Test loss: 0.0066
Epoch 134	Train Acc: 0.7293	Train loss: 0.0060	Test Acc: 0.6963	Test loss: 0.0069
Epoch 135	Train Acc: 0.7355	Train loss: 0.0060	Test Acc: 0.6891	Test loss: 0.0071
Epoch 136	Train Acc: 0.7207	Train loss: 0.0061	Test Acc: 0.6946	Test loss: 0.0069
Epoch 137	Train Acc: 0.7344	Train loss: 0.0059	Test Acc: 0.7068	Test loss: 0.0066
Epoch 138	Train Acc: 0.7352	Train loss: 0.0059	Test Acc: 0.6921	Test loss: 0.0069
