seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinSum, defense: NormClipping, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_NormClipping/200_20_6_0.05_2025-03-13_16-51-32.txt

Started on Thu Mar 13 16:51:32 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1365	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1715	Train loss: 0.0177	Test Acc: 0.1627	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1973	Train loss: 0.0171	Test Acc: 0.1956	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2531	Train loss: 0.0164	Test Acc: 0.2161	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3094	Train loss: 0.0156	Test Acc: 0.2592	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3363	Train loss: 0.0148	Test Acc: 0.2632	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3391	Train loss: 0.0144	Test Acc: 0.2613	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3391	Train loss: 0.0141	Test Acc: 0.2358	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3730	Train loss: 0.0137	Test Acc: 0.2462	Test loss: 0.0167
Epoch 9  	Train Acc: 0.3867	Train loss: 0.0132	Test Acc: 0.2077	Test loss: 0.0168
Epoch 10 	Train Acc: 0.3949	Train loss: 0.0130	Test Acc: 0.1469	Test loss: 0.0173
Epoch 11 	Train Acc: 0.3836	Train loss: 0.0129	Test Acc: 0.2129	Test loss: 0.0170
Epoch 12 	Train Acc: 0.4297	Train loss: 0.0126	Test Acc: 0.2258	Test loss: 0.0169
Epoch 13 	Train Acc: 0.4141	Train loss: 0.0126	Test Acc: 0.2003	Test loss: 0.0174
Epoch 14 	Train Acc: 0.3680	Train loss: 0.0137	Test Acc: 0.2570	Test loss: 0.0155
Epoch 15 	Train Acc: 0.4016	Train loss: 0.0125	Test Acc: 0.3206	Test loss: 0.0149
Epoch 16 	Train Acc: 0.3461	Train loss: 0.0163	Test Acc: 0.2807	Test loss: 0.0173
Epoch 17 	Train Acc: 0.3664	Train loss: 0.0153	Test Acc: 0.2724	Test loss: 0.0166
Epoch 18 	Train Acc: 0.3641	Train loss: 0.0165	Test Acc: 0.3310	Test loss: 0.0149
Epoch 19 	Train Acc: 0.4140	Train loss: 0.0275	Test Acc: 0.3359	Test loss: 0.0144
Epoch 20 	Train Acc: 0.4305	Train loss: 0.0125	Test Acc: 0.3474	Test loss: 0.0145
Epoch 21 	Train Acc: 0.4082	Train loss: 0.0127	Test Acc: 0.3971	Test loss: 0.0146
Epoch 22 	Train Acc: 0.4313	Train loss: 0.0129	Test Acc: 0.4064	Test loss: 0.0142
