seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 2, attack: MinSum, defense: SignGuard, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_SignGuard/200_20_2_0.05_2025-03-12_14-18-35.txt

Started on Wed Mar 12 14:18:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0941	Train loss: 0.0182	Test Acc: 0.1002	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1500	Train loss: 0.0176	Test Acc: 0.1000	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1898	Train loss: 0.0170	Test Acc: 0.1550	Test loss: 0.0179
Epoch 3  	Train Acc: 0.2711	Train loss: 0.0162	Test Acc: 0.2221	Test loss: 0.0177
Epoch 4  	Train Acc: 0.2938	Train loss: 0.0154	Test Acc: 0.2476	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3391	Train loss: 0.0147	Test Acc: 0.3134	Test loss: 0.0171
Epoch 6  	Train Acc: 0.3660	Train loss: 0.0142	Test Acc: 0.3222	Test loss: 0.0167
Epoch 7  	Train Acc: 0.3543	Train loss: 0.0141	Test Acc: 0.2177	Test loss: 0.0165
Epoch 8  	Train Acc: 0.3465	Train loss: 0.0138	Test Acc: 0.2678	Test loss: 0.0161
Epoch 9  	Train Acc: 0.3953	Train loss: 0.0134	Test Acc: 0.2687	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3812	Train loss: 0.0132	Test Acc: 0.2518	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4098	Train loss: 0.0127	Test Acc: 0.2036	Test loss: 0.0166
Epoch 12 	Train Acc: 0.3652	Train loss: 0.0130	Test Acc: 0.2502	Test loss: 0.0163
Epoch 13 	Train Acc: 0.3840	Train loss: 0.0134	Test Acc: 0.2095	Test loss: 0.0165
Epoch 14 	Train Acc: 0.4148	Train loss: 0.0132	Test Acc: 0.2186	Test loss: 0.0164
Epoch 15 	Train Acc: 0.3848	Train loss: 0.0133	Test Acc: 0.2030	Test loss: 0.0165
Epoch 16 	Train Acc: 0.3758	Train loss: 0.0131	Test Acc: 0.2102	Test loss: 0.0166
Epoch 17 	Train Acc: 0.3758	Train loss: 0.0129	Test Acc: 0.3087	Test loss: 0.0147
Epoch 18 	Train Acc: 0.3504	Train loss: 0.0138	Test Acc: 0.2945	Test loss: 0.0149
Epoch 19 	Train Acc: 0.3904	Train loss: 0.0242	Test Acc: 0.2983	Test loss: 0.0149
Epoch 20 	Train Acc: 0.3898	Train loss: 0.0126	Test Acc: 0.3660	Test loss: 0.0136
Epoch 21 	Train Acc: 0.4121	Train loss: 0.0124	Test Acc: 0.4151	Test loss: 0.0132
Epoch 22 	Train Acc: 0.4207	Train loss: 0.0124	Test Acc: 0.4263	Test loss: 0.0131
