seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MinSum, defense: SignGuard, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_SignGuard/200_20_4_0.05_2025-03-06_23-33-36.txt

Started on Thu Mar  6 23:33:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0183	Test Acc: 0.1124	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1430	Train loss: 0.0178	Test Acc: 0.1485	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2387	Train loss: 0.0170	Test Acc: 0.2160	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2895	Train loss: 0.0162	Test Acc: 0.2540	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3094	Train loss: 0.0155	Test Acc: 0.2762	Test loss: 0.0175
Epoch 5  	Train Acc: 0.3113	Train loss: 0.0151	Test Acc: 0.3410	Test loss: 0.0172
Epoch 6  	Train Acc: 0.3480	Train loss: 0.0143	Test Acc: 0.3006	Test loss: 0.0168
Epoch 7  	Train Acc: 0.3254	Train loss: 0.0142	Test Acc: 0.2918	Test loss: 0.0164
Epoch 8  	Train Acc: 0.3559	Train loss: 0.0139	Test Acc: 0.3321	Test loss: 0.0160
Epoch 9  	Train Acc: 0.3750	Train loss: 0.0134	Test Acc: 0.2809	Test loss: 0.0159
Epoch 10 	Train Acc: 0.3727	Train loss: 0.0134	Test Acc: 0.2354	Test loss: 0.0160
Epoch 11 	Train Acc: 0.4105	Train loss: 0.0127	Test Acc: 0.2473	Test loss: 0.0163
Epoch 12 	Train Acc: 0.3746	Train loss: 0.0130	Test Acc: 0.2347	Test loss: 0.0160
Epoch 13 	Train Acc: 0.3867	Train loss: 0.0131	Test Acc: 0.2188	Test loss: 0.0160
Epoch 14 	Train Acc: 0.4004	Train loss: 0.0131	Test Acc: 0.2185	Test loss: 0.0166
Epoch 15 	Train Acc: 0.4191	Train loss: 0.0123	Test Acc: 0.2550	Test loss: 0.0167
Epoch 16 	Train Acc: 0.4176	Train loss: 0.0125	Test Acc: 0.2648	Test loss: 0.0156
Epoch 17 	Train Acc: 0.4484	Train loss: 0.0116	Test Acc: 0.2654	Test loss: 0.0150
Epoch 18 	Train Acc: 0.4285	Train loss: 0.0122	Test Acc: 0.2288	Test loss: 0.0156
Epoch 19 	Train Acc: 0.4596	Train loss: 0.0218	Test Acc: 0.3002	Test loss: 0.0154
Epoch 20 	Train Acc: 0.4570	Train loss: 0.0114	Test Acc: 0.3041	Test loss: 0.0152
Epoch 21 	Train Acc: 0.4543	Train loss: 0.0116	Test Acc: 0.3280	Test loss: 0.0140
Epoch 22 	Train Acc: 0.4582	Train loss: 0.0117	Test Acc: 0.3786	Test loss: 0.0134
Epoch 23 	Train Acc: 0.4957	Train loss: 0.0110	Test Acc: 0.3646	Test loss: 0.0131
