seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MinSum, defense: TrimmedMean, attack_params: {'gamma_init': 10, 'stop_threshold': 1e-05}, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MinSum_TrimmedMean/200_20_6_0.05_2025-03-12_13-37-36.txt

Started on Wed Mar 12 13:37:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1016	Train loss: 0.0184	Test Acc: 0.1399	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1723	Train loss: 0.0177	Test Acc: 0.1639	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1973	Train loss: 0.0171	Test Acc: 0.1934	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2504	Train loss: 0.0164	Test Acc: 0.2161	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3121	Train loss: 0.0156	Test Acc: 0.2631	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3344	Train loss: 0.0148	Test Acc: 0.2698	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3387	Train loss: 0.0144	Test Acc: 0.2560	Test loss: 0.0171
Epoch 7  	Train Acc: 0.3344	Train loss: 0.0142	Test Acc: 0.2423	Test loss: 0.0169
Epoch 8  	Train Acc: 0.3766	Train loss: 0.0137	Test Acc: 0.2402	Test loss: 0.0168
Epoch 9  	Train Acc: 0.3844	Train loss: 0.0133	Test Acc: 0.2195	Test loss: 0.0168
Epoch 10 	Train Acc: 0.3914	Train loss: 0.0130	Test Acc: 0.1439	Test loss: 0.0172
Epoch 11 	Train Acc: 0.3793	Train loss: 0.0130	Test Acc: 0.2084	Test loss: 0.0170
Epoch 12 	Train Acc: 0.4332	Train loss: 0.0124	Test Acc: 0.2201	Test loss: 0.0169
Epoch 13 	Train Acc: 0.4141	Train loss: 0.0127	Test Acc: 0.2084	Test loss: 0.0170
Epoch 14 	Train Acc: 0.4254	Train loss: 0.0124	Test Acc: 0.2163	Test loss: 0.0160
Epoch 15 	Train Acc: 0.4164	Train loss: 0.0123	Test Acc: 0.2706	Test loss: 0.0151
Epoch 16 	Train Acc: 0.4172	Train loss: 0.0126	Test Acc: 0.2986	Test loss: 0.0158
Epoch 17 	Train Acc: 0.3871	Train loss: 0.0130	Test Acc: 0.2673	Test loss: 0.0157
Epoch 18 	Train Acc: 0.4352	Train loss: 0.0123	Test Acc: 0.3049	Test loss: 0.0143
Epoch 19 	Train Acc: 0.4426	Train loss: 0.0229	Test Acc: 0.3123	Test loss: 0.0141
Epoch 20 	Train Acc: 0.4781	Train loss: 0.0113	Test Acc: 0.3498	Test loss: 0.0143
Epoch 21 	Train Acc: 0.4699	Train loss: 0.0114	Test Acc: 0.3785	Test loss: 0.0139
Epoch 22 	Train Acc: 0.4852	Train loss: 0.0110	Test Acc: 0.4023	Test loss: 0.0133
Epoch 23 	Train Acc: 0.4914	Train loss: 0.0110	Test Acc: 0.4027	Test loss: 0.0133
Epoch 24 	Train Acc: 0.4754	Train loss: 0.0110	Test Acc: 0.4136	Test loss: 0.0132
Epoch 25 	Train Acc: 0.4996	Train loss: 0.0109	Test Acc: 0.3743	Test loss: 0.0137
Epoch 26 	Train Acc: 0.4934	Train loss: 0.0113	Test Acc: 0.4376	Test loss: 0.0125
Epoch 27 	Train Acc: 0.5000	Train loss: 0.0111	Test Acc: 0.4934	Test loss: 0.0116
Epoch 28 	Train Acc: 0.5070	Train loss: 0.0107	Test Acc: 0.4769	Test loss: 0.0118
Epoch 29 	Train Acc: 0.5066	Train loss: 0.0105	Test Acc: 0.4538	Test loss: 0.0121
Epoch 30 	Train Acc: 0.5184	Train loss: 0.0106	Test Acc: 0.4701	Test loss: 0.0118
Epoch 31 	Train Acc: 0.5199	Train loss: 0.0105	Test Acc: 0.5134	Test loss: 0.0112
Epoch 32 	Train Acc: 0.5492	Train loss: 0.0101	Test Acc: 0.5258	Test loss: 0.0109
Epoch 33 	Train Acc: 0.5375	Train loss: 0.0102	Test Acc: 0.5253	Test loss: 0.0108
Epoch 34 	Train Acc: 0.5156	Train loss: 0.0104	Test Acc: 0.5277	Test loss: 0.0107
Epoch 35 	Train Acc: 0.5250	Train loss: 0.0103	Test Acc: 0.5207	Test loss: 0.0109
Epoch 36 	Train Acc: 0.5391	Train loss: 0.0101	Test Acc: 0.5025	Test loss: 0.0110
Epoch 37 	Train Acc: 0.5453	Train loss: 0.0100	Test Acc: 0.5084	Test loss: 0.0110
Epoch 38 	Train Acc: 0.5355	Train loss: 0.0100	Test Acc: 0.5235	Test loss: 0.0107
Epoch 39 	Train Acc: 0.5441	Train loss: 0.0190	Test Acc: 0.5187	Test loss: 0.0108
