seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: Bulyan, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_Bulyan/200_20_6_0.05_2025-03-10_21-22-37.txt

Started on Mon Mar 10 21:22:37 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0988	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1250	Train loss: 0.0179	Test Acc: 0.1253	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2055	Train loss: 0.0173	Test Acc: 0.1745	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2523	Train loss: 0.0164	Test Acc: 0.1912	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3012	Train loss: 0.0156	Test Acc: 0.2839	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3145	Train loss: 0.0152	Test Acc: 0.2296	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3191	Train loss: 0.0149	Test Acc: 0.2153	Test loss: 0.0171
Epoch 7  	Train Acc: 0.2879	Train loss: 0.0146	Test Acc: 0.2832	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3168	Train loss: 0.0153	Test Acc: 0.2706	Test loss: 0.0164
Epoch 9  	Train Acc: 0.2879	Train loss: 0.0155	Test Acc: 0.2650	Test loss: 0.0167
Epoch 10 	Train Acc: 0.3027	Train loss: 0.0157	Test Acc: 0.2083	Test loss: 0.0166
Epoch 11 	Train Acc: 0.3285	Train loss: 0.0138	Test Acc: 0.1975	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3160	Train loss: 0.0146	Test Acc: 0.2298	Test loss: 0.0158
Epoch 13 	Train Acc: 0.3926	Train loss: 0.0133	Test Acc: 0.2449	Test loss: 0.0157
Epoch 14 	Train Acc: 0.3520	Train loss: 0.0136	Test Acc: 0.2210	Test loss: 0.0157
Epoch 15 	Train Acc: 0.3312	Train loss: 0.0139	Test Acc: 0.2303	Test loss: 0.0156
Epoch 16 	Train Acc: 0.3871	Train loss: 0.0130	Test Acc: 0.2440	Test loss: 0.0152
Epoch 17 	Train Acc: 0.4375	Train loss: 0.0123	Test Acc: 0.3095	Test loss: 0.0142
Epoch 18 	Train Acc: 0.4008	Train loss: 0.0124	Test Acc: 0.3218	Test loss: 0.0140
Epoch 19 	Train Acc: 0.4037	Train loss: 0.0232	Test Acc: 0.3259	Test loss: 0.0138
Epoch 20 	Train Acc: 0.4074	Train loss: 0.0123	Test Acc: 0.3227	Test loss: 0.0141
Epoch 21 	Train Acc: 0.4230	Train loss: 0.0122	Test Acc: 0.3324	Test loss: 0.0142
Epoch 22 	Train Acc: 0.4090	Train loss: 0.0124	Test Acc: 0.3769	Test loss: 0.0129
Epoch 23 	Train Acc: 0.4543	Train loss: 0.0116	Test Acc: 0.4086	Test loss: 0.0125
Epoch 24 	Train Acc: 0.4543	Train loss: 0.0120	Test Acc: 0.3837	Test loss: 0.0139
Epoch 25 	Train Acc: 0.4543	Train loss: 0.0119	Test Acc: 0.3349	Test loss: 0.0152
Epoch 26 	Train Acc: 0.4562	Train loss: 0.0113	Test Acc: 0.2909	Test loss: 0.0165
Epoch 27 	Train Acc: 0.4055	Train loss: 0.0124	Test Acc: 0.3889	Test loss: 0.0129
Epoch 28 	Train Acc: 0.4699	Train loss: 0.0113	Test Acc: 0.3245	Test loss: 0.0147
Epoch 29 	Train Acc: 0.4410	Train loss: 0.0120	Test Acc: 0.3209	Test loss: 0.0153
Epoch 30 	Train Acc: 0.4254	Train loss: 0.0122	Test Acc: 0.4136	Test loss: 0.0129
Epoch 31 	Train Acc: 0.4398	Train loss: 0.0121	Test Acc: 0.4238	Test loss: 0.0124
Epoch 32 	Train Acc: 0.4266	Train loss: 0.0121	Test Acc: 0.4221	Test loss: 0.0123
Epoch 33 	Train Acc: 0.4520	Train loss: 0.0114	Test Acc: 0.4058	Test loss: 0.0132
Epoch 34 	Train Acc: 0.4270	Train loss: 0.0119	Test Acc: 0.4415	Test loss: 0.0125
Epoch 35 	Train Acc: 0.4375	Train loss: 0.0118	Test Acc: 0.4245	Test loss: 0.0132
Epoch 36 	Train Acc: 0.4562	Train loss: 0.0114	Test Acc: 0.4067	Test loss: 0.0140
Epoch 37 	Train Acc: 0.4535	Train loss: 0.0119	Test Acc: 0.4004	Test loss: 0.0140
Epoch 38 	Train Acc: 0.4480	Train loss: 0.0119	Test Acc: 0.4397	Test loss: 0.0127
Epoch 39 	Train Acc: 0.4316	Train loss: 0.0234	Test Acc: 0.4656	Test loss: 0.0115
Epoch 40 	Train Acc: 0.4641	Train loss: 0.0114	Test Acc: 0.3854	Test loss: 0.0145
Epoch 41 	Train Acc: 0.4656	Train loss: 0.0116	Test Acc: 0.3881	Test loss: 0.0142
Epoch 42 	Train Acc: 0.4777	Train loss: 0.0115	Test Acc: 0.4177	Test loss: 0.0131
Epoch 43 	Train Acc: 0.4723	Train loss: 0.0110	Test Acc: 0.4677	Test loss: 0.0117
Epoch 44 	Train Acc: 0.4625	Train loss: 0.0113	Test Acc: 0.4604	Test loss: 0.0117
Epoch 45 	Train Acc: 0.4555	Train loss: 0.0114	Test Acc: 0.4358	Test loss: 0.0125
Epoch 46 	Train Acc: 0.4531	Train loss: 0.0116	Test Acc: 0.4276	Test loss: 0.0125
