seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 10, attack: MyAttack, defense: CenteredClipping, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_CenteredClipping/200_20_10_0.05_2025-03-13_15-53-53.txt

Started on Thu Mar 13 15:53:53 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0986	Test loss: 0.0346
Epoch 1  	Train Acc: 0.1031	Train loss: 0.0349	Test Acc: 0.1150	Test loss: 0.9270
Epoch 2  	Train Acc: 0.1137	Train loss: 0.1323	Test Acc: 0.0839	Test loss: 6.2992
Epoch 3  	Train Acc: 0.1020	Train loss: 0.3708	Test Acc: 0.1051	Test loss: 32.0979
Epoch 4  	Train Acc: 0.1215	Train loss: 0.9985	Test Acc: 0.1323	Test loss: 63.9716
Epoch 5  	Train Acc: 0.1168	Train loss: 1.7123	Test Acc: 0.1000	Test loss: nan
Epoch 6  	Train Acc: 0.1789	Train loss: 2.1185	Test Acc: 0.1000	Test loss: nan
Epoch 7  	Train Acc: 0.1520	Train loss: 2.3892	Test Acc: 0.1000	Test loss: nan
Epoch 8  	Train Acc: 0.1437	Train loss: 1.6874	Test Acc: 0.1000	Test loss: nan
Epoch 9  	Train Acc: 0.1078	Train loss: 1.5237	Test Acc: 0.1000	Test loss: nan
Epoch 10 	Train Acc: 0.1133	Train loss: 1.1126	Test Acc: 0.1000	Test loss: nan
Epoch 11 	Train Acc: 0.1273	Train loss: 1.0419	Test Acc: 0.1000	Test loss: nan
Epoch 12 	Train Acc: 0.1297	Train loss: 1.2000	Test Acc: 0.1000	Test loss: nan
Epoch 13 	Train Acc: 0.1301	Train loss: 1.5602	Test Acc: 0.1000	Test loss: nan
Epoch 14 	Train Acc: 0.1359	Train loss: 1.9809	Test Acc: 0.0608	Test loss: 582.8329
Epoch 15 	Train Acc: 0.1273	Train loss: 2.2398	Test Acc: 0.0626	Test loss: 741.1579
Epoch 16 	Train Acc: 0.1176	Train loss: 2.4275	Test Acc: 0.0715	Test loss: 967.4294
Epoch 17 	Train Acc: 0.1195	Train loss: 2.4893	Test Acc: 0.0834	Test loss: 1258.3749
Epoch 18 	Train Acc: 0.1129	Train loss: 2.8580	Test Acc: 0.0896	Test loss: 1609.7418
Epoch 19 	Train Acc: 0.1066	Train loss: 5.9888	Test Acc: 0.0929	Test loss: 2025.6759
Epoch 20 	Train Acc: 0.1105	Train loss: 3.6452	Test Acc: 0.0947	Test loss: 2519.6227
Epoch 21 	Train Acc: 0.1074	Train loss: 4.2779	Test Acc: 0.0951	Test loss: 3086.8161
Epoch 22 	Train Acc: 0.1070	Train loss: 4.6447	Test Acc: 0.0956	Test loss: 3736.6180
Epoch 23 	Train Acc: 0.1078	Train loss: 5.1667	Test Acc: 0.0965	Test loss: 4470.3802
Epoch 24 	Train Acc: 0.1242	Train loss: 5.7004	Test Acc: 0.0949	Test loss: 5276.5579
Epoch 25 	Train Acc: 0.1297	Train loss: 6.1270	Test Acc: 0.0932	Test loss: 6178.6560
Epoch 26 	Train Acc: 0.1320	Train loss: 6.7172	Test Acc: 0.0920	Test loss: 7194.6191
Epoch 27 	Train Acc: 0.1449	Train loss: 7.2591	Test Acc: 0.0911	Test loss: 8338.1620
Epoch 28 	Train Acc: 0.1660	Train loss: 7.5484	Test Acc: 0.0916	Test loss: 9591.7920
Epoch 29 	Train Acc: 0.1504	Train loss: 8.2931	Test Acc: 0.0930	Test loss: 10973.5401
Epoch 30 	Train Acc: 0.1629	Train loss: 8.8903	Test Acc: 0.0934	Test loss: 12524.1785
Epoch 31 	Train Acc: 0.1492	Train loss: 9.5207	Test Acc: 0.0970	Test loss: 14275.8585
Epoch 32 	Train Acc: 0.1723	Train loss: 9.7629	Test Acc: 0.0987	Test loss: 16250.2220
Epoch 33 	Train Acc: 0.1590	Train loss: 10.4104	Test Acc: 0.1004	Test loss: 18460.7522
Epoch 34 	Train Acc: 0.1672	Train loss: 10.8959	Test Acc: 0.1026	Test loss: 20869.4574
Epoch 35 	Train Acc: 0.1605	Train loss: 11.3783	Test Acc: 0.1057	Test loss: 23546.7116
Epoch 36 	Train Acc: 0.1598	Train loss: 12.1711	Test Acc: 0.1063	Test loss: 26515.6445
Epoch 37 	Train Acc: 0.1719	Train loss: 12.9186	Test Acc: 0.1095	Test loss: 29788.0019
Epoch 38 	Train Acc: 0.1695	Train loss: 13.5187	Test Acc: 0.1098	Test loss: 33361.0802
Epoch 39 	Train Acc: 0.1816	Train loss: 26.0647	Test Acc: 0.1113	Test loss: 37285.3812
Epoch 40 	Train Acc: 0.1730	Train loss: 14.7376	Test Acc: 0.1107	Test loss: 41571.9746
Epoch 41 	Train Acc: 0.1578	Train loss: 15.0811	Test Acc: 0.1115	Test loss: 46244.8366
Epoch 42 	Train Acc: 0.1559	Train loss: 16.0252	Test Acc: 0.1116	Test loss: 51330.2375
Epoch 43 	Train Acc: 0.1531	Train loss: 16.3011	Test Acc: 0.1114	Test loss: 56849.9667
Epoch 44 	Train Acc: 0.1727	Train loss: 16.8859	Test Acc: 0.1129	Test loss: 62826.2381
Epoch 45 	Train Acc: 0.1750	Train loss: 17.3362	Test Acc: 0.1125	Test loss: 69285.7763
Epoch 46 	Train Acc: 0.1629	Train loss: 17.9443	Test Acc: 0.1128	Test loss: 76253.4049
Epoch 47 	Train Acc: 0.1602	Train loss: 19.1685	Test Acc: 0.1125	Test loss: 83756.8573
Epoch 48 	Train Acc: 0.1570	Train loss: 20.0133	Test Acc: 0.1123	Test loss: 91735.8360
Epoch 49 	Train Acc: 0.1680	Train loss: 20.0726	Test Acc: 0.1115	Test loss: 100227.5844
Epoch 50 	Train Acc: 0.1613	Train loss: 21.7119	Test Acc: 0.1112	Test loss: 109349.3815
Epoch 51 	Train Acc: 0.1664	Train loss: 21.0004	Test Acc: 0.1114	Test loss: 119136.1444
Epoch 52 	Train Acc: 0.1539	Train loss: 21.7117	Test Acc: 0.1110	Test loss: 129607.4582
Epoch 53 	Train Acc: 0.1465	Train loss: 22.9098	Test Acc: 0.1120	Test loss: 140843.0488
Epoch 54 	Train Acc: 0.1484	Train loss: 23.2272	Test Acc: 0.1125	Test loss: 152832.3071
Epoch 55 	Train Acc: 0.1484	Train loss: 24.0270	Test Acc: 0.1116	Test loss: 165610.4166
Epoch 56 	Train Acc: 0.1437	Train loss: 23.6936	Test Acc: 0.1121	Test loss: 179215.2338
Epoch 57 	Train Acc: 0.1586	Train loss: 23.6993	Test Acc: 0.1108	Test loss: 193686.1768
Epoch 58 	Train Acc: 0.1477	Train loss: 24.1743	Test Acc: 0.1099	Test loss: 209058.1378
Epoch 59 	Train Acc: 0.1507	Train loss: 47.7454	Test Acc: 0.1103	Test loss: 225353.2936
Epoch 60 	Train Acc: 0.1543	Train loss: 26.8917	Test Acc: 0.1095	Test loss: 242648.9660
Epoch 61 	Train Acc: 0.1496	Train loss: 27.7169	Test Acc: 0.1089	Test loss: 260977.8344
Epoch 62 	Train Acc: 0.1559	Train loss: 26.2967	Test Acc: 0.1085	Test loss: 280400.9306
Epoch 63 	Train Acc: 0.1516	Train loss: 27.9803	Test Acc: 0.1089	Test loss: 300967.1558
Epoch 64 	Train Acc: 0.1535	Train loss: 28.0324	Test Acc: 0.1088	Test loss: 322730.3018
Epoch 65 	Train Acc: 0.1539	Train loss: 30.0615	Test Acc: 0.1099	Test loss: 345739.4996
Epoch 66 	Train Acc: 0.1523	Train loss: 29.0080	Test Acc: 0.1104	Test loss: 370047.8848
Epoch 67 	Train Acc: 0.1437	Train loss: 29.9575	Test Acc: 0.1101	Test loss: 395705.8276
