seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: Krum, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_Krum/200_20_6_0.05_2025-03-10_15-42-34.txt

Started on Mon Mar 10 15:42:34 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1039	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1195	Train loss: 0.0179	Test Acc: 0.1288	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1883	Train loss: 0.0174	Test Acc: 0.1715	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2430	Train loss: 0.0165	Test Acc: 0.1865	Test loss: 0.0178
Epoch 4  	Train Acc: 0.2445	Train loss: 0.0159	Test Acc: 0.2410	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2805	Train loss: 0.0154	Test Acc: 0.2213	Test loss: 0.0174
Epoch 6  	Train Acc: 0.2949	Train loss: 0.0149	Test Acc: 0.1886	Test loss: 0.0171
Epoch 7  	Train Acc: 0.2617	Train loss: 0.0151	Test Acc: 0.2880	Test loss: 0.0168
Epoch 8  	Train Acc: 0.2742	Train loss: 0.0150	Test Acc: 0.2427	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3195	Train loss: 0.0153	Test Acc: 0.2515	Test loss: 0.0165
Epoch 10 	Train Acc: 0.3285	Train loss: 0.0147	Test Acc: 0.2052	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3281	Train loss: 0.0143	Test Acc: 0.2665	Test loss: 0.0157
Epoch 12 	Train Acc: 0.2781	Train loss: 0.0154	Test Acc: 0.2425	Test loss: 0.0162
Epoch 13 	Train Acc: 0.2832	Train loss: 0.0155	Test Acc: 0.2807	Test loss: 0.0159
Epoch 14 	Train Acc: 0.2930	Train loss: 0.0147	Test Acc: 0.2148	Test loss: 0.0160
Epoch 15 	Train Acc: 0.3152	Train loss: 0.0141	Test Acc: 0.1960	Test loss: 0.0161
Epoch 16 	Train Acc: 0.2914	Train loss: 0.0148	Test Acc: 0.3230	Test loss: 0.0148
Epoch 17 	Train Acc: 0.3254	Train loss: 0.0140	Test Acc: 0.3278	Test loss: 0.0143
Epoch 18 	Train Acc: 0.3309	Train loss: 0.0138	Test Acc: 0.3305	Test loss: 0.0141
Epoch 19 	Train Acc: 0.3507	Train loss: 0.0254	Test Acc: 0.3626	Test loss: 0.0140
Epoch 20 	Train Acc: 0.3773	Train loss: 0.0135	Test Acc: 0.3452	Test loss: 0.0138
Epoch 21 	Train Acc: 0.3359	Train loss: 0.0139	Test Acc: 0.3573	Test loss: 0.0136
Epoch 22 	Train Acc: 0.3852	Train loss: 0.0132	Test Acc: 0.3156	Test loss: 0.0143
Epoch 23 	Train Acc: 0.3301	Train loss: 0.0141	Test Acc: 0.3383	Test loss: 0.0143
Epoch 24 	Train Acc: 0.3500	Train loss: 0.0138	Test Acc: 0.3192	Test loss: 0.0152
Epoch 25 	Train Acc: 0.3832	Train loss: 0.0130	Test Acc: 0.2921	Test loss: 0.0160
Epoch 26 	Train Acc: 0.3965	Train loss: 0.0128	Test Acc: 0.3376	Test loss: 0.0147
Epoch 27 	Train Acc: 0.3977	Train loss: 0.0131	Test Acc: 0.3893	Test loss: 0.0133
Epoch 28 	Train Acc: 0.4230	Train loss: 0.0126	Test Acc: 0.3781	Test loss: 0.0140
Epoch 29 	Train Acc: 0.3945	Train loss: 0.0128	Test Acc: 0.3750	Test loss: 0.0140
Epoch 30 	Train Acc: 0.4066	Train loss: 0.0127	Test Acc: 0.4008	Test loss: 0.0131
Epoch 31 	Train Acc: 0.4102	Train loss: 0.0125	Test Acc: 0.3899	Test loss: 0.0130
Epoch 32 	Train Acc: 0.4105	Train loss: 0.0124	Test Acc: 0.3736	Test loss: 0.0137
