seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: Mean, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_Mean/200_20_6_0.05_2025-03-10_15-42-35.txt

Started on Mon Mar 10 15:42:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0951	Test loss: 43.5648
Epoch 1  	Train Acc: 0.1074	Train loss: 0.6261	Test Acc: 0.1000	Test loss: nan
Epoch 2  	Train Acc: 0.1313	Train loss: 2.9297	Test Acc: 0.1000	Test loss: nan
Epoch 3  	Train Acc: 0.1082	Train loss: 8.0727	Test Acc: 0.1000	Test loss: nan
Epoch 4  	Train Acc: 0.1441	Train loss: 17.1821	Test Acc: 0.1177	Test loss: 1110.5281
Epoch 5  	Train Acc: 0.0992	Train loss: 17.5874	Test Acc: 0.0677	Test loss: 2065.5231
Epoch 6  	Train Acc: 0.0945	Train loss: 32.9938	Test Acc: 0.0928	Test loss: 3166.7836
Epoch 7  	Train Acc: 0.1445	Train loss: 20.4314	Test Acc: 0.1033	Test loss: 2747.3479
Epoch 8  	Train Acc: 0.1223	Train loss: 19.8968	Test Acc: 0.1130	Test loss: 1522.8514
Epoch 9  	Train Acc: 0.1020	Train loss: 26.4826	Test Acc: 0.1305	Test loss: 1248.3579
Epoch 10 	Train Acc: 0.1082	Train loss: 18.1971	Test Acc: 0.1168	Test loss: 611.4162
Epoch 11 	Train Acc: 0.1020	Train loss: 12.7635	Test Acc: 0.0844	Test loss: 843.5760
Epoch 12 	Train Acc: 0.1172	Train loss: 11.6490	Test Acc: 0.0903	Test loss: 305.4434
Epoch 13 	Train Acc: 0.1062	Train loss: 14.7912	Test Acc: 0.0901	Test loss: 101.0647
Epoch 14 	Train Acc: 0.1480	Train loss: 4.7038	Test Acc: 0.0879	Test loss: 69.8030
Epoch 15 	Train Acc: 0.1031	Train loss: 2.8021	Test Acc: 0.0865	Test loss: 50.4306
Epoch 16 	Train Acc: 0.0996	Train loss: 1.7937	Test Acc: 0.0916	Test loss: 37.0369
Epoch 17 	Train Acc: 0.1148	Train loss: 0.2751	Test Acc: 0.0963	Test loss: 27.1004
Epoch 18 	Train Acc: 0.1043	Train loss: 0.1001	Test Acc: 0.0975	Test loss: 18.4327
Epoch 19 	Train Acc: 0.0956	Train loss: 0.0924	Test Acc: 0.0880	Test loss: 13.3080
Epoch 20 	Train Acc: 0.1000	Train loss: 0.0362	Test Acc: 0.0864	Test loss: 10.3490
Epoch 21 	Train Acc: 0.0914	Train loss: 0.0307	Test Acc: 0.0862	Test loss: 8.3116
Epoch 22 	Train Acc: 0.1129	Train loss: 0.0288	Test Acc: 0.0872	Test loss: 6.7184
Epoch 23 	Train Acc: 0.1090	Train loss: 0.0285	Test Acc: 0.0880	Test loss: 5.4330
Epoch 24 	Train Acc: 0.0926	Train loss: 0.0287	Test Acc: 0.0897	Test loss: 4.3635
Epoch 25 	Train Acc: 0.0984	Train loss: 0.0281	Test Acc: 0.0907	Test loss: 3.5544
Epoch 26 	Train Acc: 0.0992	Train loss: 0.0277	Test Acc: 0.0928	Test loss: 2.8916
Epoch 27 	Train Acc: 0.0941	Train loss: 0.0273	Test Acc: 0.0929	Test loss: 2.3130
Epoch 28 	Train Acc: 0.0879	Train loss: 0.0271	Test Acc: 0.0933	Test loss: 1.8141
Epoch 29 	Train Acc: 0.0957	Train loss: 0.0264	Test Acc: 0.0947	Test loss: 1.3997
Epoch 30 	Train Acc: 0.1039	Train loss: 0.0261	Test Acc: 0.0960	Test loss: 1.0635
Epoch 31 	Train Acc: 0.1062	Train loss: 0.0254	Test Acc: 0.0961	Test loss: 0.7869
Epoch 32 	Train Acc: 0.1094	Train loss: 0.0246	Test Acc: 0.0967	Test loss: 0.5734
Epoch 33 	Train Acc: 0.1121	Train loss: 0.0248	Test Acc: 0.0975	Test loss: 0.4084
Epoch 34 	Train Acc: 0.1086	Train loss: 0.0243	Test Acc: 0.0980	Test loss: 0.2902
Epoch 35 	Train Acc: 0.1008	Train loss: 0.0241	Test Acc: 0.0985	Test loss: 0.1977
Epoch 36 	Train Acc: 0.0887	Train loss: 0.0237	Test Acc: 0.0995	Test loss: 0.1286
Epoch 37 	Train Acc: 0.1012	Train loss: 0.0235	Test Acc: 0.1000	Test loss: 0.0809
Epoch 38 	Train Acc: 0.0992	Train loss: 0.0232	Test Acc: 0.1000	Test loss: 0.0540
Epoch 39 	Train Acc: 0.1000	Train loss: 0.0430	Test Acc: 0.1000	Test loss: 0.0416
Epoch 40 	Train Acc: 0.1004	Train loss: 0.0223	Test Acc: 0.1000	Test loss: 0.0333
Epoch 41 	Train Acc: 0.1055	Train loss: 0.0220	Test Acc: 0.1000	Test loss: 0.0287
Epoch 42 	Train Acc: 0.0926	Train loss: 0.0220	Test Acc: 0.1000	Test loss: 0.0253
Epoch 43 	Train Acc: 0.1066	Train loss: 0.0215	Test Acc: 0.1000	Test loss: 0.0232
Epoch 44 	Train Acc: 0.1047	Train loss: 0.0212	Test Acc: 0.1000	Test loss: 0.0218
Epoch 45 	Train Acc: 0.1035	Train loss: 0.0211	Test Acc: 0.1000	Test loss: 0.0213
Epoch 46 	Train Acc: 0.1023	Train loss: 0.0209	Test Acc: 0.1000	Test loss: 0.0210
Epoch 47 	Train Acc: 0.0945	Train loss: 0.0209	Test Acc: 0.1000	Test loss: 0.0208
Epoch 48 	Train Acc: 0.0953	Train loss: 0.0204	Test Acc: 0.1000	Test loss: 0.0206
Epoch 49 	Train Acc: 0.1055	Train loss: 0.0203	Test Acc: 0.1000	Test loss: 0.0204
Epoch 50 	Train Acc: 0.0988	Train loss: 0.0202	Test Acc: 0.1000	Test loss: 0.0202
Epoch 51 	Train Acc: 0.0980	Train loss: 0.0201	Test Acc: 0.1000	Test loss: 0.0200
Epoch 52 	Train Acc: 0.1031	Train loss: 0.0197	Test Acc: 0.1000	Test loss: 0.0199
Epoch 53 	Train Acc: 0.0914	Train loss: 0.0197	Test Acc: 0.1000	Test loss: 0.0197
Epoch 54 	Train Acc: 0.0910	Train loss: 0.0197	Test Acc: 0.1000	Test loss: 0.0196
Epoch 55 	Train Acc: 0.1008	Train loss: 0.0194	Test Acc: 0.1000	Test loss: 0.0195
Epoch 56 	Train Acc: 0.1027	Train loss: 0.0192	Test Acc: 0.1000	Test loss: 0.0193
Epoch 57 	Train Acc: 0.1031	Train loss: 0.0193	Test Acc: 0.1000	Test loss: 0.0192
Epoch 58 	Train Acc: 0.1008	Train loss: 0.0191	Test Acc: 0.1000	Test loss: 0.0191
Epoch 59 	Train Acc: 0.0993	Train loss: 0.0353	Test Acc: 0.1000	Test loss: 0.0190
Epoch 60 	Train Acc: 0.0984	Train loss: 0.0187	Test Acc: 0.1000	Test loss: 0.0189
Epoch 61 	Train Acc: 0.1016	Train loss: 0.0188	Test Acc: 0.1000	Test loss: 0.0189
Epoch 62 	Train Acc: 0.0980	Train loss: 0.0187	Test Acc: 0.1000	Test loss: 0.0188
Epoch 63 	Train Acc: 0.1016	Train loss: 0.0185	Test Acc: 0.1000	Test loss: 0.0187
Epoch 64 	Train Acc: 0.1023	Train loss: 0.0185	Test Acc: 0.1000	Test loss: 0.0187
Epoch 65 	Train Acc: 0.1090	Train loss: 0.0185	Test Acc: 0.1000	Test loss: 0.0186
Epoch 66 	Train Acc: 0.1012	Train loss: 0.0184	Test Acc: 0.1000	Test loss: 0.0186
Epoch 67 	Train Acc: 0.1074	Train loss: 0.0183	Test Acc: 0.1000	Test loss: 0.0185
Epoch 68 	Train Acc: 0.1008	Train loss: 0.0183	Test Acc: 0.1000	Test loss: 0.0185
Epoch 69 	Train Acc: 0.1051	Train loss: 0.0182	Test Acc: 0.1000	Test loss: 0.0184
Epoch 70 	Train Acc: 0.1039	Train loss: 0.0182	Test Acc: 0.1000	Test loss: 0.0184
Epoch 71 	Train Acc: 0.0945	Train loss: 0.0182	Test Acc: 0.1000	Test loss: 0.0184
Epoch 72 	Train Acc: 0.0996	Train loss: 0.0182	Test Acc: 0.1000	Test loss: 0.0184
Epoch 73 	Train Acc: 0.0895	Train loss: 0.0182	Test Acc: 0.1000	Test loss: 0.0183
Epoch 74 	Train Acc: 0.1023	Train loss: 0.0181	Test Acc: 0.1000	Test loss: 0.0183
Epoch 75 	Train Acc: 0.1059	Train loss: 0.0181	Test Acc: 0.1000	Test loss: 0.0183
Epoch 76 	Train Acc: 0.0941	Train loss: 0.0181	Test Acc: 0.1000	Test loss: 0.0183
Epoch 77 	Train Acc: 0.1012	Train loss: 0.0181	Test Acc: 0.1000	Test loss: 0.0183
Epoch 78 	Train Acc: 0.1023	Train loss: 0.0181	Test Acc: 0.1000	Test loss: 0.0183
Epoch 79 	Train Acc: 0.0963	Train loss: 0.0340	Test Acc: 0.1000	Test loss: 0.0183
Epoch 80 	Train Acc: 0.1012	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 81 	Train Acc: 0.0973	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 82 	Train Acc: 0.0938	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 83 	Train Acc: 0.1043	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 84 	Train Acc: 0.0922	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 85 	Train Acc: 0.1129	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 86 	Train Acc: 0.0980	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 87 	Train Acc: 0.0949	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 88 	Train Acc: 0.1004	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 89 	Train Acc: 0.0984	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 90 	Train Acc: 0.0953	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 91 	Train Acc: 0.1004	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 92 	Train Acc: 0.1031	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 93 	Train Acc: 0.0988	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 94 	Train Acc: 0.1023	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 95 	Train Acc: 0.1031	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 96 	Train Acc: 0.0996	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 97 	Train Acc: 0.0977	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 98 	Train Acc: 0.0961	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 99 	Train Acc: 0.0985	Train loss: 0.0339	Test Acc: 0.1000	Test loss: 0.0182
Epoch 100	Train Acc: 0.1000	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 101	Train Acc: 0.1059	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 102	Train Acc: 0.1004	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 103	Train Acc: 0.1133	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 104	Train Acc: 0.0918	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 105	Train Acc: 0.1004	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 106	Train Acc: 0.0988	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 107	Train Acc: 0.1020	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 108	Train Acc: 0.1027	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 109	Train Acc: 0.1062	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 110	Train Acc: 0.1098	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 111	Train Acc: 0.1016	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 112	Train Acc: 0.1074	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 113	Train Acc: 0.0938	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 114	Train Acc: 0.0984	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 115	Train Acc: 0.0852	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 116	Train Acc: 0.0922	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 117	Train Acc: 0.0965	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 118	Train Acc: 0.0992	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 119	Train Acc: 0.1000	Train loss: 0.0339	Test Acc: 0.1000	Test loss: 0.0182
Epoch 120	Train Acc: 0.0973	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 121	Train Acc: 0.0969	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 122	Train Acc: 0.1039	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 123	Train Acc: 0.0996	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 124	Train Acc: 0.1012	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 125	Train Acc: 0.1008	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 126	Train Acc: 0.1000	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 127	Train Acc: 0.0945	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 128	Train Acc: 0.1031	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 129	Train Acc: 0.0965	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 130	Train Acc: 0.1090	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 131	Train Acc: 0.1020	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 132	Train Acc: 0.1016	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 133	Train Acc: 0.0895	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 134	Train Acc: 0.0980	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 135	Train Acc: 0.0984	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 136	Train Acc: 0.1051	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 137	Train Acc: 0.1055	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 138	Train Acc: 0.0906	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 139	Train Acc: 0.1074	Train loss: 0.0339	Test Acc: 0.1000	Test loss: 0.0182
Epoch 140	Train Acc: 0.0941	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 141	Train Acc: 0.1012	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 142	Train Acc: 0.1070	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 143	Train Acc: 0.0926	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 144	Train Acc: 0.1031	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 145	Train Acc: 0.1035	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 146	Train Acc: 0.0953	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 147	Train Acc: 0.1012	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 148	Train Acc: 0.0988	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 149	Train Acc: 0.0918	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 150	Train Acc: 0.0984	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 151	Train Acc: 0.1066	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
Epoch 152	Train Acc: 0.0930	Train loss: 0.0180	Test Acc: 0.1000	Test loss: 0.0182
