seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: Median, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: None, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_Median/200_20_6_0.05_2025-03-10_21-22-37.txt

Started on Mon Mar 10 21:22:37 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1030	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1301	Train loss: 0.0178	Test Acc: 0.1387	Test loss: 0.0181
Epoch 2  	Train Acc: 0.2020	Train loss: 0.0171	Test Acc: 0.1996	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2367	Train loss: 0.0164	Test Acc: 0.1843	Test loss: 0.0178
Epoch 4  	Train Acc: 0.3367	Train loss: 0.0155	Test Acc: 0.2358	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3508	Train loss: 0.0148	Test Acc: 0.2592	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3492	Train loss: 0.0142	Test Acc: 0.2475	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3465	Train loss: 0.0139	Test Acc: 0.2540	Test loss: 0.0166
Epoch 8  	Train Acc: 0.3984	Train loss: 0.0134	Test Acc: 0.2215	Test loss: 0.0163
Epoch 9  	Train Acc: 0.3723	Train loss: 0.0134	Test Acc: 0.2271	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3543	Train loss: 0.0134	Test Acc: 0.1860	Test loss: 0.0167
Epoch 11 	Train Acc: 0.3754	Train loss: 0.0132	Test Acc: 0.1827	Test loss: 0.0168
Epoch 12 	Train Acc: 0.3535	Train loss: 0.0142	Test Acc: 0.1885	Test loss: 0.0173
Epoch 13 	Train Acc: 0.3723	Train loss: 0.0132	Test Acc: 0.1688	Test loss: 0.0181
Epoch 14 	Train Acc: 0.3801	Train loss: 0.0129	Test Acc: 0.1635	Test loss: 0.0167
Epoch 15 	Train Acc: 0.4031	Train loss: 0.0130	Test Acc: 0.1617	Test loss: 0.0173
Epoch 16 	Train Acc: 0.3582	Train loss: 0.0138	Test Acc: 0.1852	Test loss: 0.0180
Epoch 17 	Train Acc: 0.3602	Train loss: 0.0134	Test Acc: 0.2900	Test loss: 0.0145
Epoch 18 	Train Acc: 0.3859	Train loss: 0.0128	Test Acc: 0.3955	Test loss: 0.0135
Epoch 19 	Train Acc: 0.4316	Train loss: 0.0222	Test Acc: 0.4096	Test loss: 0.0134
Epoch 20 	Train Acc: 0.3910	Train loss: 0.0122	Test Acc: 0.4080	Test loss: 0.0132
Epoch 21 	Train Acc: 0.4098	Train loss: 0.0121	Test Acc: 0.4314	Test loss: 0.0127
Epoch 22 	Train Acc: 0.4539	Train loss: 0.0115	Test Acc: 0.4060	Test loss: 0.0124
Epoch 23 	Train Acc: 0.4320	Train loss: 0.0118	Test Acc: 0.4321	Test loss: 0.0120
Epoch 24 	Train Acc: 0.4777	Train loss: 0.0113	Test Acc: 0.4751	Test loss: 0.0114
Epoch 25 	Train Acc: 0.4832	Train loss: 0.0109	Test Acc: 0.4755	Test loss: 0.0114
Epoch 26 	Train Acc: 0.4777	Train loss: 0.0109	Test Acc: 0.4808	Test loss: 0.0113
Epoch 27 	Train Acc: 0.4820	Train loss: 0.0110	Test Acc: 0.4753	Test loss: 0.0113
Epoch 28 	Train Acc: 0.5172	Train loss: 0.0103	Test Acc: 0.4758	Test loss: 0.0115
Epoch 29 	Train Acc: 0.5074	Train loss: 0.0104	Test Acc: 0.4991	Test loss: 0.0110
Epoch 30 	Train Acc: 0.5289	Train loss: 0.0103	Test Acc: 0.5055	Test loss: 0.0107
Epoch 31 	Train Acc: 0.5043	Train loss: 0.0106	Test Acc: 0.5089	Test loss: 0.0108
Epoch 32 	Train Acc: 0.5211	Train loss: 0.0104	Test Acc: 0.4917	Test loss: 0.0112
Epoch 33 	Train Acc: 0.5105	Train loss: 0.0104	Test Acc: 0.5208	Test loss: 0.0106
Epoch 34 	Train Acc: 0.5219	Train loss: 0.0102	Test Acc: 0.5195	Test loss: 0.0103
Epoch 35 	Train Acc: 0.5219	Train loss: 0.0102	Test Acc: 0.5282	Test loss: 0.0103
Epoch 36 	Train Acc: 0.5402	Train loss: 0.0101	Test Acc: 0.5116	Test loss: 0.0107
Epoch 37 	Train Acc: 0.5043	Train loss: 0.0104	Test Acc: 0.5230	Test loss: 0.0105
Epoch 38 	Train Acc: 0.5500	Train loss: 0.0098	Test Acc: 0.5489	Test loss: 0.0099
Epoch 39 	Train Acc: 0.5360	Train loss: 0.0192	Test Acc: 0.5440	Test loss: 0.0100
Epoch 40 	Train Acc: 0.5352	Train loss: 0.0098	Test Acc: 0.5565	Test loss: 0.0097
Epoch 41 	Train Acc: 0.5746	Train loss: 0.0091	Test Acc: 0.5495	Test loss: 0.0099
Epoch 42 	Train Acc: 0.5734	Train loss: 0.0092	Test Acc: 0.5391	Test loss: 0.0100
Epoch 43 	Train Acc: 0.5621	Train loss: 0.0094	Test Acc: 0.5344	Test loss: 0.0103
Epoch 44 	Train Acc: 0.5543	Train loss: 0.0098	Test Acc: 0.5583	Test loss: 0.0098
Epoch 45 	Train Acc: 0.5922	Train loss: 0.0088	Test Acc: 0.5857	Test loss: 0.0092
Epoch 46 	Train Acc: 0.5984	Train loss: 0.0089	Test Acc: 0.5424	Test loss: 0.0101
Epoch 47 	Train Acc: 0.5695	Train loss: 0.0092	Test Acc: 0.5484	Test loss: 0.0101
Epoch 48 	Train Acc: 0.5773	Train loss: 0.0090	Test Acc: 0.5637	Test loss: 0.0098
Epoch 49 	Train Acc: 0.5758	Train loss: 0.0092	Test Acc: 0.5679	Test loss: 0.0095
Epoch 50 	Train Acc: 0.5773	Train loss: 0.0090	Test Acc: 0.5729	Test loss: 0.0095
Epoch 51 	Train Acc: 0.5859	Train loss: 0.0092	Test Acc: 0.5736	Test loss: 0.0094
Epoch 52 	Train Acc: 0.5863	Train loss: 0.0087	Test Acc: 0.5858	Test loss: 0.0092
Epoch 53 	Train Acc: 0.6051	Train loss: 0.0088	Test Acc: 0.5002	Test loss: 0.0114
Epoch 54 	Train Acc: 0.5879	Train loss: 0.0090	Test Acc: 0.5392	Test loss: 0.0104
Epoch 55 	Train Acc: 0.6027	Train loss: 0.0086	Test Acc: 0.5961	Test loss: 0.0089
Epoch 56 	Train Acc: 0.6133	Train loss: 0.0083	Test Acc: 0.5860	Test loss: 0.0091
Epoch 57 	Train Acc: 0.5945	Train loss: 0.0086	Test Acc: 0.5876	Test loss: 0.0091
Epoch 58 	Train Acc: 0.5965	Train loss: 0.0086	Test Acc: 0.5998	Test loss: 0.0089
Epoch 59 	Train Acc: 0.5963	Train loss: 0.0167	Test Acc: 0.6063	Test loss: 0.0088
Epoch 60 	Train Acc: 0.6152	Train loss: 0.0085	Test Acc: 0.5593	Test loss: 0.0101
