seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: MultiKrum, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: {'avg_percentage': 0.2, 'enable_check': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:2, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_MultiKrum/200_20_6_0.05_2025-03-10_15-42-35.txt

Started on Mon Mar 10 15:42:35 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1013	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1254	Train loss: 0.0179	Test Acc: 0.1604	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1953	Train loss: 0.0172	Test Acc: 0.1886	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2586	Train loss: 0.0164	Test Acc: 0.1746	Test loss: 0.0179
Epoch 4  	Train Acc: 0.2914	Train loss: 0.0156	Test Acc: 0.2192	Test loss: 0.0176
Epoch 5  	Train Acc: 0.2887	Train loss: 0.0153	Test Acc: 0.2343	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3297	Train loss: 0.0145	Test Acc: 0.2389	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3066	Train loss: 0.0143	Test Acc: 0.2374	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3641	Train loss: 0.0141	Test Acc: 0.2672	Test loss: 0.0163
Epoch 9  	Train Acc: 0.3695	Train loss: 0.0137	Test Acc: 0.1857	Test loss: 0.0166
Epoch 10 	Train Acc: 0.2801	Train loss: 0.0150	Test Acc: 0.2119	Test loss: 0.0161
Epoch 11 	Train Acc: 0.3648	Train loss: 0.0147	Test Acc: 0.2190	Test loss: 0.0163
