seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, softmax_seg: Min, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 4.3.2duibi, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: MyDefense, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: {'show_3d': False, 'metric': 'euclidean', 'gamma': 0.99, 'recored_rs': False}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_MyDefense/200_20_6_0.05_2025-04-16_01-33-16.txt

Started on Wed Apr 16 01:33:16 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0742	Train loss: 0.0185	Test Acc: 0.1124	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1309	Train loss: 0.0178	Test Acc: 0.1667	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1980	Train loss: 0.0171	Test Acc: 0.2122	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2121	Train loss: 0.0165	Test Acc: 0.1847	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3184	Train loss: 0.0156	Test Acc: 0.2052	Test loss: 0.0177
Epoch 5  	Train Acc: 0.3219	Train loss: 0.0151	Test Acc: 0.2472	Test loss: 0.0174
Epoch 6  	Train Acc: 0.3371	Train loss: 0.0143	Test Acc: 0.2856	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3492	Train loss: 0.0140	Test Acc: 0.2335	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3812	Train loss: 0.0134	Test Acc: 0.2382	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3887	Train loss: 0.0134	Test Acc: 0.2398	Test loss: 0.0163
Epoch 10 	Train Acc: 0.3910	Train loss: 0.0130	Test Acc: 0.2382	Test loss: 0.0160
Epoch 11 	Train Acc: 0.3879	Train loss: 0.0129	Test Acc: 0.2085	Test loss: 0.0166
Epoch 12 	Train Acc: 0.4051	Train loss: 0.0132	Test Acc: 0.1886	Test loss: 0.0172
Epoch 13 	Train Acc: 0.4043	Train loss: 0.0125	Test Acc: 0.1958	Test loss: 0.0166
Epoch 14 	Train Acc: 0.3828	Train loss: 0.0134	Test Acc: 0.1951	Test loss: 0.0168
Epoch 15 	Train Acc: 0.3887	Train loss: 0.0133	Test Acc: 0.2095	Test loss: 0.0186
Epoch 16 	Train Acc: 0.3820	Train loss: 0.0140	Test Acc: 0.2150	Test loss: 0.0163
Epoch 17 	Train Acc: 0.4191	Train loss: 0.0124	Test Acc: 0.2847	Test loss: 0.0149
Epoch 18 	Train Acc: 0.4121	Train loss: 0.0126	Test Acc: 0.3462	Test loss: 0.0141
Epoch 19 	Train Acc: 0.4272	Train loss: 0.0229	Test Acc: 0.3934	Test loss: 0.0135
Epoch 20 	Train Acc: 0.4805	Train loss: 0.0114	Test Acc: 0.3723	Test loss: 0.0135
Epoch 21 	Train Acc: 0.4336	Train loss: 0.0120	Test Acc: 0.4133	Test loss: 0.0130
Epoch 22 	Train Acc: 0.4430	Train loss: 0.0119	Test Acc: 0.4646	Test loss: 0.0121
Epoch 23 	Train Acc: 0.4930	Train loss: 0.0112	Test Acc: 0.4636	Test loss: 0.0119
Epoch 24 	Train Acc: 0.4832	Train loss: 0.0112	Test Acc: 0.4719	Test loss: 0.0115
Epoch 25 	Train Acc: 0.4918	Train loss: 0.0108	Test Acc: 0.4893	Test loss: 0.0111
Epoch 26 	Train Acc: 0.4781	Train loss: 0.0108	Test Acc: 0.4943	Test loss: 0.0109
Epoch 27 	Train Acc: 0.5086	Train loss: 0.0103	Test Acc: 0.4893	Test loss: 0.0111
Epoch 28 	Train Acc: 0.5246	Train loss: 0.0103	Test Acc: 0.4848	Test loss: 0.0112
Epoch 29 	Train Acc: 0.5191	Train loss: 0.0107	Test Acc: 0.4957	Test loss: 0.0109
Epoch 30 	Train Acc: 0.5320	Train loss: 0.0102	Test Acc: 0.4769	Test loss: 0.0113
Epoch 31 	Train Acc: 0.5250	Train loss: 0.0102	Test Acc: 0.4834	Test loss: 0.0113
Epoch 32 	Train Acc: 0.5426	Train loss: 0.0101	Test Acc: 0.4696	Test loss: 0.0115
Epoch 33 	Train Acc: 0.5312	Train loss: 0.0099	Test Acc: 0.4854	Test loss: 0.0113
Epoch 34 	Train Acc: 0.5387	Train loss: 0.0100	Test Acc: 0.4874	Test loss: 0.0113
Epoch 35 	Train Acc: 0.5508	Train loss: 0.0099	Test Acc: 0.5049	Test loss: 0.0109
