seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2hyperE, npy_prefix: None, num_clients: 20, num_adv: 4, attack: MyAttack, defense: NormClipping, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': False}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_NormClipping/200_20_4_0.05_2025-03-13_17-49-52.txt

Started on Thu Mar 13 17:49:52 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0991	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1355	Train loss: 0.0179	Test Acc: 0.1249	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1918	Train loss: 0.0173	Test Acc: 0.1887	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2094	Train loss: 0.0167	Test Acc: 0.1893	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3191	Train loss: 0.0158	Test Acc: 0.2142	Test loss: 0.0178
Epoch 5  	Train Acc: 0.3426	Train loss: 0.0151	Test Acc: 0.2695	Test loss: 0.0175
Epoch 6  	Train Acc: 0.3449	Train loss: 0.0145	Test Acc: 0.2774	Test loss: 0.0172
Epoch 7  	Train Acc: 0.3500	Train loss: 0.0141	Test Acc: 0.2814	Test loss: 0.0168
Epoch 8  	Train Acc: 0.3832	Train loss: 0.0135	Test Acc: 0.2632	Test loss: 0.0164
Epoch 9  	Train Acc: 0.3703	Train loss: 0.0135	Test Acc: 0.2497	Test loss: 0.0162
Epoch 10 	Train Acc: 0.4043	Train loss: 0.0132	Test Acc: 0.2093	Test loss: 0.0163
Epoch 11 	Train Acc: 0.4191	Train loss: 0.0125	Test Acc: 0.2036	Test loss: 0.0164
Epoch 12 	Train Acc: 0.4098	Train loss: 0.0129	Test Acc: 0.2167	Test loss: 0.0164
