seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2SignMatch, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: NormClipping, attack_params: {'aff_open': False, 'moment_open': True, 'record_sign_match': True}, defense_params: {'weakDP': True, 'norm_threshold': 3, 'noise_mean': 0, 'noise_std': 0.002}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_NormClipping/200_20_6_0.05_2025-03-11_15-29-37.txt

Started on Tue Mar 11 15:29:37 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.0972	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1203	Train loss: 0.0179	Test Acc: 0.1197	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1945	Train loss: 0.0174	Test Acc: 0.1772	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2031	Train loss: 0.0168	Test Acc: 0.1952	Test loss: 0.0180
Epoch 4  	Train Acc: 0.3113	Train loss: 0.0160	Test Acc: 0.2138	Test loss: 0.0178
Epoch 5  	Train Acc: 0.3289	Train loss: 0.0153	Test Acc: 0.2777	Test loss: 0.0176
Epoch 6  	Train Acc: 0.3324	Train loss: 0.0148	Test Acc: 0.2756	Test loss: 0.0173
Epoch 7  	Train Acc: 0.3465	Train loss: 0.0143	Test Acc: 0.2788	Test loss: 0.0170
Epoch 8  	Train Acc: 0.3793	Train loss: 0.0137	Test Acc: 0.2755	Test loss: 0.0166
Epoch 9  	Train Acc: 0.3652	Train loss: 0.0137	Test Acc: 0.2894	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3930	Train loss: 0.0135	Test Acc: 0.2357	Test loss: 0.0162
Epoch 11 	Train Acc: 0.4016	Train loss: 0.0128	Test Acc: 0.1992	Test loss: 0.0162
Epoch 12 	Train Acc: 0.3863	Train loss: 0.0134	Test Acc: 0.2612	Test loss: 0.0157
Epoch 13 	Train Acc: 0.3852	Train loss: 0.0132	Test Acc: 0.2167	Test loss: 0.0161
Epoch 14 	Train Acc: 0.3840	Train loss: 0.0133	Test Acc: 0.1747	Test loss: 0.0177
Epoch 15 	Train Acc: 0.3945	Train loss: 0.0130	Test Acc: 0.2359	Test loss: 0.0163
Epoch 16 	Train Acc: 0.3563	Train loss: 0.0142	Test Acc: 0.2817	Test loss: 0.0165
Epoch 17 	Train Acc: 0.3973	Train loss: 0.0158	Test Acc: 0.1565	Test loss: 0.0214
Epoch 18 	Train Acc: 0.3395	Train loss: 0.0192	Test Acc: 0.2546	Test loss: 0.0170
Epoch 19 	Train Acc: 0.3669	Train loss: 0.0268	Test Acc: 0.2674	Test loss: 0.0183
Epoch 20 	Train Acc: 0.2785	Train loss: 0.0187	Test Acc: 0.2141	Test loss: 0.0244
Epoch 21 	Train Acc: 0.2836	Train loss: 0.0205	Test Acc: 0.2203	Test loss: 0.0173
Epoch 22 	Train Acc: 0.2527	Train loss: 0.0168	Test Acc: 0.2997	Test loss: 0.0157
Epoch 23 	Train Acc: 0.3207	Train loss: 0.0148	Test Acc: 0.3246	Test loss: 0.0154
Epoch 24 	Train Acc: 0.3363	Train loss: 0.0148	Test Acc: 0.2995	Test loss: 0.0158
Epoch 25 	Train Acc: 0.3406	Train loss: 0.0148	Test Acc: 0.2835	Test loss: 0.0160
Epoch 26 	Train Acc: 0.3590	Train loss: 0.0146	Test Acc: 0.2872	Test loss: 0.0160
