seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [3], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2, npy_prefix: None, num_clients: 20, num_adv: 6, attack: MyAttack, defense: SignGuard, attack_params: {'aff_open': False, 'moment_open': True}, defense_params: {'lower_bound': 0.1, 'upper_bound': 3.0, 'selection_fraction': 0.1, 'clustering': 'MeanShift', 'random_seed': 2}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:3, output: ./logs/FedSGD/CIFAR10_mycnn/iid/MyAttack_SignGuard/200_20_6_0.05_2025-03-10_21-22-38.txt

Started on Mon Mar 10 21:22:38 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.0777	Train loss: 0.0185	Test Acc: 0.1024	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1262	Train loss: 0.0179	Test Acc: 0.1596	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1855	Train loss: 0.0172	Test Acc: 0.1754	Test loss: 0.0180
Epoch 3  	Train Acc: 0.2191	Train loss: 0.0166	Test Acc: 0.1729	Test loss: 0.0179
Epoch 4  	Train Acc: 0.3090	Train loss: 0.0157	Test Acc: 0.2639	Test loss: 0.0176
Epoch 5  	Train Acc: 0.3207	Train loss: 0.0150	Test Acc: 0.2224	Test loss: 0.0173
Epoch 6  	Train Acc: 0.3473	Train loss: 0.0145	Test Acc: 0.2813	Test loss: 0.0170
Epoch 7  	Train Acc: 0.3008	Train loss: 0.0149	Test Acc: 0.2395	Test loss: 0.0167
Epoch 8  	Train Acc: 0.3547	Train loss: 0.0138	Test Acc: 0.2195	Test loss: 0.0166
Epoch 9  	Train Acc: 0.2969	Train loss: 0.0152	Test Acc: 0.2530	Test loss: 0.0162
Epoch 10 	Train Acc: 0.3297	Train loss: 0.0143	Test Acc: 0.1942	Test loss: 0.0162
Epoch 11 	Train Acc: 0.3434	Train loss: 0.0145	Test Acc: 0.2455	Test loss: 0.0161
Epoch 12 	Train Acc: 0.3316	Train loss: 0.0140	Test Acc: 0.1949	Test loss: 0.0163
Epoch 13 	Train Acc: 0.3648	Train loss: 0.0132	Test Acc: 0.2038	Test loss: 0.0166
Epoch 14 	Train Acc: 0.3902	Train loss: 0.0132	Test Acc: 0.2164	Test loss: 0.0163
Epoch 15 	Train Acc: 0.3859	Train loss: 0.0132	Test Acc: 0.2227	Test loss: 0.0158
Epoch 16 	Train Acc: 0.3871	Train loss: 0.0127	Test Acc: 0.2393	Test loss: 0.0154
Epoch 17 	Train Acc: 0.4223	Train loss: 0.0122	Test Acc: 0.3269	Test loss: 0.0144
Epoch 18 	Train Acc: 0.4422	Train loss: 0.0121	Test Acc: 0.3598	Test loss: 0.0137
Epoch 19 	Train Acc: 0.4743	Train loss: 0.0221	Test Acc: 0.2751	Test loss: 0.0147
Epoch 20 	Train Acc: 0.4559	Train loss: 0.0118	Test Acc: 0.3286	Test loss: 0.0141
Epoch 21 	Train Acc: 0.4352	Train loss: 0.0119	Test Acc: 0.4262	Test loss: 0.0126
Epoch 22 	Train Acc: 0.4824	Train loss: 0.0113	Test Acc: 0.4335	Test loss: 0.0122
Epoch 23 	Train Acc: 0.4609	Train loss: 0.0117	Test Acc: 0.3630	Test loss: 0.0140
